t,yaw,pitch,roll,yaw_target,pitch_target,roll_target
0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,3.490658402442932129e-01
1.010101010101010083e-01,3.654021420516073704e-04,-6.877919659018516541e-04,6.523375486722216010e-05,0.000000000000000000e+00,-0.000000000000000000e+00,3.490658402442932129e-01
2.020202020202020166e-01,1.707173767499625683e-03,-3.204665146768093109e-03,2.908730239141732454e-04,0.000000000000000000e+00,-0.000000000000000000e+00,3.490658402442932129e-01
3.030303030303030387e-01,4.473282024264335632e-03,-8.349845185875892639e-03,6.870499928481876850e-04,0.000000000000000000e+00,-0.000000000000000000e+00,3.490658402442932129e-01
4.040404040404040331e-01,8.976091630756855011e-03,-1.657934859395027161e-02,1.142671331763267517e-03,0.000000000000000000e+00,-0.000000000000000000e+00,3.490658402442932129e-01
5.050505050505050830e-01,1.538432668894529343e-02,-2.785747312009334564e-02,1.425684662535786629e-03,0.000000000000000000e+00,-0.000000000000000000e+00,3.490658402442932129e-01
6.060606060606060774e-01,2.369988709688186646e-02,-4.151194170117378235e-02,1.238247030414640903e-03,0.000000000000000000e+00,-0.000000000000000000e+00,3.490658402442932129e-01
7.070707070707070718e-01,3.373168408870697021e-02,-5.613333359360694885e-02,3.295241913292557001e-04,0.000000000000000000e+00,-0.000000000000000000e+00,3.490658402442932129e-01
8.080808080808080662e-01,4.509007558226585388e-02,-6.969476491212844849e-02,-1.335318316705524921e-03,0.000000000000000000e+00,-0.000000000000000000e+00,3.490658402442932129e-01
9.090909090909090606e-01,5.721044540405273438e-02,-7.996924221515655518e-02,-3.532311180606484413e-03,0.000000000000000000e+00,-0.000000000000000000e+00,3.490658402442932129e-01
1.010101010101010166e+00,6.944508105516433716e-02,-8.522094041109085083e-02,-5.835629533976316452e-03,0.000000000000000000e+00,-0.000000000000000000e+00,3.490658402442932129e-01
1.111111111111111160e+00,8.110607415437698364e-02,-8.434043079614639282e-02,-7.691679056733846664e-03,0.000000000000000000e+00,-0.000000000000000000e+00,3.490658402442932129e-01
1.212121212121212155e+00,9.164617210626602173e-02,-7.704379409551620483e-02,-8.590435609221458435e-03,0.000000000000000000e+00,-0.000000000000000000e+00,3.490658402442932129e-01
1.313131313131313149e+00,1.005618572235107422e-01,-6.375757604837417603e-02,-8.204635232686996460e-03,0.000000000000000000e+00,-0.000000000000000000e+00,3.490658402442932129e-01
1.414141414141414144e+00,1.075411289930343628e-01,-4.549631476402282715e-02,-6.388165056705474854e-03,0.000000000000000000e+00,-0.000000000000000000e+00,3.490658402442932129e-01
1.515151515151515138e+00,1.124933063983917236e-01,-2.363177388906478882e-02,-3.227191977202892303e-03,0.000000000000000000e+00,-0.000000000000000000e+00,3.490658402442932129e-01
1.616161616161616132e+00,1.155473068356513977e-01,-1.068413348548347130e-05,9.409731137566268444e-04,0.000000000000000000e+00,-0.000000000000000000e+00,3.490658402442932129e-01
1.717171717171717127e+00,1.170373931527137756e-01,2.344015426933765411e-02,5.635750945657491684e-03,0.000000000000000000e+00,-0.000000000000000000e+00,3.490658402442932129e-01
1.818181818181818121e+00,1.174207553267478943e-01,4.481977596879005432e-02,1.028820313513278961e-02,0.000000000000000000e+00,-0.000000000000000000e+00,3.490658402442932129e-01
1.919191919191919116e+00,1.171713769435882568e-01,6.260296702384948730e-02,1.438273489475250244e-02,0.000000000000000000e+00,-0.000000000000000000e+00,3.490658402442932129e-01
2.020202020202020332e+00,1.167118325829505920e-01,7.584970444440841675e-02,1.755276881158351898e-02,0.000000000000000000e+00,-0.000000000000000000e+00,3.490658402442932129e-01
2.121212121212121104e+00,1.163071990013122559e-01,8.431423455476760864e-02,1.962455920875072479e-02,0.000000000000000000e+00,-0.000000000000000000e+00,3.490658402442932129e-01
