t,J1,J2,J3,J4,J5,J6
0.000000000000000000e+00,-2.870602607727050781e-01,2.060368537902832031e+00,-2.383411169052124023e+00,1.634835720062255859e+00,-2.350643157958984375e+00,8.782393932342529297e-01
1.010101010101010083e-01,-2.871935367584228516e-01,2.058799266815185547e+00,-2.380522727966308594e+00,1.634672045707702637e+00,-2.350239753723144531e+00,8.776541948318481445e-01
2.020202020202020166e-01,-2.880590260028839111e-01,2.048608779907226562e+00,-2.361766099929809570e+00,1.633608818054199219e+00,-2.347620725631713867e+00,8.738538622856140137e-01
3.030303030303030387e-01,-2.902113795280456543e-01,2.023265361785888672e+00,-2.315119266510009766e+00,1.630964875221252441e+00,-2.341107130050659180e+00,8.644028306007385254e-01
4.040404040404040331e-01,-2.940278351306915283e-01,1.978328108787536621e+00,-2.232408046722412109e+00,1.626276731491088867e+00,-2.329557657241821289e+00,8.476448059082031250e-01
5.050505050505050830e-01,-2.997258603572845459e-01,1.911236524581909180e+00,-2.108919858932495117e+00,1.619277238845825195e+00,-2.312314510345458984e+00,8.226249217987060547e-01
6.060606060606060774e-01,-3.073808252811431885e-01,1.821102619171142578e+00,-1.943019628524780273e+00,1.609873890876770020e+00,-2.289148807525634766e+00,7.890120744705200195e-01
7.070707070707070718e-01,-3.169439435005187988e-01,1.708500742912292480e+00,-1.735765457153320312e+00,1.598126530647277832e+00,-2.260208845138549805e+00,7.470204830169677734e-01
8.080808080808080662e-01,-3.282599151134490967e-01,1.575259923934936523e+00,-1.490523338317871094e+00,1.584226012229919434e+00,-2.225964307785034180e+00,6.973322033882141113e-01
9.090909090909090606e-01,-3.410846590995788574e-01,1.424253940582275391e+00,-1.212582707405090332e+00,1.568472027778625488e+00,-2.187153816223144531e+00,6.410189270973205566e-01
1.010101010101010166e+00,-3.551031351089477539e-01,1.259192466735839844e+00,-9.087712764739990234e-01,1.551251769065856934e+00,-2.144731044769287109e+00,5.794639587402343750e-01
