t,yaw,pitch,roll,yaw_target,pitch_target,roll_target
0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
1.010101010101010083e-01,-9.192983270622789860e-04,9.092246182262897491e-05,2.547647454775869846e-04,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
2.020202020202020166e-01,-4.287117626518011093e-03,4.369932285044342279e-04,1.183400861918926239e-03,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
3.030303030303030387e-01,-1.119398418813943863e-02,1.220921520143747330e-03,3.070527454838156700e-03,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
4.040404040404040331e-01,-2.233605459332466125e-02,2.678561722859740257e-03,6.069017108529806137e-03,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
5.050505050505050830e-01,-3.806567192077636719e-02,5.169417243450880051e-03,1.016340497881174088e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
6.060606060606060774e-01,-5.834408849477767944e-02,9.124903008341789246e-03,1.519704516977071762e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
7.070707070707070718e-01,-8.285587280988693237e-02,1.501933578401803970e-02,2.081401832401752472e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
8.080808080808080662e-01,-1.109589561820030212e-01,2.336489781737327576e-02,2.648315578699111938e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
9.090909090909090606e-01,-1.417209506034851074e-01,3.451688960194587708e-02,3.155260160565376282e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
1.010101010101010166e+00,-1.740337908267974854e-01,4.857634007930755615e-02,3.524760156869888306e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
1.111111111111111160e+00,-2.066555619239807129e-01,6.540627032518386841e-02,3.683142364025115967e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
1.212121212121212155e+00,-2.383687347173690796e-01,8.452457189559936523e-02,3.571388125419616699e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
1.313131313131313149e+00,-2.680811285972595215e-01,1.051551401615142822e-01,3.157417476177215576e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
1.414141414141414144e+00,-2.949424386024475098e-01,1.262717396020889282e-01,2.449781075119972229e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
1.515151515151515138e+00,-3.183647990226745605e-01,1.467592269182205200e-01,1.501278765499591827e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
1.616161616161616132e+00,-3.380923271179199219e-01,1.656041145324707031e-01,3.944487310945987701e-03,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
1.717171717171717127e+00,-3.541329801082611084e-01,1.819525659084320068e-01,-7.591763511300086975e-03,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
1.818181818181818121e+00,-3.666418194770812988e-01,1.953237801790237427e-01,-1.850493252277374268e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
1.919191919191919116e+00,-3.758678138256072998e-01,2.055278867483139038e-01,-2.779610082507133484e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
2.020202020202020332e+00,-3.821998238563537598e-01,2.126374691724777222e-01,-3.483612090349197388e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
2.121212121212121104e+00,-3.860296905040740967e-01,2.169939577579498291e-01,-3.938086330890655518e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
2.222222222222222321e+00,-3.878719508647918701e-01,2.191013842821121216e-01,-4.164915904402732849e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
2.323232323232323093e+00,-3.883735239505767822e-01,2.196742445230484009e-01,-4.227430000901222229e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
2.424242424242424310e+00,-3.883735239505767822e-01,2.196742445230484009e-01,-4.227430000901222229e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
2.525252525252525082e+00,-3.883735239505767822e-01,2.196742445230484009e-01,-4.227430000901222229e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
2.626262626262626299e+00,-3.879845738410949707e-01,2.191050648689270020e-01,-4.178162291646003723e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
2.727272727272727071e+00,-3.865647912025451660e-01,2.170160263776779175e-01,-3.999918699264526367e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
2.828282828282828287e+00,-3.836748301982879639e-01,2.127084583044052124e-01,-3.645195439457893372e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
2.929292929292929060e+00,-3.790658414363861084e-01,2.056968510150909424e-01,-3.103422746062278748e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
3.030303030303030276e+00,-3.726699352264404297e-01,1.956979483366012573e-01,-2.401841431856155396e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
3.131313131313131048e+00,-3.646232187747955322e-01,1.826679110527038574e-01,-1.603854447603225708e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
3.232323232323232265e+00,-3.551767170429229736e-01,1.668364852666854858e-01,-7.945938035845756531e-03,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
3.333333333333333481e+00,-3.447558879852294922e-01,1.487603783607482910e-01,-7.093384047038853168e-04,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
3.434343434343434254e+00,-3.338013887405395508e-01,1.292920112609863281e-01,4.859052598476409912e-03,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
3.535353535353535470e+00,-3.227928578853607178e-01,1.094457134604454041e-01,8.197941817343235016e-03,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
3.636363636363636243e+00,-3.122152090072631836e-01,9.032282233238220215e-02,9.138860739767551422e-03,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
3.737373737373737459e+00,-3.024633228778839111e-01,7.286173850297927856e-02,7.861421443521976471e-03,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
3.838383838383838231e+00,-2.937827408313751221e-01,5.774458125233650208e-02,4.868226125836372375e-03,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
3.939393939393939448e+00,-2.863273918628692627e-01,4.525862634181976318e-02,8.099613478407263756e-04,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
4.040404040404040664e+00,-2.801016271114349365e-01,3.537286445498466492e-02,-3.674926934763789177e-03,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
4.141414141414140992e+00,-2.750104069709777832e-01,2.783668041229248047e-02,-8.058174513280391693e-03,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
4.242424242424242209e+00,-2.709283828735351562e-01,2.224525995552539825e-02,-1.198181137442588806e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
4.343434343434343425e+00,-2.677353918552398682e-01,1.821025274693965912e-02,-1.523518562316894531e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
4.444444444444444642e+00,-2.653495073318481445e-01,1.540723070502281189e-02,-1.774074696004390717e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
4.545454545454544970e+00,-2.636826932430267334e-01,1.357029378414154053e-02,-1.950216107070446014e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
4.646464646464646187e+00,-2.626602649688720703e-01,1.248828135430812836e-02,-2.058617025613784790e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
4.747474747474747403e+00,-2.621627449989318848e-01,1.197524182498455048e-02,-2.111199311912059784e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
4.848484848484848619e+00,-2.620270848274230957e-01,1.183625869452953339e-02,-2.125527337193489075e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
4.949494949494949836e+00,-2.620270848274230957e-01,1.183625869452953339e-02,-2.125527337193489075e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
5.050505050505050164e+00,-2.620270848274230957e-01,1.183625869452953339e-02,-2.125527337193489075e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
5.151515151515151381e+00,-2.615623474121093750e-01,1.212463248521089554e-02,-2.072284556925296783e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
5.252525252525252597e+00,-2.598108053207397461e-01,1.317092590034008026e-02,-1.879169791936874390e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
5.353535353535353813e+00,-2.559612393379211426e-01,1.530539151281118393e-02,-1.491081714630126953e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
5.454545454545454142e+00,-2.490439713001251221e-01,1.882963068783283234e-02,-8.893863297998905182e-03,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
5.555555555555555358e+00,-2.379399091005325317e-01,2.446212433278560638e-02,-9.259316720999777317e-04,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
5.656565656565656575e+00,-2.216595262289047241e-01,3.415897116065025330e-02,8.571013808250427246e-03,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
5.757575757575757791e+00,-2.001943886280059814e-01,5.188963189721107483e-02,1.928763836622238159e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
5.858585858585858119e+00,-1.751731038093566895e-01,8.342192322015762329e-02,3.160547465085983276e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
5.959595959595959336e+00,-1.496135592460632324e-01,1.341029852628707886e-01,4.694731533527374268e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
6.060606060606060552e+00,-1.262910664081573486e-01,2.061070650815963745e-01,6.725912541151046753e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
6.161616161616161769e+00,-1.061869561672210693e-01,2.976174652576446533e-01,9.403216838836669922e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
6.262626262626262097e+00,-8.861123770475387573e-02,4.027408063411712646e-01,1.277763843536376953e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
6.363636363636363313e+00,-7.178161293268203735e-02,5.147727727890014648e-01,1.682409793138504028e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
6.464646464646464530e+00,-5.356672033667564392e-02,6.262908577919006348e-01,2.148140519857406616e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
6.565656565656565746e+00,-3.212156519293785095e-02,7.309789657592773438e-01,2.665485441684722900e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
6.666666666666666963e+00,-6.215287372469902039e-03,8.240875601768493652e-01,3.222598135471343994e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
6.767676767676767291e+00,2.380851469933986664e-02,9.023139476776123047e-01,3.795431852340698242e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
6.868686868686868507e+00,5.585708841681480408e-02,9.642642736434936523e-01,4.347413778305053711e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
6.969696969696969724e+00,8.652948588132858276e-02,1.010149478912353516e+00,4.835892021656036377e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
7.070707070707070940e+00,1.119868010282516479e-01,1.041416287422180176e+00,5.220294594764709473e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
7.171717171717171269e+00,1.294745951890945435e-01,1.060154318809509277e+00,5.475664734840393066e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
7.272727272727272485e+00,1.385134458541870117e-01,1.069102764129638672e+00,5.605291128158569336e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
7.373737373737373701e+00,1.410492360591888428e-01,1.071528434753417969e+00,5.641363859176635742e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
7.474747474747474918e+00,1.410492360591888428e-01,1.071528434753417969e+00,5.641363859176635742e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
7.575757575757575246e+00,1.410492360591888428e-01,1.071528434753417969e+00,5.641363859176635742e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
7.676767676767676463e+00,1.395217478275299072e-01,1.070221662521362305e+00,5.618868470191955566e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
7.777777777777777679e+00,1.340273916721343994e-01,1.065408229827880859e+00,5.537696480751037598e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
