t,dJ1,dJ2,dJ3,dJ4,dJ5,dJ6
0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
1.010101010101010083e-01,-3.755965037271380424e-03,-4.422491416335105896e-02,8.140010386705398560e-02,-4.613833036273717880e-03,1.136635057628154755e-02,-1.649239845573902130e-02
2.020202020202020166e-01,-1.374583877623081207e-02,-1.618514657020568848e-01,2.979028224945068359e-01,-1.688540726900100708e-02,4.159783199429512024e-02,-6.035781651735305786e-02
3.030303030303030387e-01,-2.818038873374462128e-02,-3.318122327327728271e-01,6.107315421104431152e-01,-3.461683169007301331e-02,8.527985215187072754e-02,-1.237397566437721252e-01
4.040404040404040331e-01,-4.544078931212425232e-02,-5.350461602210998535e-01,9.848027229309082031e-01,-5.581953004002571106e-02,1.375135034322738647e-01,-1.995299607515335083e-01
5.050505050505050830e-01,-6.407861411571502686e-02,-7.544987201690673828e-01,1.388725757598876953e+00,-7.871426641941070557e-02,1.939155310392379761e-01,-2.813684344291687012e-01
6.060606060606060774e-01,-8.281584084033966064e-02,-9.751216769218444824e-01,1.794803023338317871e+00,-1.017310842871665955e-01,2.506183385848999023e-01,-3.636433482170104980e-01
7.070707070707070718e-01,-1.005448624491691589e-01,-1.183873414993286133e+00,2.179030179977416992e+00,-1.235094442963600159e-01,3.042701184749603271e-01,-4.414912760257720947e-01
8.080808080808080662e-01,-1.163284108042716980e-01,-1.369718074798583984e+00,2.521094799041748047e+00,-1.428979784250259399e-01,3.520345091819763184e-01,-5.107966661453247070e-01
9.090909090909090606e-01,-1.293997466564178467e-01,-1.523627638816833496e+00,2.804379701614379883e+00,-1.589548438787460327e-01,3.915911614894866943e-01,-5.681927204132080078e-01
1.010101010101010166e+00,-1.391624212265014648e-01,-1.638579010963439941e+00,3.015958547592163086e+00,-1.709473282098770142e-01,4.211350977420806885e-01,-6.110605597496032715e-01
1.111111111111111160e+00,-1.451904475688934326e-01,-1.709556460380554199e+00,3.146599292755126953e+00,-1.783521622419357300e-01,4.393771588802337646e-01,-6.375295519828796387e-01
1.212121212121212155e+00,-1.472281515598297119e-01,-1.733549475669860840e+00,3.190760850906372070e+00,-1.808552742004394531e-01,4.455437362194061279e-01,-6.464771032333374023e-01
1.313131313131313149e+00,-1.451904028654098511e-01,-1.709555983543395996e+00,3.146598577499389648e+00,-1.783521026372909546e-01,4.393770694732666016e-01,-6.375293135643005371e-01
1.414141414141414144e+00,-1.391624659299850464e-01,-1.638579368591308594e+00,3.015959501266479492e+00,-1.709473580121994019e-01,4.211351871490478516e-01,-6.110607385635375977e-01
1.515151515151515138e+00,-1.293997466564178467e-01,-1.523627638816833496e+00,2.804379701614379883e+00,-1.589548438787460327e-01,3.915911614894866943e-01,-5.681927204132080078e-01
1.616161616161616132e+00,-1.163284182548522949e-01,-1.369718313217163086e+00,2.521095037460327148e+00,-1.428980082273483276e-01,3.520345389842987061e-01,-5.107967257499694824e-01
1.717171717171717127e+00,-1.005448698997497559e-01,-1.183873653411865234e+00,2.179030656814575195e+00,-1.235094666481018066e-01,3.042701780796051025e-01,-4.414913356304168701e-01
1.818181818181818121e+00,-8.281584084033966064e-02,-9.751216769218444824e-01,1.794803023338317871e+00,-1.017310842871665955e-01,2.506183385848999023e-01,-3.636433482170104980e-01
1.919191919191919116e+00,-6.407863646745681763e-02,-7.544989585876464844e-01,1.388726234436035156e+00,-7.871428877115249634e-02,1.939155757427215576e-01,-2.813685238361358643e-01
2.020202020202020332e+00,-4.544087871909141541e-02,-5.350472331047058105e-01,9.848046302795410156e-01,-5.581963807344436646e-02,1.375137567520141602e-01,-1.995303481817245483e-01
2.121212121212121104e+00,-2.818038873374462128e-02,-3.318122327327728271e-01,6.107315421104431152e-01,-3.461683169007301331e-02,8.527985215187072754e-02,-1.237397566437721252e-01
2.222222222222222321e+00,-1.374587696045637131e-02,-1.618519276380538940e-01,2.979036569595336914e-01,-1.688545569777488708e-02,4.159794747829437256e-02,-6.035798415541648865e-02
2.323232323232323093e+00,-3.755737794563174248e-03,-4.422223195433616638e-02,8.139517158269882202e-02,-4.613553639501333237e-03,1.136566139757633209e-02,-1.649140007793903351e-02
2.424242424242424310e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
2.525252525252525082e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.626262626262626299e+00,6.809988617897033691e-02,5.728361755609512329e-02,1.447420008480548859e-02,-1.313514262437820435e-02,9.790160693228244781e-03,2.577460603788495064e-03
2.727272727272727071e+00,2.492275536060333252e-01,2.096428722143173218e-01,5.297173932194709778e-02,-4.807114228606224060e-02,3.582939505577087402e-02,9.432823397219181061e-03
2.828282828282828287e+00,5.109422206878662109e-01,4.297895133495330811e-01,1.085975319147109985e-01,-9.855081140995025635e-02,7.345396280288696289e-02,1.933826319873332977e-02
2.929292929292929060e+00,8.238927125930786133e-01,6.930342316627502441e-01,1.751131862401962280e-01,-1.589128673076629639e-01,1.184442788362503052e-01,3.118288889527320862e-02
3.030303030303030276e+00,1.161817550659179688e+00,9.772866368293762207e-01,2.469369471073150635e-01,-2.240919917821884155e-01,1.670249551534652710e-01,4.397274553775787354e-02
3.131313131313131048e+00,1.501544475555419922e+00,1.263054966926574707e+00,3.191437721252441406e-01,-2.896187007427215576e-01,2.158647030591964722e-01,5.683081224560737610e-02
3.232323232323232265e+00,1.822991609573364258e+00,1.533446669578552246e+00,3.874653279781341553e-01,-3.516196012496948242e-01,2.620764970779418945e-01,6.899701803922653198e-02
3.333333333333333481e+00,2.109164953231811523e+00,1.774167418479919434e+00,4.482896924018859863e-01,-4.068169295787811279e-01,3.032173216342926025e-01,7.982818782329559326e-02
3.434343434343434254e+00,2.346163272857666016e+00,1.973523378372192383e+00,4.986621439456939697e-01,-4.525292515754699707e-01,3.372885882854461670e-01,8.879814296960830688e-02
3.535353535353535470e+00,2.523171663284301758e+00,2.122417449951171875e+00,5.362841486930847168e-01,-4.866707026958465576e-01,3.627356290817260742e-01,9.549760073423385620e-02
3.636363636363636243e+00,2.632466554641723633e+00,2.214353322982788086e+00,5.595140457153320312e-01,-5.077515244483947754e-01,3.784480690956115723e-01,9.963422268629074097e-02
3.737373737373737459e+00,2.669412374496459961e+00,2.245430946350097656e+00,5.673667192459106445e-01,-5.148777365684509277e-01,3.837594687938690186e-01,1.010325551033020020e-01
3.838383838383838231e+00,2.632465839385986328e+00,2.214352607727050781e+00,5.595139265060424805e-01,-5.077514052391052246e-01,3.784479796886444092e-01,9.963419288396835327e-02
3.939393939393939448e+00,2.523172140121459961e+00,2.122418165206909180e+00,5.362843275070190430e-01,-4.866708219051361084e-01,3.627357184886932373e-01,9.549763053655624390e-02
4.040404040404040664e+00,2.346163272857666016e+00,1.973523378372192383e+00,4.986621439456939697e-01,-4.525292515754699707e-01,3.372885882854461670e-01,8.879814296960830688e-02
4.141414141414140992e+00,2.109165430068969727e+00,1.774167895317077637e+00,4.482897222042083740e-01,-4.068169593811035156e-01,3.032173812389373779e-01,7.982819527387619019e-02
4.242424242424242209e+00,1.822991967201232910e+00,1.533447027206420898e+00,3.874653875827789307e-01,-3.516196608543395996e-01,2.620765864849090576e-01,6.899703294038772583e-02
4.343434343434343425e+00,1.501544475555419922e+00,1.263054966926574707e+00,3.191437721252441406e-01,-2.896187007427215576e-01,2.158647030591964722e-01,5.683081224560737610e-02
4.444444444444444642e+00,1.161817908287048340e+00,9.772869348526000977e-01,2.469370365142822266e-01,-2.240920513868331909e-01,1.670250147581100464e-01,4.397275671362876892e-02
4.545454545454544970e+00,8.238943219184875488e-01,6.930356025695800781e-01,1.751135289669036865e-01,-1.589131802320480347e-01,1.184445172548294067e-01,3.118294849991798401e-02
4.646464646464646187e+00,5.109422206878662109e-01,4.297895133495330811e-01,1.085975319147109985e-01,-9.855081140995025635e-02,7.345396280288696289e-02,1.933826319873332977e-02
4.747474747474747403e+00,2.492282390594482422e-01,2.096434682607650757e-01,5.297188833355903625e-02,-4.807127639651298523e-02,3.582949563860893250e-02,9.432850405573844910e-03
4.848484848484848619e+00,6.809575855731964111e-02,5.728014186024665833e-02,1.447332184761762619e-02,-1.313434727489948273e-02,9.789567440748214722e-03,2.577304607257246971e-03
