t,dJ1,dJ2,dJ3,dJ4,dJ5,dJ6
0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
1.010101010101010083e-01,1.702294312417507172e-02,-1.944784820079803467e-02,4.361421987414360046e-02,-1.434703636914491653e-02,-2.342456765472888947e-02,-1.121156034059822559e-03
2.020202020202020166e-01,6.229946762323379517e-02,-7.117397338151931763e-02,1.596165150403976440e-01,-5.250635743141174316e-02,-8.572771400213241577e-02,-4.103134386241436005e-03
3.030303030303030387e-01,1.277203410863876343e-01,-1.459140032529830933e-01,3.272303044795989990e-01,-1.076434478163719177e-01,-1.757506728172302246e-01,-8.411848917603492737e-03
4.040404040404040331e-01,2.059486359357833862e-01,-2.352858632802963257e-01,5.276578664779663086e-01,-1.735747307538986206e-01,-2.833974063396453857e-01,-1.356407999992370605e-02
5.050505050505050830e-01,2.904197871685028076e-01,-3.317898511886596680e-01,7.440800666809082031e-01,-2.447675019502639771e-01,-3.996346592903137207e-01,-1.912747323513031006e-02
6.060606060606060774e-01,3.753414154052734375e-01,-4.288085103034973145e-01,9.616563916206359863e-01,-3.163399398326873779e-01,-5.164917707443237305e-01,-2.472053468227386475e-02
7.070707070707070718e-01,4.556936323642730713e-01,-5.206068158149719238e-01,1.167525649070739746e+00,-3.840612471103668213e-01,-6.270611286163330078e-01,-3.001265041530132294e-02
8.080808080808080662e-01,5.272284746170043945e-01,-6.023317575454711914e-01,1.350803971290588379e+00,-4.443512558937072754e-01,-7.254972457885742188e-01,-3.472403809428215027e-02
9.090909090909090606e-01,5.864709615707397461e-01,-6.700132489204406738e-01,1.502588152885437012e+00,-4.942811429500579834e-01,-8.070183992385864258e-01,-3.862583637237548828e-02
1.010101010101010166e+00,6.307177543640136719e-01,-7.205629944801330566e-01,1.615952372550964355e+00,-5.315726399421691895e-01,-8.679046034812927246e-01,-4.153999686241149902e-02
1.111111111111111160e+00,6.580382585525512695e-01,-7.517752051353454590e-01,1.685949563980102539e+00,-5.545985102653503418e-01,-9.054991602897644043e-01,-4.333936050534248352e-02
1.212121212121212155e+00,6.672736406326293945e-01,-7.623261809349060059e-01,1.709611535072326660e+00,-5.623821616172790527e-01,-9.182075858116149902e-01,-4.394761845469474792e-02
1.313131313131313149e+00,6.580380797386169434e-01,-7.517750263214111328e-01,1.685949206352233887e+00,-5.545983314514160156e-01,-9.054989218711853027e-01,-4.333935305476188660e-02
1.414141414141414144e+00,6.307179331779479980e-01,-7.205631732940673828e-01,1.615952730178833008e+00,-5.315727591514587402e-01,-8.679048418998718262e-01,-4.154000803828239441e-02
1.515151515151515138e+00,5.864709615707397461e-01,-6.700132489204406738e-01,1.502588152885437012e+00,-4.942811429500579834e-01,-8.070183992385864258e-01,-3.862583637237548828e-02
1.616161616161616132e+00,5.272285342216491699e-01,-6.023318171501159668e-01,1.350804209709167480e+00,-4.443513453006744385e-01,-7.254974246025085449e-01,-3.472404554486274719e-02
1.717171717171717127e+00,4.556936919689178467e-01,-5.206069350242614746e-01,1.167525768280029297e+00,-3.840613067150115967e-01,-6.270612478256225586e-01,-3.001265600323677063e-02
1.818181818181818121e+00,3.753414154052734375e-01,-4.288085103034973145e-01,9.616563916206359863e-01,-3.163399398326873779e-01,-5.164917707443237305e-01,-2.472053468227386475e-02
1.919191919191919116e+00,2.904198765754699707e-01,-3.317899405956268311e-01,7.440802454948425293e-01,-2.447675764560699463e-01,-3.996347784996032715e-01,-1.912747882306575775e-02
