t,dJ1,dJ2,dJ3,dJ4,dJ5,dJ6
0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010083e-01,-3.536994382739067078e-02,-2.798410318791866302e-02,1.895013451576232910e-02,2.344542182981967926e-02,-1.735842600464820862e-02,4.815095162484794855e-04
2.020202020202020166e-01,-1.294446289539337158e-01,-1.024144142866134644e-01,6.935247778892517090e-02,8.580403029918670654e-02,-6.352724879980087280e-02,1.762197352945804596e-03
3.030303030303030387e-01,-2.653748393058776855e-01,-2.099601328372955322e-01,1.421797424554824829e-01,1.759071350097656250e-01,-1.302374303340911865e-01,3.612686414271593094e-03
4.040404040404040331e-01,-4.279161095619201660e-01,-3.385600447654724121e-01,2.292643785476684570e-01,2.836497128009796143e-01,-2.100074291229248047e-01,5.825445521622896194e-03
5.050505050505050830e-01,-6.034286618232727051e-01,-4.774225652217864990e-01,3.232986330986022949e-01,3.999904096126556396e-01,-2.961433231830596924e-01,8.214788511395454407e-03
6.060606060606060774e-01,-7.798771262168884277e-01,-6.170256733894348145e-01,4.178343415260314941e-01,5.169515609741210938e-01,-3.827385306358337402e-01,1.061687432229518890e-02
7.070707070707070718e-01,-9.468314051628112793e-01,-7.491170763969421387e-01,5.072833299636840820e-01,6.276193857192993164e-01,-4.646743237972259521e-01,1.288971025496721268e-02
8.080808080808080662e-01,-1.095465183258056641e+00,-8.667136430740356445e-01,5.869167447090148926e-01,7.261431813240051270e-01,-5.376189947128295898e-01,1.491313893347978592e-02
9.090909090909090606e-01,-1.218558073043823242e+00,-9.641026258468627930e-01,6.528661847114562988e-01,8.077368736267089844e-01,-5.980290174484252930e-01,1.658886671066284180e-02
1.010101010101010166e+00,-1.310493230819702148e+00,-1.036840200424194336e+00,7.021222114562988281e-01,8.686772584915161133e-01,-6.431478261947631836e-01,1.784042827785015106e-02
