orient_w,joint_w,joint_vel_w,orient_angle_deg,orient_cost,orient_trace,joint_err_max_deg,joint_err_norm,qd_final_norm,elapsed_s,converged
1.0,0.0,0.0,0.003786,-18.420680,0.0000000000,199.936629,3.898315,1.011217,1.79,True
1.0,0.0,1.0,0.003786,-18.420681,0.0000000000,322.134801,5.771301,0.034547,5.08,True
1.0,0.0,10.0,0.003786,-18.420681,0.0000000000,118.533756,2.240770,0.001362,6.58,True
1.0,0.0,50.0,0.003786,-18.420681,0.0000000000,118.534483,2.240782,0.000273,4.16,True
1.0,0.0,100.0,0.003786,-18.420681,0.0000000000,118.534580,2.240783,0.000137,5.22,True
1.0,1.0,0.0,0.004345,-18.290945,0.0000000014,41.098100,1.087921,0.833010,9.15,True
1.0,1.0,1.0,0.004139,-18.338883,0.0000000009,14.792500,0.287550,0.089024,8.92,True
1.0,1.0,10.0,0.003786,-18.420680,0.0000000000,49.691269,1.086241,0.073735,2.25,True
1.0,1.0,50.0,0.003786,-18.420681,0.0000000000,5.391822,0.109659,0.001344,8.52,True
1.0,1.0,100.0,0.003796,-18.418318,0.0000000000,5.910020,0.119221,0.000703,8.88,True
1.0,10.0,0.0,0.005208,-18.091544,0.0000000039,15.605287,0.294861,1.678476,8.83,True
1.0,10.0,1.0,0.003786,-18.420681,0.0000000000,0.547706,0.011329,0.067751,6.14,True
1.0,10.0,10.0,0.003786,-18.420681,0.0000000000,0.567256,0.011691,0.007119,5.70,True
1.0,10.0,50.0,0.003786,-18.420681,0.0000000000,0.566793,0.011694,0.001431,5.38,True
1.0,10.0,100.0,0.003786,-18.420681,0.0000000000,0.566531,0.011692,0.000716,6.00,True
1.0,50.0,0.0,26.834805,-1.535368,0.2153764685,0.584344,0.011566,0.005991,0.12,True
1.0,50.0,1.0,26.833869,-1.535436,0.2153617225,0.590100,0.011625,0.001019,0.12,True
1.0,50.0,10.0,26.834588,-1.535384,0.2153730562,0.588372,0.011579,0.000280,0.12,True
1.0,50.0,50.0,26.834698,-1.535376,0.2153747848,0.587954,0.011572,0.000099,0.11,True
1.0,50.0,100.0,26.834684,-1.535377,0.2153745645,0.587940,0.011573,0.000058,0.12,True
1.0,100.0,0.0,26.926116,-1.528699,0.2168175801,0.294169,0.005825,0.003152,0.12,True
1.0,100.0,1.0,26.925816,-1.528721,0.2168128322,0.296186,0.005844,0.000504,0.12,True
1.0,100.0,10.0,26.926084,-1.528701,0.2168170660,0.295564,0.005827,0.000130,0.13,True
1.0,100.0,50.0,26.926117,-1.528699,0.2168175971,0.295433,0.005825,0.000047,0.12,True
1.0,100.0,100.0,26.926113,-1.528699,0.2168175248,0.295425,0.005825,0.000028,0.12,True
10.0,0.0,0.0,0.010341,-17.080173,0.0000000282,205.185873,3.936133,1.107334,4.17,True
10.0,0.0,1.0,0.010474,-17.058349,0.0000000291,182.261388,3.611606,0.981382,3.54,True
10.0,0.0,10.0,0.003858,-18.403998,0.0000000002,118.897058,2.375671,0.140714,9.11,True
10.0,0.0,50.0,0.003887,-18.397202,0.0000000002,119.048009,2.458895,0.080557,8.98,True
10.0,0.0,100.0,0.003786,-18.420681,0.0000000000,118.534591,2.240784,0.000137,5.87,True
10.0,1.0,0.0,0.003786,-18.420681,0.0000000000,44.424850,1.115198,0.738917,1.79,True
10.0,1.0,1.0,0.003833,-18.409922,0.0000000001,44.414086,1.049574,0.253337,9.22,True
10.0,1.0,10.0,0.003786,-18.420681,0.0000000000,52.132843,1.101571,0.232000,2.06,True
10.0,1.0,50.0,0.003969,-18.378449,0.0000000004,45.688102,0.902151,0.060317,9.26,True
10.0,1.0,100.0,0.026025,-15.366871,0.0000002020,53.537427,1.072358,0.167394,3.71,True
10.0,10.0,0.0,0.003969,-18.378328,0.0000000004,43.730965,1.093907,0.996612,3.40,True
10.0,10.0,1.0,0.004491,-18.257002,0.0000000018,40.518997,0.852568,0.246073,9.06,True
10.0,10.0,10.0,0.012765,-16.711144,0.0000000453,45.531744,1.177070,0.295209,3.67,True
10.0,10.0,50.0,22.804012,-1.855799,0.1563279736,16.645010,0.314737,0.013342,0.17,True
10.0,10.0,100.0,22.714101,-1.863596,0.1551138228,16.787882,0.317571,0.007602,0.17,True
10.0,50.0,0.0,0.003786,-18.420681,0.0000000000,0.032807,0.000849,1.371924,4.60,True
10.0,50.0,1.0,0.003786,-18.420681,0.0000000000,0.038875,0.001091,0.093032,7.99,True
10.0,50.0,10.0,26.056174,-1.593209,0.2032723547,5.324110,0.102706,0.003474,0.38,True
10.0,50.0,50.0,25.053947,-1.670351,0.1881810587,5.395835,0.103438,0.002491,0.32,True
10.0,50.0,100.0,25.190912,-1.659622,0.1902108503,5.379379,0.103149,0.001384,0.33,True
10.0,100.0,0.0,0.008157,-17.469015,0.0000000159,18.049124,0.453975,3.303821,3.81,True
10.0,100.0,1.0,0.003786,-18.420681,0.0000000000,0.019510,0.000558,0.092828,6.68,True
10.0,100.0,10.0,0.020871,-15.793628,0.0000001283,15.179046,0.289339,0.440285,4.26,True
10.0,100.0,50.0,0.003786,-18.420681,0.0000000000,0.019925,0.000584,0.001981,7.45,True
10.0,100.0,100.0,26.097309,-1.590108,0.2039035214,2.793722,0.054787,0.000615,0.31,True
50.0,0.0,0.0,0.003786,-18.420681,0.0000000000,136.671736,4.146435,1.105017,2.56,True
50.0,0.0,1.0,0.029029,-15.153647,0.0000002523,140.479811,3.399162,1.005907,3.06,True
50.0,0.0,10.0,0.047689,-14.174474,0.0000006884,119.424671,2.391544,0.330748,3.78,True
50.0,0.0,50.0,0.003849,-18.406115,0.0000000001,120.007744,2.558724,0.119776,9.01,True
50.0,0.0,100.0,0.003789,-18.420069,0.0000000000,83.103222,1.917944,0.001086,8.84,True
50.0,1.0,0.0,0.003791,-18.419561,0.0000000000,90.010588,1.971100,1.724101,2.54,True
50.0,1.0,1.0,0.003801,-18.417286,0.0000000000,90.707877,1.913839,1.333725,2.73,True
50.0,1.0,10.0,0.003839,-18.408443,0.0000000001,110.161970,2.253534,0.204788,9.19,True
50.0,1.0,50.0,0.037999,-14.624137,0.0000004355,115.996098,2.577542,0.199872,3.83,True
50.0,1.0,100.0,0.003858,-18.403944,0.0000000002,109.635867,2.234480,0.088688,9.55,True
50.0,10.0,0.0,0.037709,-14.639224,0.0000004288,55.633578,1.430342,1.798493,3.50,True
50.0,10.0,1.0,0.003899,-18.394564,0.0000000003,41.336554,1.029334,0.385056,5.70,True
50.0,10.0,10.0,0.026849,-15.306153,0.0000002152,51.557500,1.072158,0.179273,3.32,True
50.0,10.0,50.0,0.017370,-16.142958,0.0000000875,51.426117,1.032291,0.076712,2.72,True
50.0,10.0,100.0,0.003949,-18.383054,0.0000000004,39.613219,0.794732,0.016962,9.15,True
50.0,50.0,0.0,0.004820,-18.180833,0.0000000027,34.439963,0.956124,2.592580,8.80,True
50.0,50.0,1.0,0.011859,-16.842179,0.0000000385,48.850847,1.075316,0.611519,2.67,True
50.0,50.0,10.0,0.061551,-13.667333,0.0000011497,58.205150,1.148899,0.071866,3.73,True
50.0,50.0,50.0,0.050163,-14.074084,0.0000007622,57.415947,1.129400,0.184122,3.62,True
50.0,50.0,100.0,0.004877,-18.167662,0.0000000029,15.473305,0.326707,0.041831,8.69,True
50.0,100.0,0.0,0.035069,-14.782445,0.0000003702,53.302928,1.000591,2.018692,3.40,True
50.0,100.0,1.0,0.005126,-18.110377,0.0000000036,29.862060,0.597895,0.684605,8.89,True
50.0,100.0,10.0,0.004150,-18.336307,0.0000000009,4.816646,0.101876,0.034646,8.99,True
50.0,100.0,50.0,0.008022,-17.494964,0.0000000152,55.479655,1.132210,0.261006,2.69,True
50.0,100.0,100.0,0.027511,-15.258655,0.0000002262,52.022219,1.071712,0.115348,3.24,True
100.0,0.0,0.0,0.003786,-18.420681,0.0000000000,200.108353,3.839720,1.080869,2.02,True
100.0,0.0,1.0,0.034578,-14.810174,0.0000003598,207.616878,4.021916,1.060522,3.13,True
100.0,0.0,10.0,0.093594,-12.831919,0.0000026640,195.169822,3.887115,0.979664,3.86,True
100.0,0.0,50.0,0.032032,-14.960581,0.0000003082,107.850715,2.530609,0.860756,3.01,True
100.0,0.0,100.0,0.068945,-13.441461,0.0000014436,119.509696,2.419502,0.303388,3.45,True
100.0,1.0,0.0,0.007819,-17.534582,0.0000000143,119.775026,2.459714,0.349010,2.24,True
100.0,1.0,1.0,0.022617,-15.639089,0.0000001514,119.450343,2.393116,0.327891,2.79,True
100.0,1.0,10.0,0.003804,-18.416388,0.0000000000,114.231291,2.229345,0.229276,8.87,True
100.0,1.0,50.0,0.016143,-16.280435,0.0000000750,119.078011,2.390485,0.245968,3.80,True
100.0,1.0,100.0,0.012119,-16.803901,0.0000000404,119.283907,2.445605,0.176524,3.54,True
100.0,10.0,0.0,0.020321,-15.844854,0.0000001214,50.329647,1.094779,1.086743,2.94,True
100.0,10.0,1.0,0.019209,-15.952317,0.0000001080,47.567058,0.850608,1.340348,3.80,True
100.0,10.0,10.0,0.009735,-17.182225,0.0000000245,50.885461,0.931320,0.221112,3.68,True
100.0,10.0,50.0,0.026832,-15.307451,0.0000002149,41.231321,0.723291,0.101216,3.36,True
100.0,10.0,100.0,0.008717,-17.363490,0.0000000188,38.845289,0.678416,0.062607,3.22,True
100.0,50.0,0.0,0.032306,-14.943913,0.0000003135,48.718860,1.077326,1.955092,3.46,True
100.0,50.0,1.0,0.024350,-15.496144,0.0000001763,52.573763,1.159521,0.396431,3.68,True
100.0,50.0,10.0,0.009913,-17.151834,0.0000000256,60.272080,1.527213,0.477934,2.75,True
100.0,50.0,50.0,0.044100,-14.329613,0.0000005880,37.509254,0.870441,0.164606,3.22,True
100.0,50.0,100.0,0.007714,-17.555277,0.0000000138,36.618716,0.850092,0.118367,3.19,True
100.0,100.0,0.0,0.004998,-18.139827,0.0000000032,34.843641,0.874880,2.322937,8.43,True
100.0,100.0,1.0,0.014493,-16.480266,0.0000000596,64.617361,1.559430,1.942636,2.63,True
100.0,100.0,10.0,0.007356,-17.626936,0.0000000121,56.141631,1.162841,0.133933,2.77,True
100.0,100.0,50.0,0.032905,-14.907753,0.0000003255,56.014688,1.143744,0.203171,3.24,True
100.0,100.0,100.0,0.008455,-17.412283,0.0000000174,56.054798,1.145665,0.221054,2.70,True
500.0,0.0,0.0,0.087933,-12.956418,0.0000023510,136.859323,4.148700,1.105188,3.08,True
500.0,0.0,1.0,0.007844,-17.529659,0.0000000144,135.572908,4.126313,1.097152,2.95,True
500.0,0.0,10.0,0.010815,-17.003310,0.0000000313,141.237095,3.386109,1.008697,2.42,True
500.0,0.0,50.0,0.064145,-13.585169,0.0000012490,119.476436,2.383578,0.326847,2.48,True
500.0,0.0,100.0,0.150974,-11.876941,0.0000069388,119.357954,2.398013,0.329873,3.60,True
500.0,1.0,0.0,0.025847,-15.380269,0.0000001991,119.478539,2.391993,0.325043,2.70,True
500.0,1.0,1.0,0.048042,-14.159810,0.0000006987,119.647203,2.416543,0.339823,3.55,True
500.0,1.0,10.0,0.121781,-12.306263,0.0000045133,480.223004,8.639718,1.043451,15.11,True
500.0,1.0,50.0,0.065364,-13.547693,0.0000012971,119.307179,2.390675,0.333689,2.68,True
500.0,1.0,100.0,0.055197,-13.884096,0.0000009237,324.929299,5.764966,0.751086,2.74,True
500.0,10.0,0.0,0.014326,-16.501452,0.0000000582,124.045970,2.809448,0.389728,2.49,True
500.0,10.0,1.0,0.012567,-16.739140,0.0000000437,125.641475,2.981356,0.261506,1.61,True
500.0,10.0,10.0,0.012741,-16.714470,0.0000000451,125.982745,3.123832,0.298338,3.43,True
500.0,10.0,50.0,0.019850,-15.889655,0.0000001157,125.699306,3.091346,0.321380,3.10,True
500.0,10.0,100.0,0.016734,-16.213135,0.0000000809,125.614768,3.042528,0.326228,2.71,True
500.0,50.0,0.0,0.093589,-12.832017,0.0000026638,52.296824,1.047273,6.100250,1.96,True
500.0,50.0,1.0,0.056395,-13.841413,0.0000009644,52.785787,1.056696,0.717426,3.08,True
500.0,50.0,10.0,0.091847,-12.869521,0.0000025654,146.832287,3.635576,2.115193,13.95,True
500.0,50.0,50.0,0.053758,-13.936607,0.0000008759,52.777309,0.991893,0.268613,2.80,True
500.0,50.0,100.0,0.019909,-15.883970,0.0000001164,53.096798,0.997651,0.190331,1.99,True
500.0,100.0,0.0,0.084480,-13.036336,0.0000021697,55.960448,1.306539,1.792574,3.38,True
500.0,100.0,1.0,0.032878,-14.909383,0.0000003249,51.408149,1.334518,0.426082,2.59,True
500.0,100.0,10.0,0.040725,-14.487191,0.0000005008,53.800536,1.035126,0.405820,4.12,True
500.0,100.0,50.0,0.121185,-12.316071,0.0000044692,47.606484,1.091629,0.138556,3.78,True
500.0,100.0,100.0,0.043919,-14.337726,0.0000005832,46.985864,1.095147,0.143664,2.27,True
