t,yaw,pitch,roll
0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010083e-01,5.582789890468120575e-05,-7.355384295806288719e-04,7.639708928763866425e-05
2.020202020202020166e-01,2.592699020169675350e-04,-3.425728995352983475e-03,3.766934678424149752e-04
3.030303030303030387e-01,6.707294960506260395e-04,-8.930535055696964264e-03,1.097721164114773273e-03
4.040404040404040331e-01,1.311447005718946457e-03,-1.776749268174171448e-02,2.560372464358806610e-03
5.050505050505050830e-01,2.144867787137627602e-03,-3.011277131736278534e-02,5.248750094324350357e-03
6.060606060606060774e-01,3.047768725082278252e-03,-4.578685760498046875e-02,9.791215881705284119e-03
7.070707070707070718e-01,3.782319370657205582e-03,-6.423784047365188599e-02,1.687801815569400787e-02
8.080808080808080662e-01,3.989839926362037659e-03,-8.454636484384536743e-02,2.712549082934856415e-02
9.090909090909090606e-01,3.227737732231616974e-03,-1.054780632257461548e-01,4.091164469718933105e-02
1.010101010101010166e+00,1.058645546436309814e-03,-1.256006062030792236e-01,5.822036042809486389e-02
1.111111111111111160e+00,-2.824819181114435196e-03,-1.434639990329742432e-01,7.853882759809494019e-02
1.212121212121212155e+00,-8.481631986796855927e-03,-1.578211337327957153e-01,1.008512675762176514e-01
1.313131313131313149e+00,-1.566343382000923157e-02,-1.678435355424880981e-01,1.237561032176017761e-01
1.414141414141414144e+00,-2.385011501610279083e-02,-1.732758581638336182e-01,1.457006335258483887e-01
1.515151515151515138e+00,-3.237098082900047302e-02,-1.744781285524368286e-01,1.652810126543045044e-01
1.616161616161616132e+00,-4.056001082062721252e-02,-1.723328530788421631e-01,1.815171837806701660e-01
1.717171717171717127e+00,-4.788136854767799377e-02,-1.680396795272827148e-01,1.940079778432846069e-01
1.818181818181818121e+00,-5.398774892091751099e-02,-1.628587841987609863e-01,2.029150426387786865e-01
1.919191919191919116e+00,-5.871676653623580933e-02,-1.578784584999084473e-01,2.087963074445724487e-01
2.020202020202020332e+00,-6.205765157938003540e-02,-1.538603901863098145e-01,2.123723924160003662e-01
2.121212121212121104e+00,-6.412063539028167725e-02,-1.511761397123336792e-01,2.143259048461914062e-01
2.222222222222222321e+00,-6.512395292520523071e-02,-1.498157382011413574e-01,2.152032703161239624e-01
2.323232323232323093e+00,-6.539773195981979370e-02,-1.494385302066802979e-01,2.154345214366912842e-01
2.424242424242424310e+00,-6.539773195981979370e-02,-1.494385302066802979e-01,2.154345214366912842e-01
2.525252525252525082e+00,-6.539773195981979370e-02,-1.494385302066802979e-01,2.154345214366912842e-01
2.626262626262626299e+00,-6.478676199913024902e-02,-1.499124020338058472e-01,2.146668285131454468e-01
