t,J1,J2,J3,J4,J5,J6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010083e-01,5.841037491336464882e-04,1.400767010636627674e-03,-1.697941450402140617e-03,8.914000354707241058e-04,-2.029199386015534401e-03,5.628368235193192959e-04
2.020202020202020166e-01,4.377212375402450562e-03,1.049720216542482376e-02,-1.272419560700654984e-02,6.680058781057596207e-03,-1.520660892128944397e-02,4.217840265482664108e-03
3.030303030303030387e-01,1.381038967519998550e-02,3.311935439705848694e-02,-4.014566540718078613e-02,2.107601799070835114e-02,-4.797783866524696350e-02,1.330755930393934250e-02
4.040404040404040331e-01,3.053676337003707886e-02,7.323166728019714355e-02,-8.876785635948181152e-02,4.660211876034736633e-02,-1.060859188437461853e-01,2.942493371665477753e-02
5.050505050505050830e-01,5.550931021571159363e-02,1.331195235252380371e-01,-1.613609939813613892e-01,8.471269160509109497e-02,-1.928415447473526001e-01,5.348824337124824524e-02
6.060606060606060774e-01,8.905863016843795776e-02,2.135757505893707275e-01,-2.588860988616943359e-01,1.359122693538665771e-01,-3.093931972980499268e-01,8.581604808568954468e-02
7.070707070707070718e-01,1.309708356857299805e-01,3.140874207019805908e-01,-3.807214200496673584e-01,1.998744308948516846e-01,-4.549978673458099365e-01,1.262022554874420166e-01
8.080808080808080662e-01,1.805652081966400146e-01,4.330220222473144531e-01,-5.248881578445434570e-01,2.755603492259979248e-01,-6.272906661033630371e-01,1.739909201860427856e-01
9.090909090909090606e-01,2.367720305919647217e-01,5.678143501281738281e-01,-6.882767677307128906e-01,3.613375127315521240e-01,-8.225554227828979492e-01,2.281512767076492310e-01
1.010101010101010166e+00,2.982106208801269531e-01,7.151530981063842773e-01,-8.668736815452575684e-01,4.550988674163818359e-01,-1.035995483398437500e+00,2.873528897762298584e-01
1.111111111111111160e+00,3.632664978504180908e-01,8.711667060852050781e-01,-1.055985689163208008e+00,5.543805360794067383e-01,-1.262002110481262207e+00,3.500401377677917480e-01
1.212121212121212155e+00,4.301699995994567871e-01,1.031611204147338867e+00,-1.250468730926513672e+00,6.564819216728210449e-01,-1.494427561759948730e+00,4.145077168941497803e-01
1.313131313131313149e+00,4.970736205577850342e-01,1.192055940628051758e+00,-1.444952011108398438e+00,7.585834264755249023e-01,-1.726853370666503906e+00,4.789753854274749756e-01
1.414141414141414144e+00,5.621294975280761719e-01,1.348069548606872559e+00,-1.634064078330993652e+00,8.578651547431945801e-01,-1.952859997749328613e+00,5.416626334190368652e-01
1.515151515151515138e+00,6.235679388046264648e-01,1.495408058166503906e+00,-1.812660694122314453e+00,9.516263008117675781e-01,-2.166299819946289062e+00,6.008641719818115234e-01
1.616161616161616132e+00,6.797746419906616211e-01,1.630199909210205078e+00,-1.976048827171325684e+00,1.037403225898742676e+00,-2.361563920974731445e+00,6.550243496894836426e-01
1.717171717171717127e+00,7.293689846992492676e-01,1.749134540557861328e+00,-2.120215415954589844e+00,1.113089084625244141e+00,-2.533856630325317383e+00,7.028130292892456055e-01
