t,dJ1,dJ2,dJ3,dJ4,dJ5,dJ6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010083e-01,1.646122150123119354e-02,3.947644308209419250e-02,-4.785141721367835999e-02,2.512145042419433594e-02,-5.718693882226943970e-02,1.586187817156314850e-02
2.020202020202020166e-01,6.024371460080146790e-02,1.444733291864395142e-01,-1.751235127449035645e-01,9.193786233663558960e-02,-2.092890441417694092e-01,5.805026739835739136e-02
3.030303030303030387e-01,1.235058456659317017e-01,2.961852550506591797e-01,-3.590213060379028320e-01,1.884821206331253052e-01,-4.290641844272613525e-01,1.190090551972389221e-01
4.040404040404040331e-01,1.991527825593948364e-01,4.775977730751037598e-01,-5.789207220077514648e-01,3.039268255233764648e-01,-6.918646097183227539e-01,1.919017136096954346e-01
5.050505050505050830e-01,2.808365523815155029e-01,6.734875440597534180e-01,-8.163686990737915039e-01,4.285843372344970703e-01,-9.756372570991516113e-01,2.706114351749420166e-01
6.060606060606060774e-01,3.629559278488159180e-01,8.704220056533813477e-01,-1.055083036422729492e+00,5.539066195487976074e-01,-1.260923266410827637e+00,3.497408926486968994e-01
7.070707070707070718e-01,4.406567215919494629e-01,1.056759834289550781e+00,-1.280952692031860352e+00,6.724856495857238770e-01,-1.530858755111694336e+00,4.246125817298889160e-01
8.080808080808080662e-01,5.098310708999633789e-01,1.222650170326232910e+00,-1.482036828994750977e+00,7.780525684356689453e-01,-1.771173238754272461e+00,4.912683367729187012e-01
9.090909090909090606e-01,5.671186447143554688e-01,1.360034227371215820e+00,-1.648567199707031250e+00,8.654791116714477539e-01,-1.970192551612854004e+00,5.464701056480407715e-01
1.010101010101010166e+00,6.099054217338562012e-01,1.462643384933471680e+00,-1.772944808006286621e+00,9.307759404182434082e-01,-2.118835449218750000e+00,5.876990556716918945e-01
1.111111111111111160e+00,6.363243460655212402e-01,1.525999784469604492e+00,-1.849742531776428223e+00,9.710938334465026855e-01,-2.210615873336791992e+00,6.131560802459716797e-01
1.212121212121212155e+00,6.452549695968627930e-01,1.547416806221008301e+00,-1.875703096389770508e+00,9.847229123115539551e-01,-2.241641521453857422e+00,6.217615604400634766e-01
1.313131313131313149e+00,6.363242268562316895e-01,1.525999426841735840e+00,-1.849741935729980469e+00,9.710935354232788086e-01,-2.210615396499633789e+00,6.131559610366821289e-01
1.414141414141414144e+00,6.099056005477905273e-01,1.462643742561340332e+00,-1.772945165634155273e+00,9.307762384414672852e-01,-2.118835926055908203e+00,5.876992344856262207e-01
1.515151515151515138e+00,5.671186447143554688e-01,1.360034227371215820e+00,-1.648567199707031250e+00,8.654791116714477539e-01,-1.970192551612854004e+00,5.464701056480407715e-01
1.616161616161616132e+00,5.098311305046081543e-01,1.222650289535522461e+00,-1.482037067413330078e+00,7.780526876449584961e-01,-1.771173477172851562e+00,4.912684559822082520e-01
1.717171717171717127e+00,4.406567513942718506e-01,1.056760072708129883e+00,-1.280952930450439453e+00,6.724857687950134277e-01,-1.530858993530273438e+00,4.246126711368560791e-01
1.818181818181818121e+00,3.629559278488159180e-01,8.704220056533813477e-01,-1.055083036422729492e+00,5.539066195487976074e-01,-1.260923266410827637e+00,3.497408926486968994e-01
1.919191919191919116e+00,2.808366417884826660e-01,6.734877228736877441e-01,-8.163689374923706055e-01,4.285844266414642334e-01,-9.756375551223754883e-01,2.706114947795867920e-01
2.020202020202020332e+00,1.991531550884246826e-01,4.775987267494201660e-01,-5.789218544960021973e-01,3.039273917675018311e-01,-6.918659806251525879e-01,1.919021010398864746e-01
2.121212121212121104e+00,1.235058456659317017e-01,2.961852550506591797e-01,-3.590213060379028320e-01,1.884821206331253052e-01,-4.290641844272613525e-01,1.190090551972389221e-01
2.222222222222222321e+00,6.024388596415519714e-02,1.444737315177917480e-01,-1.751240193843841553e-01,9.193812310695648193e-02,-2.092896401882171631e-01,5.805043503642082214e-02
2.323232323232323093e+00,1.646022498607635498e-02,3.947405144572257996e-02,-4.784851521253585815e-02,2.511993050575256348e-02,-5.718347430229187012e-02,1.586091704666614532e-02
2.424242424242424310e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
2.525252525252525082e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.626262626262626299e+00,-4.723006859421730042e-02,-3.008355759084224701e-02,-1.051399018615484238e-02,1.636035367846488953e-02,1.730039156973361969e-02,4.649869631975889206e-03
2.727272727272727071e+00,-1.728495508432388306e-01,-1.100978627800941467e-01,-3.847842290997505188e-02,5.987455695867538452e-02,6.331485509872436523e-02,1.701729372143745422e-02
2.828282828282828287e+00,-3.543594479560852051e-01,-2.257119864225387573e-01,-7.888473570346832275e-02,1.227490305900573730e-01,1.298019886016845703e-01,3.488720580935478210e-02
2.929292929292929060e+00,-5.714034438133239746e-01,-3.639598488807678223e-01,-1.272013932466506958e-01,1.979324221611022949e-01,2.093052864074707031e-01,5.625551193952560425e-02
3.030303030303030276e+00,-8.057681918144226074e-01,-5.132402777671813965e-01,-1.793738454580307007e-01,2.791156768798828125e-01,2.951532006263732910e-01,7.932906597852706909e-02
3.131313131313131048e+00,-1.041382789611816406e+00,-6.633168458938598633e-01,-2.318245470523834229e-01,3.607318401336669922e-01,3.814589083194732666e-01,1.025256738066673279e-01
3.232323232323232265e+00,-1.264319658279418945e+00,-8.053181767463684082e-01,-2.814529836177825928e-01,4.379564821720123291e-01,4.631207585334777832e-01,1.244741231203079224e-01
3.333333333333333481e+00,-1.462792634963989258e+00,-9.317371249198913574e-01,-3.256355226039886475e-01,5.067069530487060547e-01,5.358214974403381348e-01,1.440140902996063232e-01
3.434343434343434254e+00,-1.627160668373107910e+00,-1.036432504653930664e+00,-3.622258305549621582e-01,5.636435151100158691e-01,5.960295200347900391e-01,1.601963639259338379e-01
3.535353535353535470e+00,-1.749923110008239746e+00,-1.114627122879028320e+00,-3.895542919635772705e-01,6.061680912971496582e-01,6.409975290298461914e-01,1.722825169563293457e-01
3.636363636363636243e+00,-1.825723648071289062e+00,-1.162908792495727539e+00,-4.064283967018127441e-01,6.324251890182495117e-01,6.687632799148559570e-01,1.797451823949813843e-01
3.737373737373737459e+00,-1.851347208023071289e+00,-1.179229974746704102e+00,-4.121325016021728516e-01,6.413010358810424805e-01,6.781491637229919434e-01,1.822678595781326294e-01
3.838383838383838231e+00,-1.825723290443420410e+00,-1.162908554077148438e+00,-4.064282774925231934e-01,6.324249505996704102e-01,6.687630414962768555e-01,1.797451376914978027e-01
3.939393939393939448e+00,-1.749923706054687500e+00,-1.114627480506896973e+00,-3.895543813705444336e-01,6.061682701110839844e-01,6.409977078437805176e-01,1.722825616598129272e-01
4.040404040404040664e+00,-1.627160668373107910e+00,-1.036432504653930664e+00,-3.622258305549621582e-01,5.636435151100158691e-01,5.960295200347900391e-01,1.601963639259338379e-01
4.141414141414140992e+00,-1.462792992591857910e+00,-9.317373037338256836e-01,-3.256355822086334229e-01,5.067070722579956055e-01,5.358215570449829102e-01,1.440141201019287109e-01
4.242424242424242209e+00,-1.264319777488708496e+00,-8.053183555603027344e-01,-2.814530432224273682e-01,4.379565715789794922e-01,4.631207883358001709e-01,1.244741454720497131e-01
4.343434343434343425e+00,-1.041382789611816406e+00,-6.633168458938598633e-01,-2.318245470523834229e-01,3.607318401336669922e-01,3.814589083194732666e-01,1.025256738066673279e-01
4.444444444444444642e+00,-8.057683706283569336e-01,-5.132404565811157227e-01,-1.793738901615142822e-01,2.791157364845275879e-01,2.951532900333404541e-01,7.932908833026885986e-02
4.545454545454544970e+00,-5.714045763015747070e-01,-3.639605641365051270e-01,-1.272016465663909912e-01,1.979328095912933350e-01,2.093057185411453247e-01,5.625561997294425964e-02
4.646464646464646187e+00,-3.543594479560852051e-01,-2.257119864225387573e-01,-7.888473570346832275e-02,1.227490305900573730e-01,1.298019886016845703e-01,3.488720580935478210e-02
4.747474747474747403e+00,-1.728500425815582275e-01,-1.100981682538986206e-01,-3.847853094339370728e-02,5.987473204731941223e-02,6.331503391265869141e-02,1.701734028756618500e-02
4.848484848484848619e+00,-4.722720757126808167e-02,-3.008173778653144836e-02,-1.051335316151380539e-02,1.635936275124549866e-02,1.729934290051460266e-02,4.649587906897068024e-03
4.949494949494949836e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
