t,u1,u2,u3,u4,u5,u6
0.000000000000000000e+00,-3.646486519492585510e-01,-1.125965866384768220e-03,-4.451310952814520328e-02,-2.801327389598502055e-02,1.359650112895537978e-02,1.419872883461865487e-03
1.000000000000000056e-01,-3.296503815415249283e-01,4.704392406729626490e-03,-3.625898038802635726e-02,-2.588419489145645652e-02,1.249182009465118690e-02,1.222433829378191325e-03
2.000000000000000111e-01,-3.030204819065947519e-01,9.419075285768095662e-03,-2.989200802237972077e-02,-2.426926938054163249e-02,1.167009392343462855e-02,1.072185548056444433e-03
3.000000000000000444e-01,-2.811597937688931070e-01,1.337449726946945971e-02,-2.465853210329137582e-02,-2.294256596475861831e-02,1.100719640573114520e-02,9.490836764424934700e-04
4.000000000000000222e-01,-2.622350077324320239e-01,1.674722179355377788e-02,-2.017679223573167618e-02,-2.178760277978685281e-02,1.043911818801427846e-02,8.429982020689853186e-04
5.000000000000000000e-01,-2.451042485423950978e-01,1.962511072319253480e-02,-1.621959469363763034e-02,-2.073011132992221006e-02,9.925000164572735442e-03,7.477920680383959339e-04
6.000000000000000888e-01,-2.289433391023656394e-01,2.204044110455163907e-02,-1.263826548307365669e-02,-1.971464150137733004e-02,9.434277155917844201e-03,6.592650495215785942e-04
7.000000000000000666e-01,-2.130953615151861547e-01,2.398513847471579058e-02,-9.331397450672804586e-03,-1.869513283331683887e-02,8.941498239953646343e-03,5.743245481248063656e-04
8.000000000000000444e-01,-1.970060334280536729e-01,2.541997213065780997e-02,-6.230436237753657694e-03,-1.763088413893350651e-02,8.424112436212697133e-03,4.906224000291797230e-04
9.000000000000000222e-01,-1.801970577360035852e-01,2.628198448129106732e-02,-3.292275710781204616e-03,-1.648496260017225795e-02,7.861593639312686177e-03,4.063917399246720760e-04
1.000000000000000000e+00,-1.622583875836248468e-01,2.649193579340885021e-02,-4.948764298353136061e-04,-1.522389029950027214e-02,7.235266962071546307e-03,3.203767653274705975e-04
1.100000000000000089e+00,-1.428508632658101740e-01,2.596255092074279541e-02,2.165910603307617463e-03,-1.381809871479624564e-02,6.528557674833128550e-03,2.318064151124391427e-04
1.200000000000000178e+00,-1.217148037691659079e-01,2.460783965855823166e-02,4.679226531183747033e-03,-1.224289228770398391e-02,5.727521953915196140e-03,1.403863102787610928e-04
1.300000000000000044e+00,-9.868175805573239923e-02,2.235339782523884655e-02,7.022271866195001211e-03,-1.047975241394282289e-02,4.821568486316834927e-03,4.629335506733356603e-05
1.400000000000000133e+00,-7.368719078414588675e-02,1.914727448953536248e-02,9.163786266218526544e-03,-8.517832945488874180e-03,3.804290922181347446e-03,-4.983781120154764347e-05
1.500000000000000000e+00,-4.678201553534122592e-02,1.497069196307684001e-02,1.106798788837066658e-02,-6.355486409867766931e-03,2.674324470857046120e-03,-1.469444460143982196e-04
1.600000000000000089e+00,-1.814090922074770157e-02,9.847651819399342449e-03,1.269886602763471012e-02,-4.001637518555842959e-03,1.436126959709153753e-03,-2.435868837291385960e-04
1.700000000000000178e+00,1.193456958735333862e-02,3.852297042425220641e-03,1.402458647868049663e-02,-1.476801600084511838e-03,1.005732775102204384e-04,-3.380239875698077363e-04
1.800000000000000044e+00,4.301975967757157987e-02,-2.887120946544100009e-03,1.502166264462533908e-02,1.186457935243729602e-03,-1.314751254783158617e-03,-4.283123892520447965e-04
