t,yaw,pitch,roll
0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.160299435341792101e-04,-2.390285154360186981e-04,-1.133442934563702110e-04
3.000000000000000444e-01,3.409694521079840199e-04,-7.269598441328871830e-04,-3.300303175350292320e-04
4.000000000000000222e-01,6.695335699151388868e-04,-1.471556542396818597e-03,-6.449857465997385674e-04
5.000000000000000000e-01,1.097476632587670187e-03,-2.478488619937849365e-03,-1.057257543122523333e-03
6.000000000000000888e-01,1.621197256519472550e-03,-3.751294297229494559e-03,-1.569576929728808742e-03
7.000000000000000666e-01,2.237483236090378764e-03,-5.291183128085075182e-03,-2.188005473388251586e-03
8.000000000000000444e-01,2.943307311676504525e-03,-7.096668085625253836e-03,-2.921550483746622809e-03
9.000000000000000222e-01,3.735638514303234875e-03,-9.163045961231398168e-03,-3.781687061909926127e-03
1.000000000000000000e+00,4.611253832218343771e-03,-1.148176563178381591e-02,-4.781739695109730320e-03
1.100000000000000089e+00,5.566543573046446418e-03,-1.403974102046499570e-02,-5.936085258631726945e-03
1.200000000000000178e+00,6.597308273147091395e-03,-1.681868177050654597e-02,-7.259151023155906157e-03
1.300000000000000044e+00,7.698548157813360840e-03,-1.979452867168249308e-02,-8.764199629360324567e-03
1.400000000000000133e+00,8.864249277942328267e-03,-2.293709003335107563e-02,-1.046191927528297705e-02
1.500000000000000000e+00,1.008717418056455026e-02,-2.620997593575791554e-02,-1.235887083274875460e-02
1.600000000000000089e+00,1.135866951110472804e-02,-2.957091600926077882e-02,-1.445588140968729826e-02
1.700000000000000178e+00,1.266850803045665302e-02,-3.297252045738471166e-02,-1.674651096046764209e-02
1.800000000000000044e+00,1.400478736099208289e-02,-3.636350295889910489e-02,-1.921574803437535103e-02
1.900000000000000133e+00,1.535391103196518531e-02,-3.969033052871781542e-02,-2.183910490496929896e-02
2.000000000000000000e+00,1.670067743907992230e-02,-4.289920572822336631e-02,-2.458227417471310974e-02
2.100000000000000089e+00,1.802849764966967666e-02,-4.593823037479818211e-02,-2.740147432849849782e-02
2.200000000000000178e+00,1.931975278240685365e-02,-4.875955836120327708e-02,-3.024455112112235319e-02
2.300000000000000266e+00,2.055628646924083369e-02,-5.132132872154372000e-02,-3.305282135652864994e-02
2.400000000000000355e+00,2.172000972346702433e-02,-5.358918519474260844e-02,-3.576355711037335072e-02
2.500000000000000000e+00,2.279357774391704491e-02,-5.553723551484944509e-02,-3.831292659717089322e-02
2.600000000000000089e+00,2.376108462318273287e-02,-5.714837561864852256e-02,-4.063914746275903295e-02
2.700000000000000178e+00,2.460871580909739995e-02,-5.841398799813459636e-02,-4.268558033755946723e-02
2.800000000000000266e+00,2.532530106262777247e-02,-5.933310361806001798e-02,-4.440349953522067239e-02
2.900000000000000355e+00,2.590272199778566667e-02,-5.991117823194919145e-02,-4.575432084563170465e-02
3.000000000000000000e+00,2.633614560813495042e-02,-6.015866630802303022e-02,-4.671113412005725718e-02
3.100000000000000089e+00,2.662407492281419416e-02,-6.008957576256367811e-02,-4.725946786557435469e-02
3.200000000000000178e+00,2.676822651111299134e-02,-5.972015799606644054e-02,-4.739729121472983225e-02
3.300000000000000266e+00,2.677325925254114836e-02,-5.906783938122295990e-02,-4.713432487997896297e-02
3.400000000000000355e+00,2.664638821043304601e-02,-5.815044391561010467e-02,-4.649078069430459537e-02
3.500000000000000000e+00,2.639692148233303490e-02,-5.698570333685318984e-02,-4.549567709274933425e-02
3.600000000000000089e+00,2.603575736763969611e-02,-5.559100901342942103e-02,-4.418488688562206140e-02
3.700000000000000178e+00,2.557487535973855530e-02,-5.398333393741269054e-02,-4.259906748659390147e-02
3.800000000000000266e+00,2.502684864498825115e-02,-5.217924386075895732e-02,-4.078160673438021439e-02
3.900000000000000355e+00,2.440439907776694936e-02,-5.019492168313166580e-02,-3.877669376451546579e-02
4.000000000000000000e+00,2.372000881255585669e-02,-4.804614443405228613e-02,-3.662759757619148820e-02
4.100000000000000533e+00,2.298559645837578574e-02,-4.574817283761189318e-02,-3.437520875042041069e-02
4.200000000000000178e+00,2.221226012826815061e-02,-4.331553518915953749e-02,-3.205687425439206900e-02
4.299999999999999822e+00,2.141008530427934362e-02,-4.076170688047246055e-02,-2.970553286843913288e-02
4.400000000000000355e+00,2.058801214911716929e-02,-3.809870248697644346e-02,-2.734914045362952725e-02
4.500000000000000000e+00,1.975375481048784534e-02,-3.533660823583163746e-02,-2.501036054596801270e-02
