t,J1,J2,J3,J4,J5,J6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,-3.646486519492586099e-03,-1.125965866384768308e-05,-4.451310952814520848e-04,-2.801327389598502271e-04,1.359650112895538086e-04,1.419872883461865623e-05
3.000000000000000444e-01,-1.058947685440042238e-02,2.452460673960090782e-05,-1.252851994443167707e-03,-8.191074268342649978e-04,3.968482235256194472e-04,4.062179596301922625e-05
4.000000000000000222e-01,-2.056267200837420470e-02,1.544996250007304767e-04,-2.359492973828680815e-03,-1.600774808514096072e-03,7.744323749960314342e-04,7.776671857198423708e-05
5.000000000000000000e-01,-3.334746510003691600e-02,4.182196159565546977e-04,-3.712719274247107838e-03,-2.611867849841513489e-03,1.262088490523754830e-03,1.244024779453741880e-04
6.000000000000000888e-01,-4.875460826902394684e-02,8.494118248479167518e-04,-5.267713497022851951e-03,-3.840836918966799608e-03,1.854135787931621019e-03,1.794682193394539992e-04
7.000000000000000666e-01,-6.661279392343492922e-02,1.476855140971204119e-03,-6.984903666734971692e-03,-5.277107101391307308e-03,2.545433086985214761e-03,2.420118814139177480e-04
8.000000000000000444e-01,-8.676041296886957688e-02,2.324702868140007903e-03,-8.828476491277829213e-03,-6.910523698829588828e-03,3.331073157597986677e-03,3.111481939835973294e-04
9.000000000000000222e-01,-1.090389856294560755e-01,3.412401980055969342e-03,-1.076536329032741490e-02,-8.730891624601038598e-03,4.206128210610294779e-03,3.860277520345249268e-04
1.000000000000000000e+00,-1.332876186243231176e-01,4.754300813278509140e-03,-1.276455445175453569e-02,-1.072756839176182420e-02,5.165424387984730338e-03,4.658135340857443062e-04
1.100000000000000089e+00,-1.593382221965501944e-01,6.359019491313959611e-03,-1.479666837028946816e-02,-1.288909478492433064e-02,6.203336501752292759e-03,5.496632335362104833e-04
1.200000000000000178e+00,-1.870114096446135188e-01,8.228657527283498446e-03,-1.683373105312275381e-02,-1.520286008108184123e-02,7.313601285140570313e-03,6.367167006399512830e-04
1.300000000000000044e+00,-2.161131057253349586e-01,1.035792107246046555e-02,-1.884913462992296451e-02,-1.765480636438731404e-02,8.489151645277179248e-03,7.260882318948164507e-04
1.400000000000000133e+00,-2.464319498437480549e-01,1.273326301422301500e-02,-2.081774594141133639e-02,-2.022918157056982635e-02,9.721977224952939658e-03,8.168636262524692909e-04
1.500000000000000000e+00,-2.777376115427184766e-01,1.533213893423795299e-02,-2.271613453423775714e-02,-2.290835430089176866e-02,1.100301848949186874e-02,9.081019541607954302e-04
1.600000000000000089e+00,-3.097801451495303393e-01,1.812248759914824453e-02,-2.452288526440199457e-02,-2.567270536066859621e-02,1.232210266325261053e-02,9.988419039571060955e-04
1.700000000000000178e+00,-3.422904989116956065e-01,2.106254318368930289e-02,-2.621895611568252418e-02,-2.850061128454410217e-02,1.366793008172192438e-02,1.088112409293272905e-03
1.800000000000000044e+00,-3.749822617660683588e-01,2.410107528642435604e-02,-2.778803830668670830e-02,-3.136853358360516819e-02,1.502811876978832860e-02,1.174947045792148256e-03
1.900000000000000133e+00,-4.075546789245675927e-01,2.717813035958366319e-02,-2.921687463290408709e-02,-3.425122389866708250e-02,1.638931319062983394e-02,1.258401442415325432e-03
2.000000000000000000e+00,-4.396968984862911212e-01,3.022631422327752906e-02,-3.049549433267521176e-02,-3.712204963437655547e-02,1.773736009892350890e-02,1.337572715145982343e-03
2.100000000000000089e+00,-4.710933305572002627e-01,3.317261149823905880e-02,-3.161732919631929373e-02,-3.995343719171402103e-02,1.905755037541723845e-02,1.411619732870163452e-03
2.200000000000000178e+00,-5.014299156530133139e-01,3.594068770258657119e-02,-3.257918615766738218e-02,-4.271742112596714491e-02,2.033492088157649175e-02,1.479782902314183673e-03
2.300000000000000266e+00,-5.304010201378931422e-01,3.845356882255222125e-02,-3.338106550179830573e-02,-4.538627825032958557e-02,2.155460518730973468e-02,1.541402138753621099e-03
2.400000000000000355e+00,-5.577166133956203975e-01,4.063654788364173820e-02,-3.402582968598293067e-02,-4.793321693515046472e-02,2.270221706369617704e-02,1.595931788005329043e-03
2.500000000000000000e+00,-5.831093435815047910e-01,4.242013495061333628e-02,-3.451874368686547179e-02,-5.033308477467673958e-02,2.376424653610573895e-02,1.642951482471359873e-03
2.600000000000000089e+00,-6.063411226297736878e-01,4.374285140369078839e-02,-3.486692164861803639e-02,-5.256305348100982766e-02,2.472844567034439278e-02,1.682172231148973017e-03
2.700000000000000178e+00,-6.272088590297438815e-01,4.455367428417324194e-02,-3.507872450942429304e-02,-5.460323911583278567e-02,2.558418058512209464e-02,1.713437425972110613e-03
2.800000000000000266e+00,-6.455490363337862414e-01,4.481396195735976723e-02,-3.516315789924903679e-02,-5.643721893957132085e-02,2.632272768342489369e-02,1.736718849604507999e-03
2.900000000000000355e+00,-6.612409196216487706e-01,4.449873517524741834e-02,-3.512931843803927812e-02,-5.805241306804134055e-02,2.693749571683961078e-02,1.752108145341906746e-03
3.000000000000000000e+00,-6.742082712473906891e-01,4.359724216833961441e-02,-3.498593003969689003e-02,-5.944030907733575952e-02,2.742416068853690755e-02,1.759804516386810494e-03
3.100000000000000089e+00,-6.844195597963858013e-01,4.211279553047885676e-02,-3.474100115436305064e-02,-6.059651957172013104e-02,2.778070716678880669e-02,1.760099630277685290e-03
3.200000000000000178e+00,-6.918867414978706609e-01,4.006192510551911945e-02,-3.440162078725415157e-02,-6.152067517664266266e-02,2.800737657840195183e-02,1.753360801789591349e-03
3.300000000000000266e+00,-6.966627727485077415e-01,3.747293861644920149e-02,-3.397389751066547808e-02,-6.221616707288771253e-02,2.810652970835027242e-02,1.740013517666984255e-03
3.400000000000000355e+00,-6.988380704012217004e-01,3.438401607971255242e-02,-3.346303326263852518e-02,-6.268976286824663735e-02,2.808243626338045862e-02,1.720524266006761942e-03
3.500000000000000000e+00,-6.985361709110480266e-01,3.084098308482713727e-02,-3.287351380895603414e-02,-6.295112646859220285e-02,2.794100845674689707e-02,1.695384467401593858e-03
3.600000000000000089e+00,-6.959088511143112221e-01,2.689491195211096350e-02,-3.220939109492806929e-02,-6.301227623848554282e-02,2.768949786230283719e-02,1.665096102616575634e-03
3.700000000000000178e+00,-6.911309653302681877e-01,2.259969053987483101e-02,-3.147462953161431903e-02,-6.288701613329125695e-02,2.733617523330969870e-02,1.630159419561026061e-03
3.800000000000000266e+00,-6.843952298578589444e-01,1.800967915996395594e-02,-3.067348826978019694e-02,-6.259037200568599857e-02,2.689001176245788688e-02,1.591062902739420835e-03
3.900000000000000355e+00,-6.759071514760287558e-01,1.317755033469751938e-02,-2.981091408668091330e-02,-6.213806056870828376e-02,2.636037771291005125e-02,1.548275516846118853e-03
4.000000000000000000e+00,-6.658802557548892942e-01,8.152377668683402634e-03,-2.889292381473031190e-02,-6.154601230906630444e-02,2.575677090764972796e-02,1.502241101634049130e-03
4.100000000000000533e+00,-6.545317278178895970e-01,2.978012220504980961e-03,-2.792696037848900123e-02,-6.082996279052674260e-02,2.508858368449224871e-02,1.453374700641520178e-03
4.200000000000000178e+00,-6.420785359302311202e-01,-2.308239882494694632e-03,-2.692221162309172897e-02,-6.000512000050119837e-02,2.436491303336063563e-02,1.402060550190220968e-03
4.299999999999999822e+00,-6.287340694661178730e-01,-7.676644323307760601e-03,-2.588988548829474975e-02,-5.908590926658414955e-02,2.359441508238958179e-02,1.348651432494400075e-03
4.400000000000000355e+00,-6.147052892872496566e-01,-1.310578890695267631e-02,-2.484343816961874160e-02,-5.808579221873694243e-02,2.278520214135495991e-02,1.293469101154091829e-03
4.500000000000000000e+00,-6.001903616002545183e-01,-1.858308281808258508e-02,-2.379875339408830601e-02,-5.701715252452943528e-02,2.194477828798456834e-02,1.236805511447814114e-03
4.600000000000000533e+00,-5.853767266691414228e-01,-2.410503063032346655e-02,-2.277427073964471971e-02,-5.589123873402516290e-02,2.108000803669696568e-02,1.178924624523256925e-03
4.700000000000000178e+00,-5.704395415845651129e-01,-2.967730181977096260e-02,-2.179105919240906936e-02,-5.471815345061165764e-02,2.019711191781931384e-02,1.120064597331019325e-03
4.800000000000000711e+00,-5.555404314582588210e-01,-3.531460754500216626e-02,-2.087282922649306288e-02,-5.350687800558385360e-02,1.930168271445340672e-02,1.060440213509728077e-03
4.900000000000000355e+00,-5.408264853674170647e-01,-4.104038528503856781e-02,-2.004587315339035475e-02,-5.226532260824142545e-02,1.839871651262139918e-02,1.000245450156898603e-03
5.000000000000000000e+00,-5.264294412362446884e-01,-4.688628054586345406e-02,-1.933892001197953792e-02,-5.100039329715978093e-02,1.749265346167821339e-02,9.396561084850089300e-04
5.100000000000000533e+00,-5.124650164317808843e-01,-5.289140530196746737e-02,-1.878288863538529058e-02,-4.971806866701264371e-02,1.658742406290176358e-02,8.788324609332591898e-04
5.200000000000000178e+00,-4.990323567326930831e-01,-5.910134710023440957e-02,-1.841052153789697610e-02,-4.842348105371548778e-02,1.568649776816614244e-02,8.179218826602866485e-04
5.300000000000000711e+00,-4.862135938533789226e-01,-6.556690253299636562e-02,-1.825588364944474504e-02,-4.712099843874552330e-02,1.479293156730245029e-02,7.570614417762334958e-04
