t,dJ1,dJ2,dJ3,dJ4,dJ5,dJ6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,-3.646486519492585926e-02,-1.125965866384768274e-04,-4.451310952814520848e-03,-2.801327389598502055e-03,1.359650112895537978e-03,1.419872883461865487e-04
2.000000000000000111e-01,-6.942990334907835070e-02,3.578426540344858920e-04,-8.077208991617157094e-03,-5.389746878744147707e-03,2.608832122360656494e-03,2.642306712840056596e-04
3.000000000000000444e-01,-9.973195153973782312e-02,1.299750182611295567e-03,-1.106640979385513021e-02,-7.816673816798310956e-03,3.775841514704119436e-03,3.714492260896500812e-04
4.000000000000000222e-01,-1.278479309166271338e-01,2.637199909558241885e-03,-1.353226300418426849e-02,-1.011093041327417244e-02,4.876561155277233522e-03,4.663575937338994282e-04
5.000000000000000000e-01,-1.540714316898703362e-01,4.311922088913619673e-03,-1.554994222775743680e-02,-1.228969069125285772e-02,5.920472974078661021e-03,5.506574139407979492e-04
6.000000000000000888e-01,-1.785818565441098515e-01,6.274433161232873674e-03,-1.717190169712120087e-02,-1.436270182424507873e-02,6.912972990535934392e-03,6.254366207446375968e-04
7.000000000000000666e-01,-2.014761904543464210e-01,8.478477271688038275e-03,-1.843572824542856481e-02,-1.633416597438281173e-02,7.856400706127718292e-03,6.913631256967954887e-04
8.000000000000000444e-01,-2.227857266058650421e-01,1.087699111915961699e-02,-1.936886799049584648e-02,-1.820367925771449596e-02,8.750550530123083620e-03,7.487955805092760819e-04
9.000000000000000222e-01,-2.424863299486704205e-01,1.341898833222539798e-02,-1.999191161427121138e-02,-1.996676767160784557e-02,9.592961773744353854e-03,7.978578205121940109e-04
1.000000000000000000e+00,-2.605060357222707679e-01,1.604718678035450471e-02,-2.032113918534933159e-02,-2.161526393162507137e-02,1.037912113767562247e-02,8.384969945046612293e-04
1.100000000000000089e+00,-2.767318744806332442e-01,1.869638035969539008e-02,-2.037062682833286342e-02,-2.313765296157509893e-02,1.110264783388277728e-02,8.705346710374083216e-04
1.200000000000000178e+00,-2.910169608072142866e-01,2.129263545176967101e-02,-2.015403576800210012e-02,-2.451946283305472471e-02,1.175550360136608935e-02,8.937153125486522196e-04
1.300000000000000044e+00,-3.031884411841308524e-01,2.375341941762549453e-02,-1.968611311488372567e-02,-2.574375206182512310e-02,1.232825579675760931e-02,9.077539435765282936e-04
1.400000000000000133e+00,-3.130566169897041062e-01,2.598875920014937987e-02,-1.898388592826422486e-02,-2.679172730321940574e-02,1.281041264538929254e-02,9.123832790832616096e-04
1.500000000000000000e+00,-3.204253360681186824e-01,2.790348664910291543e-02,-1.806750730164237081e-02,-2.764351059776829281e-02,1.319084173760742655e-02,9.073994979631068696e-04
1.600000000000000089e+00,-3.251035376216527828e-01,2.940055584541060099e-02,-1.696070851280530312e-02,-2.827905923875507002e-02,1.345827418469313155e-02,8.927050533616670124e-04
1.700000000000000178e+00,-3.269176285437275786e-01,3.038532102735053489e-02,-1.569082191004183072e-02,-2.867922299061065328e-02,1.360188688066404743e-02,8.683463649887531799e-04
1.800000000000000044e+00,-3.257241715849922281e-01,3.077055073159305765e-02,-1.428836326217378105e-02,-2.882690315061910494e-02,1.361194420841506901e-02,8.345439662317724171e-04
1.900000000000000133e+00,-3.214221956172350625e-01,3.048183863693864834e-02,-1.278619699771124663e-02,-2.870825735709473317e-02,1.348046908293675308e-02,7.917127273065679158e-04
2.000000000000000000e+00,-3.139643207090914157e-01,2.946297274961531820e-02,-1.121834863644085092e-02,-2.831387557337467636e-02,1.320190276493729553e-02,7.404701772418113056e-04
2.100000000000000089e+00,-3.033658509581304008e-01,2.768076204347513086e-02,-9.618569613480901920e-03,-2.763983934253121805e-02,1.277370506159252773e-02,6.816316944402027499e-04
2.200000000000000178e+00,-2.897110448487978385e-01,2.512881119965648322e-02,-8.018793441309263192e-03,-2.668857124362439964e-02,1.219684305733241894e-02,6.161923643943752410e-04
2.300000000000000266e+00,-2.731559325772724423e-01,2.182979061089517642e-02,-6.447641841846259853e-03,-2.546938684820879498e-02,1.147611876386443221e-02,5.452964925170791137e-04
2.400000000000000355e+00,-2.539273018588441011e-01,1.783587066971595997e-02,-4.929140008825440636e-03,-2.399867839526271043e-02,1.062029472409563129e-02,4.701969446603091601e-04
2.500000000000000000e+00,-2.323177904826891904e-01,1.322716453077451768e-02,-3.481779617525636479e-03,-2.229968706333085651e-02,9.641991342386533118e-03,3.922074867761304114e-04
2.600000000000000089e+00,-2.086773639997014373e-01,8.108228804824507696e-03,-2.118028608062564808e-03,-2.040185634822956964e-02,8.557349147777013401e-03,3.126519482313752543e-04
2.700000000000000178e+00,-1.834017730404231550e-01,2.602876731865235577e-03,-8.443338982474573803e-04,-1.833979823738531717e-02,7.385470983027995692e-03,2.328142363239735983e-04
2.800000000000000266e+00,-1.569188328786250142e-01,-3.152267821123509728e-03,3.383946120975730391e-04,-1.615194128470016574e-02,6.147680334147184733e-03,1.538929573739873885e-04
2.900000000000000355e+00,-1.296735162574197409e-01,-9.014930069078053165e-03,1.433883983423862472e-03,-1.387896009294416200e-02,4.866649716972962572e-03,7.696371044903712612e-05
3.000000000000000000e+00,-1.021128854899514965e-01,-1.484446637860757298e-02,2.449288853338360463e-03,-1.156210494384369257e-02,3.565464782518988802e-03,2.951138908747669739e-06
3.100000000000000089e+00,-7.467181701484855438e-02,-2.050870424959739396e-02,3.393803671089010241e-03,-9.241556049225342281e-03,2.266694116131448729e-03,-6.738828488093947567e-05
3.200000000000000178e+00,-4.776031250637093051e-02,-2.588986489069914840e-02,4.277232765886740916e-03,-6.954918962450479594e-03,9.915312994831987966e-04,-1.334728412260699081e-04
3.300000000000000266e+00,-2.175297652713993612e-02,-3.088922536736650459e-02,5.108642480269510837e-03,-4.735957953589309787e-03,-2.409344496981224298e-04,-1.948925166022233511e-04
3.400000000000000355e+00,3.018994901736210545e-03,-3.543032994885415149e-02,5.895194536824886929e-03,-2.613636003455605504e-03,-1.414278066335600791e-03,-2.513979860516798613e-04
3.500000000000000000e+00,2.627319796736754531e-02,-3.946071132716174462e-02,6.641227140279678046e-03,-6.114976989334479189e-04,-2.515105944440609170e-03,-3.028836478501827816e-04
3.600000000000000089e+00,4.777885784043004597e-02,-4.295221412236131797e-02,7.347615633137486932e-03,1.252601051942885211e-03,-3.533226289931383143e-03,-3.493668305554967083e-04
3.700000000000000178e+00,6.735735472409273839e-02,-4.590011379910874378e-02,8.011412618341238329e-03,2.966441276052601134e-03,-4.461634708518131230e-03,-3.909651682160532370e-04
3.800000000000000266e+00,8.488078381830228836e-02,-4.832128825266436556e-02,8.625741830992844986e-03,4.523114369777129877e-03,-5.296340495478347662e-03,-4.278738589330207927e-04
3.900000000000000355e+00,1.002689572113950739e-01,-5.025172666014115358e-02,9.179902719506029610e-03,5.920482596419800181e-03,-6.036068052603224196e-03,-4.603441521206969077e-04
4.000000000000000000e+00,1.134852793699971107e-01,-5.174365448178420979e-02,9.659634362413091133e-03,7.160495185395598407e-03,-6.681872231574806364e-03,-4.886640099252888714e-04
4.100000000000000533e+00,1.245319188765849211e-01,-5.286252102999675073e-02,1.004748755397272438e-02,8.248427900255437054e-03,-7.236706511316116051e-03,-5.131415045129916579e-04
4.200000000000000178e+00,1.334446646411328596e-01,-5.368404440813065448e-02,1.032326134796980772e-02,9.192107339170467462e-03,-7.704979509710540957e-03,-5.340911769582087128e-04
4.299999999999999822e+00,1.402878017886824424e-01,-5.429144583644915367e-02,1.046447318676009541e-02,1.000117047847203650e-02,-8.092129410346203186e-03,-5.518233134030817036e-04
4.400000000000000355e+00,1.451492768699509106e-01,-5.477293911129907378e-02,1.044684775530435074e-02,1.068639694207506284e-02,-8.404238533703912301e-03,-5.666358970627780219e-04
4.500000000000000000e+00,1.481363493111314267e-01,-5.521947812240879383e-02,1.024482654443584738e-02,1.125913790504274106e-02,-8.647702512876033476e-03,-5.788088692455721062e-04
4.600000000000000533e+00,1.493718508457635152e-01,-5.572271189447494666e-02,9.832115472356515659e-03,1.173085283413504570e-02,-8.828961188776532354e-03,-5.886002719223758879e-04
4.700000000000000178e+00,1.489911012630623643e-01,-5.637305725231200187e-02,9.182299659160063007e-03,1.211275445027806992e-02,-8.954292033659060762e-03,-5.962438382129128063e-04
4.800000000000000711e+00,1.471394609084176464e-01,-5.725777740036400165e-02,8.269560731027090009e-03,1.241555397342429708e-02,-9.029662018320066749e-03,-6.019476335282939817e-04
4.900000000000000355e+00,1.439704413117238180e-01,-5.845895260824884865e-02,7.069531414108180464e-03,1.264929311081647648e-02,-9.060630509431847474e-03,-6.058934167188968377e-04
5.000000000000000000e+00,1.396442480446381806e-01,-6.005124756104015388e-02,5.560313765942475131e-03,1.282324630147138080e-02,-9.052293987764511995e-03,-6.082364755174976198e-04
5.100000000000000533e+00,1.343265969908780666e-01,-6.209941798266943591e-02,3.723670974883150873e-03,1.294587613297155763e-02,-9.009262947356206155e-03,-6.091057827297253037e-04
5.200000000000000178e+00,1.281876287931417724e-01,-6.465555432761953270e-02,1.546378884522311894e-03,1.302482614969967777e-02,-8.935662008636924974e-03,-6.086044088405320697e-04
5.300000000000000711e+00,1.214007478528277978e-01,-6.775612810350026272e-02,-9.783060539709791288e-04,1.306693793214739122e-02,-8.835145737622892431e-03,-6.068102038330821938e-04
