t,J1,J2,J3,J4,J5,J6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010083e-01,-1.443726796424016356e-04,-9.202607907354831696e-05,1.653559957048855722e-05,-1.360355054202955216e-05,8.867219548847060651e-06,-7.246850373121560551e-07
2.020202020202020166e-01,-1.081913826055824757e-03,-6.896338309161365032e-04,1.239160483237355947e-04,-1.019435876514762640e-04,6.645001849392428994e-05,-5.430713827081490308e-06
3.030303030303030387e-01,-3.413508180528879166e-03,-2.175839385017752647e-03,3.909631923306733370e-04,-3.216386248823255301e-04,2.096541138598695397e-04,-1.713425444904714823e-05
4.040404040404040331e-01,-7.547758985310792923e-03,-4.811095073819160461e-03,8.644760237075388432e-04,-7.111894083209335804e-04,4.635754739865660667e-04,-3.788631147472187877e-05
5.050505050505050830e-01,-1.372021343559026718e-02,-8.745542727410793304e-03,1.571432687342166901e-03,-1.292790402658283710e-03,8.426811546087265015e-04,-6.886921619297936559e-05
6.060606060606060774e-01,-2.201258577406406403e-02,-1.403126958757638931e-02,2.521192189306020737e-03,-2.074141055345535278e-03,1.351990038529038429e-03,-1.104931434383615851e-04
7.070707070707070718e-01,-3.237200900912284851e-02,-2.063457481563091278e-02,3.707699477672576904e-03,-3.050260245800018311e-03,1.988254953175783157e-03,-1.624927099328488111e-04
8.080808080808080662e-01,-4.463022574782371521e-02,-2.844821289181709290e-02,5.111684091389179230e-03,-4.205293953418731689e-03,2.741141943261027336e-03,-2.240233880002051592e-04
9.090909090909090606e-01,-5.852284654974937439e-02,-3.730365261435508728e-02,6.702863145619630814e-03,-5.514329299330711365e-03,3.594412002712488174e-03,-2.937579993158578873e-04
1.010101010101010166e+00,-7.370859384536743164e-02,-4.698335379362106323e-02,8.442149497568607330e-03,-6.945210043340921402e-03,4.527105018496513367e-03,-3.699835215229541063e-04
1.111111111111111160e+00,-8.978842943906784058e-02,-5.723296850919723511e-02,1.028383895754814148e-02,-8.460336364805698395e-03,5.514711607247591019e-03,-4.506969708018004894e-04
1.212121212121212155e+00,-1.063249409198760986e-01,-6.777367740869522095e-02,1.217783428728580475e-02,-1.001849304884672165e-02,6.530366837978363037e-03,-5.337027250789105892e-04
1.313131313131313149e+00,-1.228614822030067444e-01,-7.831440120935440063e-02,1.407183241099119186e-02,-1.157665252685546875e-02,7.546023931354284286e-03,-6.167085957713425159e-04
1.414141414141414144e+00,-1.389413177967071533e-01,-8.856401592493057251e-02,1.591352187097072601e-02,-1.309177838265895844e-02,8.533630520105361938e-03,-6.974220741540193558e-04
1.515151515151515138e+00,-1.541270315647125244e-01,-9.824370592832565308e-02,1.765280589461326599e-02,-1.452265679836273193e-02,9.466321207582950592e-03,-7.736474508419632912e-04
1.616161616161616132e+00,-1.680196076631546021e-01,-1.070991158485412598e-01,1.924397982656955719e-02,-1.583168841898441315e-02,1.031958870589733124e-02,-8.433818584308028221e-04
1.717171717171717127e+00,-1.802778244018554688e-01,-1.149127483367919922e-01,2.064796350896358490e-02,-1.698672212660312653e-02,1.107247639447450638e-02,-9.049125364981591702e-04
1.818181818181818121e+00,-1.906372904777526855e-01,-1.215160861611366272e-01,2.183447591960430145e-02,-1.796284504234790802e-02,1.170874387025833130e-02,-9.569122921675443649e-04
1.919191919191919116e+00,-1.989297419786453247e-01,-1.268018484115600586e-01,2.278424426913261414e-02,-1.874420233070850372e-02,1.221805624663829803e-02,-9.985365904867649078e-04
2.020202020202020332e+00,-2.051021158695220947e-01,-1.307362616062164307e-01,2.349119260907173157e-02,-1.932579651474952698e-02,1.259715761989355087e-02,-1.029519131407141685e-03
2.121212121212121104e+00,-2.092363685369491577e-01,-1.333715170621871948e-01,2.396470494568347931e-02,-1.971534825861454010e-02,1.285107992589473724e-02,-1.050271210260689259e-03
2.222222222222222321e+00,-2.115680575370788574e-01,-1.348577737808227539e-01,2.423176169395446777e-02,-1.993505097925662994e-02,1.299428846687078476e-02,-1.061975141055881977e-03
2.323232323232323093e+00,-2.125054895877838135e-01,-1.354553103446960449e-01,2.433913014829158783e-02,-2.002338133752346039e-02,1.305186562240123749e-02,-1.066680648364126682e-03
2.424242424242424310e+00,-2.126498818397521973e-01,-1.355473548173904419e-01,2.435566857457160950e-02,-2.003698609769344330e-02,1.306073367595672607e-02,-1.067405450157821178e-03
2.525252525252525082e+00,-2.126498818397521973e-01,-1.355473548173904419e-01,2.435566857457160950e-02,-2.003698609769344330e-02,1.306073367595672607e-02,-1.067405450157821178e-03
2.626262626262626299e+00,-2.129075080156326294e-01,-1.359570175409317017e-01,2.430610172450542450e-02,-2.005539275705814362e-02,1.307326741516590118e-02,-1.068616984412074089e-03
2.727272727272727071e+00,-2.145805060863494873e-01,-1.386173218488693237e-01,2.398422360420227051e-02,-2.017492800951004028e-02,1.315466128289699554e-02,-1.076484215445816517e-03
2.828282828282828287e+00,-2.187411189079284668e-01,-1.452333033084869385e-01,2.318373508751392365e-02,-2.047220058739185333e-02,1.335708051919937134e-02,-1.096049323678016663e-03
2.929292929292929060e+00,-2.261184900999069214e-01,-1.569643765687942505e-01,2.176435291767120361e-02,-2.099930681288242340e-02,1.371599920094013214e-02,-1.130741322413086891e-03
3.030303030303030276e+00,-2.371329367160797119e-01,-1.744789183139801025e-01,1.964521035552024841e-02,-2.178627997636795044e-02,1.425186544656753540e-02,-1.182536478154361248e-03
3.131313131313131048e+00,-2.519302964210510254e-01,-1.980088055133819580e-01,1.679825223982334137e-02,-2.284353598952293396e-02,1.497177500277757645e-02,-1.252120593562722206e-03
3.232323232323232265e+00,-2.704161703586578369e-01,-2.274040281772613525e-01,1.324162911623716354e-02,-2.416433766484260559e-02,1.587113738059997559e-02,-1.339050126262009144e-03
3.333333333333333481e+00,-2.922903895378112793e-01,-2.621871232986450195e-01,9.033106267452239990e-03,-2.572722919285297394e-02,1.693534478545188904e-02,-1.441913074813783169e-03
3.434343434343434254e+00,-3.170810937881469727e-01,-3.016079068183898926e-01,4.263456910848617554e-03,-2.749850414693355560e-02,1.814144477248191833e-02,-1.558490796014666557e-03
3.535353535353535470e+00,-3.441793322563171387e-01,-3.446979820728302002e-01,-9.501520544290542603e-04,-2.943464927375316620e-02,1.945981010794639587e-02,-1.685919705778360367e-03
3.636363636363636243e+00,-3.728730082511901855e-01,-3.903250694274902344e-01,-6.470721215009689331e-03,-3.148479014635086060e-02,2.085579372942447662e-02,-1.820851117372512817e-03
3.737373737373737459e+00,-4.023816287517547607e-01,-4.372479915618896484e-01,-1.214807853102684021e-02,-3.359315171837806702e-02,2.229142561554908752e-02,-1.959614688530564308e-03
3.838383838383838231e+00,-4.318902790546417236e-01,-4.841709733009338379e-01,-1.782544329762458801e-02,-3.570152074098587036e-02,2.372705936431884766e-02,-2.098378492519259453e-03
3.939393939393939448e+00,-4.605839848518371582e-01,-5.297980308532714844e-01,-2.334601432085037231e-02,-3.775165975093841553e-02,2.512304484844207764e-02,-2.233310136944055557e-03
4.040404040404040664e+00,-4.876821637153625488e-01,-5.728880167007446289e-01,-2.855961397290229797e-02,-3.968780115246772766e-02,2.644140645861625671e-02,-2.360738581046462059e-03
4.141414141414140992e+00,-5.124728083610534668e-01,-6.123086810111999512e-01,-3.332924842834472656e-02,-4.145906865596771240e-02,2.764750272035598755e-02,-2.477316185832023621e-03
4.242424242424242209e+00,-5.343469977378845215e-01,-6.470918059349060059e-01,-3.753777220845222473e-02,-4.302196204662322998e-02,2.871171012520790100e-02,-2.580178901553153992e-03
