time,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6
0.000000,-8.273930,18.737111,8.507998,0.320885,-0.167980,0.004052
0.100000,-5.948224,17.283149,7.872858,0.334058,-0.182093,0.003877
0.200000,-3.620062,16.003025,7.322416,0.377998,-0.211373,0.003695
0.300000,-1.238388,14.832139,6.823390,0.439151,-0.250239,0.003490
0.400000,1.221106,13.698769,6.340231,0.505576,-0.293882,0.003243
0.500000,3.723807,12.522383,5.833951,0.566816,-0.338281,0.002918
0.600000,6.158124,11.220419,5.265003,0.613925,-0.380073,0.002467
0.700000,8.334219,9.722826,4.599824,0.639677,-0.416252,0.001822
0.800000,10.003903,7.992077,3.819902,0.638953,-0.443730,0.000913
0.900000,10.904711,6.043732,2.931069,0.609282,-0.458888,-0.000319
1.000000,10.825855,3.959866,1.969518,0.551398,-0.457285,-0.001904
1.100000,9.684052,1.886311,1.000508,0.469563,-0.433789,-0.003820
1.200000,7.584873,0.007019,0.106878,0.371286,-0.383371,-0.005978
1.300000,4.837367,-1.502904,-0.631826,0.266135,-0.302640,-0.008215
1.400000,1.897801,-2.531310,-1.163262,0.163729,-0.191727,-0.010314
1.500000,-0.750978,-3.066430,-1.478762,0.071534,-0.055707,-0.012041
1.600000,-2.738117,-3.197416,-1.613645,-0.006590,0.095436,-0.013201
1.700000,-3.896963,-3.076979,-1.631099,-0.070462,0.248673,-0.013682
1.800000,-4.271875,-2.866921,-1.598771,-0.122439,0.390987,-0.013475
1.900000,-4.051342,-2.694121,-1.569989,-0.165852,0.512324,-0.012660
2.000000,-3.474398,-2.632518,-1.576184,-0.203814,0.607261,-0.011373
2.100000,-2.755452,-2.708709,-1.629326,-0.238700,0.675069,-0.009767
2.200000,-2.047038,-2.918833,-1.729058,-0.272140,0.718584,-0.007987
2.300000,-1.435740,-3.245240,-1.869590,-0.305219,0.742599,-0.006153
2.400000,-0.956381,-3.667339,-2.044078,-0.338662,0.752375,-0.004357
2.500000,-0.611046,-4.166246,-2.246376,-0.372914,0.752577,-0.002663
2.600000,-0.385318,-4.725301,-2.471080,-0.408151,0.746681,-0.001111
2.700000,-0.259244,-5.328799,-2.712893,-0.444259,0.736795,0.000276
2.800000,-0.213421,-5.960604,-2.965987,-0.480826,0.723760,0.001488
2.900000,-0.231598,-6.603469,-3.223724,-0.517180,0.707412,0.002528
3.000000,-0.301223,-7.239263,-3.478795,-0.552468,0.686903,0.003404
3.100000,-0.412933,-7.849888,-3.723686,-0.585763,0.661015,0.004129
3.200000,-0.559594,-8.418478,-3.951256,-0.616186,0.628422,0.004720
3.300000,-0.735165,-8.930447,-4.155251,-0.642993,0.587881,0.005193
3.400000,-0.933470,-9.374058,-4.330578,-0.665624,0.538363,0.005567
3.500000,-1.146893,-9.740334,-4.473269,-0.683706,0.479138,0.005857
3.600000,-1.364987,-10.022409,-4.580186,-0.696993,0.409861,0.006081
3.700000,-1.573116,-10.214581,-4.648573,-0.705302,0.330674,0.006253
3.800000,-1.751340,-10.311499,-4.675696,-0.708450,0.242355,0.006384
3.900000,-1.874015,-10.307942,-4.658766,-0.706236,0.146531,0.006482
4.000000,-1.910768,-10.199525,-4.595317,-0.698490,0.045930,0.006550
