time,joint_1_angle,joint_2_angle,joint_3_angle,joint_4_angle,joint_5_angle,joint_6_angle,joint_1_velocity,joint_2_velocity,joint_3_velocity,joint_4_velocity,joint_5_velocity,joint_6_velocity,joint_1_acceleration,joint_2_acceleration,joint_3_acceleration,joint_4_acceleration,joint_5_acceleration,joint_6_acceleration,quaternion_x,quaternion_y,quaternion_z,quaternion_w
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.42048942,0.15781017,0.28626809,0.01052000,-0.00534349,0.00004121,0.00000000,0.00000000,0.00000000,1.00000000
0.10000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04204894,0.01578102,0.02862681,0.00105200,-0.00053435,0.00000412,0.40651597,0.13593687,0.27039572,0.01240973,-0.00670359,0.00002620,0.00000000,0.00000000,0.00000000,1.00000000
0.20000000,0.00420489,0.00157810,0.00286268,0.00010520,-0.00005343,0.00000041,0.08270054,0.02937470,0.05566638,0.00229297,-0.00120471,0.00000674,0.39234607,0.11455275,0.25476757,0.01427668,-0.00804872,0.00001121,0.00044863,-0.00053400,-0.00113334,0.99999911
0.30000000,0.01247495,0.00451557,0.00842932,0.00033450,-0.00017391,0.00000109,0.12193515,0.04082998,0.08114314,0.00372064,-0.00200958,0.00000786,0.37780281,0.09392389,0.23949914,0.01610129,-0.00936583,-0.00000369,0.00132394,-0.00153834,-0.00336310,0.99999228
0.40000000,0.02466846,0.00859857,0.01654363,0.00070656,-0.00037486,0.00000187,0.15971543,0.05022237,0.10509305,0.00533077,-0.00294616,0.00000749,0.36273442,0.07430011,0.22469623,0.01786359,-0.01064167,-0.00001842,0.00260430,-0.00294575,-0.00665434,0.99997012
0.50000000,0.04064001,0.01362081,0.02705294,0.00123964,-0.00066948,0.00000262,0.19598887,0.05765238,0.12756268,0.00711713,-0.00401033,0.00000565,0.34701531,0.05591191,0.21045304,0.01954318,-0.01186275,-0.00003290,0.00426759,-0.00468698,-0.01097257,0.99991970
0.60000000,0.06023889,0.01938604,0.03980921,0.00195135,-0.00107051,0.00000319,0.23069040,0.06324357,0.14860798,0.00907145,-0.00519661,0.00000236,0.33054646,0.03896765,0.19685046,0.02111930,-0.01301537,-0.00004707,0.00629064,-0.00669237,-0.01628227,0.99982524
0.70000000,0.08330793,0.02571040,0.05467000,0.00285850,-0.00159017,0.00000342,0.26374505,0.06714034,0.16829303,0.01118338,-0.00649814,-0.00000235,0.31325504,0.02365089,0.18395452,0.02257094,-0.01408576,-0.00006085,0.00864867,-0.00889337,-0.02254557,0.99966884
0.80000000,0.10968244,0.03242444,0.07149931,0.00397683,-0.00223999,0.00000319,0.29507055,0.06950542,0.18668848,0.01344047,-0.00790672,-0.00000843,0.29509353,0.01011814,0.17181511,0.02387700,-0.01506011,-0.00007417,0.01131498,-0.01122404,-0.02972119,0.99943115
0.90000000,0.13918949,0.03937498,0.09016815,0.00532088,-0.00303066,0.00000235,0.32457990,0.07051724,0.20386999,0.01582817,-0.00941273,-0.00001585,0.27603829,-0.00150322,0.16046501,0.02501652,-0.01592478,-0.00008698,0.01426082,-0.01362244,-0.03776357,0.99909207
1.00000000,0.17164748,0.04642670,0.11055515,0.00690370,-0.00397193,0.00000076,0.35218373,0.07036692,0.21991649,0.01832982,-0.01100521,-0.00002455,0.25608783,-0.01111649,0.14991912,0.02596894,-0.01666643,-0.00009919,0.01745550,-0.01603187,-0.04662239,0.99863138
1.10000000,0.20686586,0.05346339,0.13254680,0.00873668,-0.00507245,-0.00000169,0.37779251,0.06925527,0.23490840,0.02092672,-0.01267185,-0.00003447,0.23526064,-0.01865693,0.14017417,0.02671440,-0.01727225,-0.00011075,0.02086670,-0.01840197,-0.05624228,0.99802943
1.20000000,0.24464511,0.06038892,0.15603764,0.01082935,-0.00633964,-0.00000514,0.40131858,0.06738957,0.24892582,0.02359816,-0.01439908,-0.00004554,0.21359301,-0.02409250,0.13120859,0.02723412,-0.01773014,-0.00012159,0.02446098,-0.02068959,-0.06656281,0.99726776
1.30000000,0.28477696,0.06712788,0.18093022,0.01318917,-0.00777955,-0.00000969,0.42267788,0.06498032,0.26204668,0.02632157,-0.01617209,-0.00005770,0.19113661,-0.02742419,0.12298291,0.02751073,-0.01802894,-0.00013167,0.02820448,-0.02285949,-0.07751874,0.99632966
1.40000000,0.32704475,0.07362591,0.20713489,0.01582132,-0.00939676,-0.00001546,0.44179154,0.06223790,0.27434497,0.02907264,-0.01797498,-0.00007087,0.16795618,-0.02868587,0.11544043,0.02752865,-0.01815871,-0.00014091,0.03206367,-0.02488463,-0.08904049,0.99520071
1.50000000,0.37122391,0.07984970,0.23456939,0.01872859,-0.01119425,-0.00002255,0.45858716,0.05936932,0.28588901,0.03182551,-0.01979086,-0.00008496,0.14412721,-0.02794362,0.10850821,0.02727452,-0.01811092,-0.00014926,0.03600622,-0.02674635,-0.10105466,0.99386927
1.60000000,0.41708262,0.08578663,0.26315829,0.02191114,-0.01317334,-0.00003105,0.47299988,0.05657496,0.29673983,0.03455296,-0.02160195,-0.00009988,0.11973392,-0.02529464,0.10209851,0.02673755,-0.01787869,-0.00015669,0.04000182,-0.02843417,-0.11348478,0.99232683
1.70000000,0.46438261,0.09144413,0.29283227,0.02536643,-0.01533353,-0.00004104,0.48497327,0.05404549,0.30694968,0.03722671,-0.02338982,-0.00011555,0.09486741,-0.02086574,0.09611043,0.02590992,-0.01745707,-0.00016315,0.04402306,-0.02994530,-0.12625209,0.99056835
1.80000000,0.51287994,0.09684868,0.32352724,0.02908911,-0.01767252,-0.00005259,0.49446001,0.05195892,0.31656073,0.03981771,-0.02513552,-0.00013187,0.06962410,-0.01481131,0.09043194,0.02478711,-0.01684318,-0.00016859,0.04804606,-0.03128403,-0.13927627,0.98859243
1.90000000,0.56232594,0.10204457,0.35518331,0.03307088,-0.02018607,-0.00006578,0.50142242,0.05047779,0.32560392,0.04229642,-0.02681984,-0.00014873,0.04410452,-0.00731103,0.08494210,0.02336823,-0.01603643,-0.00017298,0.05205108,-0.03246081,-0.15247635,0.98640151
2.00000000,0.61246818,0.10709235,0.38774371,0.03730052,-0.02286805,-0.00008065,0.50583287,0.04974668,0.33409813,0.04463324,-0.02842348,-0.00016602,0.01841245,0.00143289,0.07951358,0.02165630,-0.01503869,-0.00017630,0.05602294,-0.03349119,-0.16577140,0.98400183
2.10000000,0.66305147,0.11206702,0.42115352,0.04176384,-0.02571040,-0.00009725,0.50767412,0.04988997,0.34204949,0.04679887,-0.02992735,-0.00018365,-0.00734563,0.01119871,0.07401534,0.01965848,-0.01385442,-0.00017851,0.05995117,-0.03439469,-0.17908132,0.98140345
2.20000000,0.71381888,0.11705601,0.45535847,0.04644373,-0.02870314,-0.00011562,0.50693956,0.05100984,0.34945102,0.04876472,-0.03131279,-0.00020151,-0.03306081,0.02174851,0.06831551,0.01738620,-0.01249074,-0.00017961,0.06383005,-0.03519355,-0.19232757,0.97862007
