time,joint_1_angle,joint_2_angle,joint_3_angle,joint_4_angle,joint_5_angle,joint_6_angle,joint_1_velocity,joint_2_velocity,joint_3_velocity,joint_4_velocity,joint_5_velocity,joint_6_velocity,joint_1_acceleration,joint_2_acceleration,joint_3_acceleration,joint_4_acceleration,joint_5_acceleration,joint_6_acceleration,quaternion_x,quaternion_y,quaternion_z,quaternion_w
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.16890710,-0.77972157,1.41327903,-0.03975939,0.10096178,-0.00066834,0.00000000,0.00000000,0.00000000,1.00000000
0.10000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.11689071,-0.07797216,0.14132790,-0.00397594,0.01009618,-0.00006683,-1.11649077,-0.69778296,1.34756565,-0.04491331,0.10146976,-0.00061114,0.00000000,0.00000000,0.00000000,1.00000000
0.20000000,-0.01168907,-0.00779722,0.01413279,-0.00039759,0.00100962,-0.00000668,-0.22853979,-0.14775045,0.27608447,-0.00846727,0.02024315,-0.00012795,-1.06450049,-0.61569085,1.28211976,-0.04996710,0.10190804,-0.00055390,-0.00105199,0.00015260,0.00304817,0.99999478
0.30000000,-0.03454305,-0.02257226,0.04174124,-0.00124432,0.00303393,-0.00001948,-0.33498984,-0.20931954,0.40429644,-0.01346398,0.03043396,-0.00018334,-1.01291580,-0.53329500,1.21701442,-0.05489024,0.10225703,-0.00049664,-0.00309232,0.00038358,0.00899542,0.99995468
0.40000000,-0.06804203,-0.04350422,0.08217088,-0.00259072,0.00607733,-0.00003781,-0.43628142,-0.26264904,0.52599789,-0.01895300,0.04065966,-0.00023300,-0.96169721,-0.45050939,1.15230465,-0.05965119,0.10249674,-0.00043934,-0.00606067,0.00066143,0.01768082,0.99982509
0.50000000,-0.11167018,-0.06976912,0.13477067,-0.00448602,0.01014330,-0.00006111,-0.53245114,-0.30769998,0.64122835,-0.02491812,0.05090933,-0.00027694,-0.91078425,-0.36733329,1.08802110,-0.06421710,0.10260659,-0.00038199,-0.00989877,0.00098955,0.02893162,0.99953188
0.60000000,-0.16491529,-0.10053912,0.19889351,-0.00697783,0.01523423,-0.00008881,-0.62352956,-0.34443331,0.75003046,-0.03133983,0.06116999,-0.00031513,-0.86009596,-0.28386713,1.02416630,-0.06855318,0.10256506,-0.00032458,-0.01454777,0.00139925,0.04256168,0.99898694
0.70000000,-0.22726825,-0.13498245,0.27389655,-0.01011182,0.02135123,-0.00012032,-0.70953916,-0.37282002,0.85244709,-0.03819515,0.07142650,-0.00034759,-0.80953371,-0.20032375,0.96071334,-0.07262165,0.10234898,-0.00026708,-0.01994493,0.00194349,0.05836870,0.99809394
0.80000000,-0.29822216,-0.17226445,0.35914126,-0.01393133,0.02849388,-0.00015508,-0.79049253,-0.39285239,0.94851842,-0.04545732,0.08166140,-0.00037430,-0.75898575,-0.11703534,0.89760690,-0.07638047,0.10193277,-0.00020949,-0.02602026,0.00269134,0.07613080,0.99675463
0.90000000,-0.37727141,-0.21154969,0.45399310,-0.01847706,0.03666002,-0.00019251,-0.86639110,-0.40455593,1.03827911,-0.05309536,0.09185467,-0.00039525,-0.70833298,-0.03445631,0.83476683,-0.07978178,0.10128732,-0.00015179,-0.03269354,0.00372302,0.09560266,0.99487557
1.00000000,-0.46391052,-0.25200528,0.55782101,-0.02378660,0.04584549,-0.00023203,-0.93722440,-0.40800156,1.12175580,-0.06107354,0.10198341,-0.00041043,-0.65745505,0.04683822,0.77209436,-0.08277003,0.10037889,-0.00009397,-0.03987178,0.00512572,0.11651115,0.99237549
1.10000000,-0.55763297,-0.29280544,0.66999659,-0.02989395,0.05604383,-0.00027308,-1.00296991,-0.40331774,1.19896523,-0.06935054,0.11202130,-0.00041982,-0.60623600,0.12615868,0.70948131,-0.08528029,0.09916792,-0.00003606,-0.04744714,0.00699009,0.13855080,0.98919340
1.20000000,-0.65792996,-0.33313721,0.78989312,-0.03682901,0.06724596,-0.00031506,-1.06359351,-0.39070187,1.26991337,-0.07787857,0.12193809,-0.00042343,-0.55456809,0.20271356,0.64682257,-0.08723643,0.09760791,0.00002192,-0.05529525,0.00940737,0.16137907,0.98529728
1.30000000,-0.76428931,-0.37220740,0.91688445,-0.04461686,0.07943976,-0.00035740,-1.11905032,-0.37043051,1.33459562,-0.08660222,0.13169888,-0.00042124,-0.50235250,0.27562997,0.58403217,-0.08855005,0.09564467,0.00007991,-0.06327361,0.01246712,0.18461209,0.98069332
1.40000000,-0.87619434,-0.40925045,1.05034402,-0.05327709,0.09260965,-0.00039953,-1.16928557,-0.34286752,1.39299884,-0.09545722,0.14126335,-0.00041325,-0.44949515,0.34398513,0.52106285,-0.08912017,0.09321613,0.00013780,-0.07121982,0.01625517,0.20782136,0.97543517
1.50000000,-0.99312289,-0.44353720,1.18964390,-0.06282281,0.10673599,-0.00044085,-1.21423508,-0.30846900,1.44510512,-0.10436924,0.15058496,-0.00039947,-0.39589611,0.40685234,0.45792827,-0.08883480,0.09025317,0.00019544,-0.07894980,0.02085107,0.23053317,0.96963220
1.60000000,-1.11454640,-0.47438410,1.33415441,-0.07325973,0.12179448,-0.00048080,-1.25382469,-0.26778377,1.49089795,-0.11325272,0.15961028,-0.00037992,-0.34143146,0.46336481,0.39472562,-0.08757544,0.08668214,0.00025261,-0.08625609,0.02632440,0.25223285,0.96345498
1.70000000,-1.23992887,-0.50116248,1.48324421,-0.08458500,0.13775551,-0.00051879,-1.28796784,-0.22144729,1.53037051,-0.12201026,0.16827849,-0.00035466,-0.28592863,0.51279900,0.33165333,-0.08522585,0.08242964,0.00030899,-0.09290747,0.03272874,0.27237725,0.95713513
1.80000000,-1.36872566,-0.52330721,1.63628126,-0.09678603,0.15458336,-0.00055426,-1.31656070,-0.17016739,1.56353585,-0.13053285,0.17652145,-0.00032376,-0.22914101,0.55467368,0.26901460,-0.08168682,0.07743033,0.00036415,-0.09865158,0.04009219,0.29042017,0.95095562
1.90000000,-1.50038173,-0.54032395,1.79263484,-0.10983931,0.17223550,-0.00058663,-1.33947480,-0.11470002,1.59043730,-0.13870153,0.18426449,-0.00028735,-0.17073575,0.58884993,0.20719257,-0.07689760,0.07163780,0.00041757,-0.10322379,0.04840358,0.30585605,0.94522696
2.00000000,-1.63432921,-0.55179395,1.95167857,-0.12370947,0.19066195,-0.00061537,-1.35654838,-0.05581503,1.61115656,-0.14639129,0.19142827,-0.00024559,-0.11031981,0.61560284,0.14658194,-0.07086234,0.06503703,0.00046859,-0.10636626,0.05759475,0.31828647,0.94024613
2.10000000,-1.76998405,-0.55737545,2.11279423,-0.13834860,0.20980478,-0.00063993,-1.36758036,0.00574526,1.62581476,-0.15347752,0.19793197,-0.00019873,-0.04753418,0.63562283,0.08747228,-0.06367521,0.05765489,0.00051654,-0.10786236,0.06752176,0.32750849,0.93623966
2.20000000,-1.90674208,-0.55680093,2.27537571,-0.15369635,0.22959798,-0.00065980,-1.37233378,0.06930754,1.63456198,-0.15984504,0.20369746,-0.00014708,0.01777192,0.64991198,0.02990944,-0.05553217,0.04956290,0.00056072,-0.10758993,0.07795296,0.33361120,0.93330129
2.30000000,-2.04397546,-0.54987017,2.43883190,-0.16968085,0.24996772,-0.00067451,-1.37055659,0.13429874,1.63755293,-0.16539826,0.20865375,-0.00009101,0.08533160,0.65958085,-0.02639473,-0.04671628,0.04086754,0.00060056,-0.10559064,0.08857939,0.33704584,0.93134548
2.40000000,-2.18103112,-0.53644030,2.60258720,-0.18622068,0.27083310,-0.00068361,-1.36202343,0.20025682,1.63491345,-0.17006989,0.21274050,-0.00003095,0.15433541,0.66561256,-0.08201917,-0.03755209,0.03168939,0.00063563,-0.10213824,0.09906746,0.33861809,0.93010279
2.50000000,-2.31723346,-0.51641462,2.76607854,-0.20322767,0.29210715,-0.00068670,-1.34658989,0.26681808,1.62671154,-0.17382510,0.21590944,0.00003261,0.22352549,0.66869348,-0.13763251,-0.02834315,0.02214089,0.00066567,-0.09776736,0.10916497,0.33936060,0.92917110
2.60000000,-2.45189245,-0.48973281,2.92874970,-0.22061018,0.31369809,-0.00068344,-1.32423734,0.33368742,1.61294829,-0.17665941,0.21812353,0.00009918,0.29153073,0.66917200,-0.19372273,-0.01932010,0.01231427,0.00069054,-0.09321604,0.11883853,0.34029920,0.92810808
2.70000000,-2.58431618,-0.45636407,3.09004452,-0.23827612,0.33551045,-0.00067352,-1.29508426,0.40060462,1.59357601,-0.17859142,0.21935496,0.00016823,0.35729084,0.66712601,-0.25040570,-0.01062084,0.00228451,0.00071017,-0.08926310,0.12837891,0.34219920,0.92652612
2.80000000,-2.71382461,-0.41630360,3.24940213,-0.25613526,0.35744594,-0.00065670,-1.25935518,0.46731723,1.56853544,-0.17965351,0.21958341,0.00023925,0.42034792,0.66246746,-0.30740275,-0.00230443,-0.00787825,0.00072450,-0.08650434,0.13840311,0.34540424,0.92415230
2.90000000,-2.83976013,-0.36957188,3.40625567,-0.27410061,0.37940428,-0.00063277,-1.21732039,0.53356397,1.53779517,-0.17988395,0.21879559,0.00031170,0.48088207,0.65502085,-0.36416740,0.00561656,-0.01809587,0.00073345,-0.08515999,0.14973045,0.34982841,0.92084127
3.00000000,-2.96149217,-0.31621549,3.56003519,-0.29208901,0.40128384,-0.00060160,-1.16923218,0.59906606,1.50137843,-0.17932229,0.21698600,0.00038504,0.53952153,0.64455450,-0.42007555,0.01314288,-0.02827483,0.00073694,-0.08499517,0.16317955,0.35507766,0.91655229
3.10000000,-3.07841538,-0.25630888,3.71017303,-0.31002123,0.42298244,-0.00056310,-1.11528003,0.66352151,1.45937087,-0.17800801,0.21415852,0.00045874,0.59704272,0.63077920,-0.47459710,0.02026546,-0.03830610,0.00073486,-0.08537718,0.17936730,0.36062832,0.91130967
3.20000000,-3.18994339,-0.18995673,3.85611012,-0.32782203,0.44439829,-0.00051723,-1.05557576,0.72659943,1.41191116,-0.17598146,0.21032791,0.00053222,0.65407183,0.61334106,-0.52740310,0.02695551,-0.04807063,0.00072717,-0.08543714,0.19857612,0.36599281,0.90516146
3.30000000,-3.29550096,-0.11729679,3.99730123,-0.34542018,0.46543108,-0.00046400,-0.99016857,0.78793353,1.35917085,-0.17328591,0.20552084,0.00060494,0.71085968,0.59183078,-0.57839732,0.03316568,-0.05744826,0.00071387,-0.08427840,0.22071714,0.37083101,0.89814556
3.40000000,-3.39451782,-0.03850343,4.13321832,-0.36274877,0.48598317,-0.00040351,-0.91908260,0.84711661,1.30133112,-0.16996934,0.19977602,0.00067633,0.76716337,0.56581829,-0.62768237,0.03883855,-0.06632778,0.00069511,-0.08117644,0.24538296,0.37499199,0.89026883
3.50000000,-3.48642608,0.04620823,4.26335143,-0.37974571,0.50596077,-0.00033588,-0.84236627,0.90369844,1.23856288,-0.16608548,0.19314324,0.00074584,0.82224249,0.53490806,-0.67548224,0.04391805,-0.07461569,0.00067113,-0.07572853,0.27196235,0.37848924,0.88150301
3.60000000,-3.57066271,0.13657807,4.38720772,-0.39635425,0.52527509,-0.00026129,-0.76014202,0.95718924,1.17101466,-0.16169368,0.18568167,0.00081295,0.87495649,0.49880049,-0.72204752,0.04835987,-0.08224196,0.00064235,-0.06792864,0.29977952,0.38142489,0.87179871
3.70000000,-3.64667691,0.23229700,4.50430918,-0.41252362,0.54384326,-0.00018000,-0.67264637,1.00706929,1.09880991,-0.15685769,0.17745747,0.00087719,0.92392982,0.45734217,-0.76756864,0.05213824,-0.08916166,0.00060923,-0.05816018,0.32821929,0.38388843,0.86111506
3.80000000,-3.71394154,0.33300393,4.61419018,-0.42820939,0.56158901,-0.00009228,-0.58025339,1.05280351,1.02205304,-0.15164387,0.16854131,0.00093811,0.96773812,0.41055303,-0.81211476,0.05524799,-0.09535252,0.00057228,-0.04711721,0.35680768,0.38586172,0.84945805
3.90000000,-3.77196688,0.43828428,4.71639548,-0.44337378,0.57844314,0.00000153,-0.48347957,1.09385881,0.94084157,-0.14611907,0.15900605,0.00099534,1.00506809,0.35862900,-0.85560433,0.05770272,-0.10080954,0.00053199,-0.03567898,0.38523329,0.38715971,0.83691677
4.00000000,-3.82031484,0.54767016,4.81047964,-0.45798568,0.59434374,0.00010107,-0.38297277,1.12972171,0.85528113,-0.14034880,0.14892510,0.00104854,1.03481904,0.30192855,-0.89780179,0.05953094,-0.10553829,0.00048875,-0.02476912,0.41331530,0.38742454,0.82368633
4.10000000,-3.85861212,0.66064233,4.89600775,-0.47202056,0.60923625,0.00020592,-0.27949086,1.15991457,0.76550095,-0.13439570,0.13837127,0.00109741,1.05613779,0.24095618,-0.93832884,0.06077252,-0.10954870,0.00044279,-0.01522643,0.44093903,0.38617361,0.81006843
4.20000000,-3.88656120,0.77663379,4.97255784,-0.48546014,0.62307338,0.00031566,-0.17387708,1.18401019,0.67166807,-0.12831845,0.12741640,0.00114169,1.06840124,0.17635371,-0.97667863,0.06147680,-0.11285016,0.00039421,-0.00770420,0.46798673,0.38288670,0.79644637
4.30000000,-3.90394891,0.89503480,5.03972465,-0.49829198,0.63581502,0.00042983,-0.06703696,1.20164556,0.57400021,-0.12217077,0.11613139,0.00118111,1.07117560,0.10890269,-1.01222623,0.06170314,-0.11544862,0.00034294,-0.00260378,0.49428745,0.37710955,0.78323784
4.40000000,-3.91065261,1.01519936,5.09712467,-0.51050906,0.64742816,0.00054794,0.04008060,1.21253583,0.47277758,-0.11600046,0.10458652,0.00121541,1.06418597,0.03953084,-1.04423602,0.06152309,-0.11734540,0.00028882,-0.00004247,0.51960053,0.36855158,0.77083397
4.50000000,-3.90664455,1.13645294,5.14440243,-0.52210910,0.65788681,0.00066948,0.14649920,1.21648891,0.36835398,-0.10984815,0.09285198,0.00124429,1.04732501,-0.03069504,-1.07187411,0.06102268,-0.11853744,0.00023157,0.00014455,0.54363593,0.35716051,0.75953691
4.60000000,-3.89199463,1.25810183,5.18123783,-0.53309392,0.66717201,0.00079391,0.25123170,1.21341941,0.26116657,-0.10374588,0.08099824,0.00126745,1.02071520,-0.10061263,-1.09423812,0.06030249,-0.11901861,0.00017097,-0.00163458,0.56610384,0.34316154,0.74950912
4.70000000,-3.86687146,1.37944377,5.20735449,-0.54346851,0.67527183,0.00092066,0.35330322,1.20335814,0.15174276,-0.09771563,0.06909638,0.00128454,0.98481399,-0.16906175,-1.11041615,0.05947373,-0.11878198,0.00010682,-0.00480746,0.58677685,0.32705240,0.74074728
4.80000000,-3.83154114,1.49977959,5.22252876,-0.55324007,0.68218147,0.00104911,0.45178462,1.18645197,0.04070114,-0.09176826,0.05721818,0.00129522,0.94051944,-0.23503074,-1.11957666,0.05864986,-0.11782352,0.00003912,-0.00875344,0.60554165,0.30954954,0.73309056
4.90000000,-3.78636267,1.61842479,5.22659888,-0.56241690,0.68790329,0.00117863,0.54583656,1.16294889,-0.07125652,-0.08590327,0.04543583,0.00129914,0.88921187,-0.29781175,-1.12107452,0.05793583,-0.11614738,-0.00003197,-0.01293696,0.62241760,0.29148897,0.72626657
5.00000000,-3.73177902,1.73471968,5.21947322,-0.57100722,0.69244687,0.00130855,0.63475775,1.13316772,-0.18336397,-0.08010969,0.03382109,0.00129594,0.83267582,-0.35710019,-1.11454300,0.05741903,-0.11377263,-0.00010607,-0.01702147,0.63753116,0.27369889,0.71996750
5.10000000,-3.66830324,1.84803645,5.20113683,-0.57901819,0.69582898,0.00143814,0.71802533,1.09745770,-0.29481827,-0.07436779,0.02244383,0.00128533,0.77289578,-0.41298520,-1.09994130,0.05716550,-0.11073982,-0.00018264,-0.02092175,0.65105536,0.25687499,0.71393587
5.20000000,-3.59650071,1.95778222,5.17165500,-0.58645497,0.69807337,0.00156667,0.79531491,1.05615918,-0.40481240,-0.06865124,0.01136985,0.00126707,0.71178204,-0.46582691,-1.07754467,0.05722224,-0.10711536,-0.00026108,-0.02477237,0.66314224,0.24149225,0.70803261
5.30000000,-3.51696922,2.06339814,5.13117376,-0.59332009,0.69921035,0.00169338,0.86649311,1.00957649,-0.51256687,-0.06292901,0.00065831,0.00124096,0.65091728,-0.51606967,-1.04788917,0.05762302,-0.10299181,-0.00034078,-0.02882669,0.67387880,0.22777329,0.70226470
5.40000000,-3.43031991,2.16435578,5.07991707,-0.59961300,0.69927618,0.00181748,0.93158484,0.95796952,-0.61735579,-0.05716671,-0.00964087,0.00120688,0.59139657,-0.56406201,-1.01169675,0.05839425,-0.09848408,-0.00042123,-0.03333047,0.68328226,0.21571067,0.69676634
5.50000000,-3.33716142,2.26015274,5.01818149,-0.60532967,0.69831209,0.00193816,0.99072450,0.90156332,-0.71852546,-0.05132729,-0.01948928,0.00116476,0.53378431,-0.60993623,-0.96980492,0.05955816,-0.09372286,-0.00050205,-0.03841795,0.69132987,0.20512303,0.69174534
5.60000000,-3.23808897,2.35030907,4.94632895,-0.61046240,0.69636317,0.00205464,1.04410293,0.84056970,-0.81550596,-0.04537147,-0.02886157,0.00111456,0.47816664,-0.65356624,-0.92311269,0.06113281,-0.08884709,-0.00058297,-0.04405825,0.69800545,0.19572146,0.68741571
5.70000000,-3.13367868,2.43436604,4.86477835,-0.61499954,0.69347701,0.00216610,1.09191959,0.77521307,-0.90781722,-0.03925819,-0.03774627,0.00105626,0.42425831,-0.69459396,-0.87254254,0.06312994,-0.08399748,-0.00066379,-0.05005493,0.70334466,0.18716973,0.68393587
5.80000000,-3.02448672,2.51188735,4.77399663,-0.61892536,0.68970238,0.00227172,1.13434542,0.70575368,-0.99507148,-0.03294520,-0.04614602,0.00098988,0.37152702,-0.73250220,-0.81901002,0.06555208,-0.07931164,-0.00074431,-0.05608558,0.70746688,0.17913180,0.68136394
5.90000000,-2.91105218,2.58246271,4.67448948,-0.62221988,0.68508778,0.00237071,1.17149812,0.63250346,-1.07697248,-0.02638999,-0.05407719,0.00091545,0.31931261,-0.76671085,-0.76338999,0.06839066,-0.07492150,-0.00082418,-0.06176445,0.71058874,0.17130653,0.67963436
6.00000000,-2.79390237,2.64571306,4.56679223,-0.62485888,0.67968006,0.00246225,1.20342939,0.55583237,-1.15331148,-0.01955092,-0.06156934,0.00083303,0.26693414,-0.79667748,-0.70647002,0.07162649,-0.07095275,-0.00090283,-0.06671398,0.71301803,0.16345217,0.67855576
6.10000000,-2.67355943,2.70129630,4.45146109,-0.62681397,0.67352313,0.00254556,1.23012280,0.47616463,-1.22395848,-0.01238827,-0.06866461,0.00074275,0.21378807,-0.82198742,-0.64888683,0.07523321,-0.06752576,-0.00097932,-0.07063542,0.71512819,0.15540222,0.67782922
