Iteration,qx,qy,qz,qw
1,-0.0522151,0.11971094,-0.23283659,0.96370643
2,0.23561253,-0.011436937,-0.17569757,0.9557648
3,-0.0950691,0.15761907,0.062223583,0.98094153
4,-0.050739225,0.2541674,0.027160767,0.9654464
5,-0.141335,-0.013048962,-0.038418148,0.98913
6,0.18715234,0.19274531,-0.27203444,0.92402416
7,-0.14889793,0.01704999,-0.23662694,0.9599721
8,0.015938409,0.14739805,-0.18042697,0.97235066
9,0.08909173,0.20989358,-0.20349897,0.95215315
10,0.14839049,-0.1195459,-0.046737883,0.98056346
