Method,Iteration,Time (s)
Random+LBFGS,1,30.374425649642944
Random+LBFGS,2,44.650593280792236
Random+LBFGS,3,28.37078309059143
Random+LBFGS,4,42.83567667007446
Random+LBFGS,5,22.23430109024048
Random+LBFGS,6,38.65221953392029
Random+LBFGS,7,56.97612547874451
Random+LBFGS,8,20.316291093826294
Random+LBFGS,9,30.4548180103302
Random+LBFGS,10,20.333005905151367
MLP+LBFGS,1,1.9737584590911865
MLP+LBFGS,2,6.041399002075195
MLP+LBFGS,3,2.0680480003356934
MLP+LBFGS,4,6.031131982803345
MLP+LBFGS,5,12.15481686592102
MLP+LBFGS,6,2.0630176067352295
MLP+LBFGS,7,10.081434965133667
MLP+LBFGS,8,8.103267669677734
MLP+LBFGS,9,1.968008041381836
MLP+LBFGS,10,2.0268850326538086
CVAE+LBFGS,1,2.6997270584106445
CVAE+LBFGS,2,10.833294868469238
CVAE+LBFGS,3,2.7133586406707764
CVAE+LBFGS,4,14.919468402862549
CVAE+LBFGS,5,19.024775505065918
CVAE+LBFGS,6,2.7004897594451904
CVAE+LBFGS,7,2.753978729248047
CVAE+LBFGS,8,2.7516021728515625
CVAE+LBFGS,9,2.7009143829345703
CVAE+LBFGS,10,2.6984598636627197
