t,dJ1,dJ2,dJ3,dJ4,dJ5,dJ6
0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
1.010101010101010083e-01,-9.263717802241444588e-04,-4.193409904837608337e-02,7.065356522798538208e-02,9.411723166704177856e-02,-3.640363737940788269e-02,-2.264692680910229683e-03
2.020202020202020166e-01,-3.390275407582521439e-03,-1.534676998853683472e-01,2.585733532905578613e-01,3.444441556930541992e-01,-1.332276761531829834e-01,-8.288175798952579498e-03
3.030303030303030387e-01,-6.950415205210447311e-03,-3.146246373653411865e-01,5.301020741462707520e-01,7.061461210250854492e-01,-2.731305062770843506e-01,-1.699161529541015625e-02
4.040404040404040331e-01,-1.120752189308404922e-02,-5.073312520980834961e-01,8.547879457473754883e-01,1.138658404350280762e+00,-4.404220581054687500e-01,-2.739892713725566864e-02
5.050505050505050830e-01,-1.580435782670974731e-02,-7.154163718223571777e-01,1.205384612083435059e+00,1.605686187744140625e+00,-6.210639476776123047e-01,-3.863677009940147400e-02
6.060606060606060774e-01,-2.042570896446704865e-02,-9.246112108230590820e-01,1.557850956916809082e+00,2.075204849243164062e+00,-8.026692271232604980e-01,-4.993454739451408386e-02
7.070707070707070718e-01,-2.479839697480201721e-02,-1.122549772262573242e+00,1.891352057456970215e+00,2.519459724426269531e+00,-9.745027422904968262e-01,-6.062441691756248474e-02
8.080808080808080662e-01,-2.869125269353389740e-02,-1.298767805099487305e+00,2.188256978988647461e+00,2.914965152740478516e+00,-1.127480387687683105e+00,-7.014124840497970581e-02
9.090909090909090606e-01,-3.191516920924186707e-02,-1.444704890251159668e+00,2.434142112731933594e+00,3.242507696151733398e+00,-1.254170656204223633e+00,-7.802272588014602661e-02
1.010101010101010166e+00,-3.432304039597511292e-02,-1.553701996803283691e+00,2.617788076400756836e+00,3.487141370773315430e+00,-1.348792672157287598e+00,-8.390922099351882935e-02
1.111111111111111160e+00,-3.580979257822036743e-02,-1.621002793312072754e+00,2.731181383132934570e+00,3.638191938400268555e+00,-1.407217621803283691e+00,-8.754386752843856812e-02
1.212121212121212155e+00,-3.631237149238586426e-02,-1.643753290176391602e+00,2.769512891769409180e+00,3.689252853393554688e+00,-1.426967501640319824e+00,-8.877252787351608276e-02
1.313131313131313149e+00,-3.580978140234947205e-02,-1.621002435684204102e+00,2.731180906295776367e+00,3.638190984725952148e+00,-1.407217264175415039e+00,-8.754384517669677734e-02
1.414141414141414144e+00,-3.432304784655570984e-02,-1.553702473640441895e+00,2.617789030075073242e+00,3.487142324447631836e+00,-1.348793029785156250e+00,-8.390924334526062012e-02
1.515151515151515138e+00,-3.191516920924186707e-02,-1.444704890251159668e+00,2.434142112731933594e+00,3.242507696151733398e+00,-1.254170656204223633e+00,-7.802272588014602661e-02
1.616161616161616132e+00,-2.869126014411449432e-02,-1.298768043518066406e+00,2.188256978988647461e+00,2.914965391159057617e+00,-1.127480506896972656e+00,-7.014125585556030273e-02
1.717171717171717127e+00,-2.479840070009231567e-02,-1.122549891471862793e+00,1.891352295875549316e+00,2.519460439682006836e+00,-9.745029807090759277e-01,-6.062442809343338013e-02
1.818181818181818121e+00,-2.042570896446704865e-02,-9.246112108230590820e-01,1.557850956916809082e+00,2.075204849243164062e+00,-8.026692271232604980e-01,-4.993454739451408386e-02
1.919191919191919116e+00,-1.580436341464519501e-02,-7.154165506362915039e-01,1.205384969711303711e+00,1.605686783790588379e+00,-6.210641264915466309e-01,-3.863678500056266785e-02
2.020202020202020332e+00,-1.120754424482584000e-02,-5.073322653770446777e-01,8.547895550727844238e-01,1.138660550117492676e+00,-4.404229223728179932e-01,-2.739897929131984711e-02
2.121212121212121104e+00,-6.950415205210447311e-03,-3.146246373653411865e-01,5.301020741462707520e-01,7.061461210250854492e-01,-2.731305062770843506e-01,-1.699161529541015625e-02
2.222222222222222321e+00,-3.390284953638911247e-03,-1.534681320190429688e-01,2.585740685462951660e-01,3.444451093673706055e-01,-1.332280486822128296e-01,-8.288199082016944885e-03
2.323232323232323093e+00,-9.263157262466847897e-04,-4.193155840039253235e-02,7.064928859472274780e-02,9.411152452230453491e-02,-3.640143200755119324e-02,-2.264555310830473900e-03
2.424242424242424310e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
2.525252525252525082e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.626262626262626299e+00,4.824956879019737244e-02,4.910081997513771057e-02,1.361005008220672607e-02,-2.827435545623302460e-02,9.647818282246589661e-03,4.080233164131641388e-03
2.727272727272727071e+00,1.765806525945663452e-01,1.796960085630416870e-01,4.980918020009994507e-02,-1.034766584634780884e-01,3.530846163630485535e-02,1.493257284164428711e-02
