t,J1,J2,J3,J4,J5,J6
0.000000000000000000e+00,3.404886722564697266e-01,2.439844131469726562e+00,-1.791219353675842285e+00,-1.889132976531982422e+00,2.454195022583007812e-01,2.956604957580566406e-02
1.010101010101010083e-01,3.404558002948760986e-01,2.438356161117553711e+00,-1.788712263107299805e+00,-1.885793328285217285e+00,2.441277652978897095e-01,2.948568947613239288e-02
2.020202020202020166e-01,3.402423262596130371e-01,2.428693294525146484e+00,-1.772431850433349609e+00,-1.864106178283691406e+00,2.357393950223922729e-01,2.896384336054325104e-02
3.030303030303030387e-01,3.397114872932434082e-01,2.404662847518920898e+00,-1.731943488121032715e+00,-1.810171961784362793e+00,2.148781269788742065e-01,2.766605094075202942e-02
4.040404040404040331e-01,3.387701809406280518e-01,2.362053394317626953e+00,-1.660151839256286621e+00,-1.714538693428039551e+00,1.778881102800369263e-01,2.536487951874732971e-02
5.050505050505050830e-01,3.373648226261138916e-01,2.298437118530273438e+00,-1.552966594696044922e+00,-1.571757793426513672e+00,1.226618587970733643e-01,2.192922122776508331e-02
6.060606060606060774e-01,3.354768157005310059e-01,2.212971925735473633e+00,-1.408968925476074219e+00,-1.379939198493957520e+00,4.846826195716857910e-02,1.731359213590621948e-02
7.070707070707070718e-01,3.331181704998016357e-01,2.106202840805053711e+00,-1.229076623916625977e+00,-1.140305757522583008e+00,-4.421967267990112305e-02,1.154741831123828888e-02
8.080808080808080662e-01,3.303271830081939697e-01,1.979863762855529785e+00,-1.016211509704589844e+00,-8.567492961883544922e-01,-1.538965404033660889e-01,4.724353551864624023e-03
9.090909090909090606e-01,3.271640837192535400e-01,1.836679816246032715e+00,-7.749650478363037109e-01,-5.353860855102539062e-01,-2.781967520713806152e-01,-3.008440136909484863e-03
1.010101010101010166e+00,3.237065672874450684e-01,1.680168271064758301e+00,-5.112632513046264648e-01,-1.841104030609130859e-01,-4.140667915344238281e-01,-1.146100088953971863e-02
1.111111111111111160e+00,3.200454711914062500e-01,1.514441847801208496e+00,-2.320355176925659180e-01,1.878473758697509766e-01,-5.579364895820617676e-01,-2.041121944785118103e-02
1.212121212121212155e+00,3.162804245948791504e-01,1.344008684158325195e+00,5.512249469757080078e-02,5.703690052032470703e-01,-7.058921456336975098e-01,-2.961563318967819214e-02
