t,yaw,pitch,roll,yaw_target,pitch_target,roll_target
0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.010101010101010083e-01,-4.761370364576578140e-03,4.093714524060487747e-03,9.309336310252547264e-04,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.020202020202020166e-01,-1.386854890733957291e-02,1.202739775180816650e-02,2.626687986776232719e-03,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.030303030303030387e-01,-2.689233608543872833e-02,2.361379191279411316e-02,4.852546844631433487e-03,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
4.040404040404040331e-01,-4.337410256266593933e-02,3.869450837373733521e-02,7.317907642573118210e-03,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
5.050505050505050830e-01,-6.281390041112899780e-02,5.710412189364433289e-02,9.688194841146469116e-03,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
6.060606060606060774e-01,-8.466743677854537964e-02,7.863765209913253784e-02,1.159869972616434097e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
7.070707070707070718e-01,-1.083540767431259155e-01,1.030230820178985596e-01,1.267238426953554153e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
8.080808080808080662e-01,-1.332754343748092651e-01,1.299006193876266479e-01,1.254242006689310074e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
9.090909090909090606e-01,-1.588411182165145874e-01,1.588111221790313721e-01,1.087891869246959686e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.010101010101010166e+00,-1.844969838857650757e-01,1.891957521438598633e-01,7.418610621243715286e-03,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.111111111111111160e+00,-2.097499519586563110e-01,2.204094678163528442e-01,1.994619145989418030e-03,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.212121212121212155e+00,-2.341847717761993408e-01,2.517479658126831055e-01,-5.437349900603294373e-03,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.313131313131313149e+00,-2.574693858623504639e-01,2.824869453907012939e-01,-1.478060521185398102e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.414141414141414144e+00,-2.793489694595336914e-01,3.119285702705383301e-01,-2.579123154282569885e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.515151515151515138e+00,-2.996310591697692871e-01,3.394481539726257324e-01,-3.808674961328506470e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.616161616161616132e+00,-3.181668221950531006e-01,3.645330965518951416e-01,-5.117050185799598694e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.717171717171717127e+00,-3.348322808742523193e-01,3.868062198162078857e-01,-6.446895003318786621e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.818181818181818121e+00,-3.495138287544250488e-01,4.060294330120086670e-01,-7.737588882446289062e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.919191919191919116e+00,-3.620980679988861084e-01,4.220873415470123291e-01,-8.929558843374252319e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.020202020202020332e+00,-3.724657297134399414e-01,4.349538683891296387e-01,-9.967706352472305298e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.121212121212121104e+00,-3.804868459701538086e-01,4.446477293968200684e-01,-1.080337166786193848e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.222222222222222321e+00,-3.860152661800384521e-01,4.511837363243103027e-01,-1.139472648501396179e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.323232323232323093e+00,-3.888812065124511719e-01,4.545226097106933594e-01,-1.170595362782478333e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.424242424242424310e+00,-3.888812065124511719e-01,4.545226097106933594e-01,-1.170595362782478333e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.525252525252525082e+00,-3.888812065124511719e-01,4.545226097106933594e-01,-1.170595362782478333e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.626262626262626299e+00,-3.860600888729095459e-01,4.504501819610595703e-01,-1.106899753212928772e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.727272727272727071e+00,-3.807135820388793945e-01,4.425598680973052979e-01,-9.873789548873901367e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.828282828282828287e+00,-3.731777071952819824e-01,4.310625791549682617e-01,-8.216360956430435181e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.929292929292929060e+00,-3.638185858726501465e-01,4.161924719810485840e-01,-6.204117834568023682e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.030303030303030276e+00,-3.530236780643463135e-01,3.982660174369812012e-01,-3.949442133307456970e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.131313131313131048e+00,-3.411923348903656006e-01,3.777225017547607422e-01,-1.562696695327758789e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.232323232323232265e+00,-3.287282288074493408e-01,3.551356494426727295e-01,8.549279533326625824e-03,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.333333333333333481e+00,-3.160347640514373779e-01,3.311928808689117432e-01,3.217791393399238586e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.434343434343434254e+00,-3.035117089748382568e-01,3.066451251506805420e-01,5.460399016737937927e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.535353535353535470e+00,-2.915527224540710449e-01,2.822383642196655273e-01,7.539388537406921387e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.636363636363636243e+00,-2.805385291576385498e-01,2.586411535739898682e-01,9.432563930749893188e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.737373737373737459e+00,-2.708239257335662842e-01,2.363852858543395996e-01,1.113519370555877686e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.838383838383838231e+00,-2.627160847187042236e-01,2.158324122428894043e-01,1.265440881252288818e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.939393939393939448e+00,-2.564449310302734375e-01,1.971724778413772583e-01,1.400298625230789185e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
4.040404040404040664e+00,-2.521300911903381348e-01,1.804514527320861816e-01,1.519398242235183716e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
4.141414141414140992e+00,-2.497526556253433228e-01,1.656181812286376953e-01,1.623735576868057251e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
4.242424242424242209e+00,-2.491402924060821533e-01,1.525775939226150513e-01,1.713898330926895142e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
4.343434343434343425e+00,-2.499743998050689697e-01,1.412396579980850220e-01,1.790178418159484863e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
4.444444444444444642e+00,-2.518211305141448975e-01,1.315560340881347656e-01,1.852782219648361206e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
4.545454545454544970e+00,-2.541810274124145508e-01,1.235417947173118591e-01,1.902022063732147217e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
4.646464646464646187e+00,-2.565465867519378662e-01,1.172809526324272156e-01,1.938383281230926514e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
4.747474747474747403e+00,-2.584559619426727295e-01,1.129175201058387756e-01,1.962425857782363892e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
4.848484848484848619e+00,-2.595359683036804199e-01,1.106356084346771240e-01,1.974526941776275635e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
4.949494949494949836e+00,-2.595359683036804199e-01,1.106356084346771240e-01,1.974526941776275635e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
5.050505050505050164e+00,-2.595359683036804199e-01,1.106356084346771240e-01,1.974526941776275635e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
5.151515151515151381e+00,-2.571721076965332031e-01,1.113808006048202515e-01,1.976374983787536621e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
5.252525252525252597e+00,-2.525957226753234863e-01,1.128035038709640503e-01,1.980061084032058716e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
5.353535353535353813e+00,-2.459141165018081665e-01,1.148355007171630859e-01,1.985661685466766357e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
5.454545454545454142e+00,-2.371989935636520386e-01,1.174116358160972595e-01,1.993270367383956909e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
5.555555555555555358e+00,-2.264958620071411133e-01,1.204743236303329468e-01,2.002937644720077515e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
5.656565656565656575e+00,-2.138365805149078369e-01,1.239786371588706970e-01,2.014635652303695679e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
5.757575757575757791e+00,-1.992556750774383545e-01,1.278970986604690552e-01,2.028249353170394897e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
5.858585858585858119e+00,-1.828097701072692871e-01,1.322228759527206421e-01,2.043605297803878784e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
5.959595959595959336e+00,-1.645972132682800293e-01,1.369696408510208130e-01,2.060524970293045044e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
6.060606060606060552e+00,-1.447752565145492554e-01,1.421668529510498047e-01,2.078896015882492065e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
6.161616161616161769e+00,-1.235717087984085083e-01,1.478496640920639038e-01,2.098730951547622681e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
6.262626262626262097e+00,-1.012889891862869263e-01,1.540443301200866699e-01,2.120193988084793091e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
6.363636363636363313e+00,-7.830016314983367920e-02,1.607515662908554077e-01,2.143575996160507202e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
6.464646464646464530e+00,-5.503772199153900146e-02,1.679303497076034546e-01,2.169207036495208740e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
6.565656565656565746e+00,-3.197726979851722717e-02,1.754859834909439087e-01,2.197321355342864990e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
6.666666666666666963e+00,-9.618991985917091370e-03,1.832648813724517822e-01,2.227900028228759766e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
6.767676767676767291e+00,1.153049152344465256e-02,1.910569220781326294e-01,2.260520905256271362e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
6.868686868686868507e+00,3.097327984869480133e-02,1.986048370599746704e-01,2.294259369373321533e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
6.969696969696969724e+00,4.823105409741401672e-02,2.056189328432083130e-01,2.327659130096435547e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
7.070707070707070940e+00,6.285081058740615845e-02,2.117939293384552002e-01,2.358794063329696655e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
7.171717171717171269e+00,7.440568506717681885e-02,2.168256938457489014e-01,2.385415285825729370e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
7.272727272727272485e+00,8.249179273843765259e-02,2.204261273145675659e-01,2.405174821615219116e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
7.373737373737373701e+00,8.672254532575607300e-02,2.223358452320098877e-01,2.415901273488998413e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
7.474747474747474918e+00,8.672254532575607300e-02,2.223358452320098877e-01,2.415901273488998413e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
7.575757575757575246e+00,8.672254532575607300e-02,2.223358452320098877e-01,2.415901273488998413e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
7.676767676767676463e+00,8.387862145900726318e-02,2.216516435146331787e-01,2.413262873888015747e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
7.777777777777777679e+00,7.837148010730743408e-02,2.203840315341949463e-01,2.408678382635116577e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
7.878787878787878896e+00,7.033820450305938721e-02,2.186666876077651978e-01,2.403154522180557251e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
7.979797979797979224e+00,5.989564955234527588e-02,2.166593223810195923e-01,2.397857904434204102e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
8.080808080808081328e+00,4.716182127594947815e-02,2.145414203405380249e-01,2.393971532583236694e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
8.181818181818181657e+00,3.227362036705017090e-02,2.125050276517868042e-01,2.392563670873641968e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
8.282828282828281985e+00,1.540006045252084732e-02,2.107457667589187622e-01,2.394478023052215576e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
8.383838383838384090e+00,-3.249434521421790123e-03,2.094525992870330811e-01,2.400251179933547974e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
8.484848484848484418e+00,-2.342173457145690918e-02,2.087964564561843872e-01,2.410065531730651855e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
8.585858585858586522e+00,-4.482125863432884216e-02,2.089184373617172241e-01,2.423737049102783203e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
8.686868686868686851e+00,-6.711485236883163452e-02,2.099187672138214111e-01,2.440744191408157349e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
8.787878787878787179e+00,-8.993951231241226196e-02,2.118477225303649902e-01,2.460288554430007935e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
8.888888888888889284e+00,-1.129114478826522827e-01,2.146992385387420654e-01,2.481384277343750000e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
8.989898989898989612e+00,-1.356356143951416016e-01,2.184079587459564209e-01,2.502963840961456299e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
9.090909090909089940e+00,-1.577145308256149292e-01,2.228499054908752441e-01,2.523985207080841064e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
9.191919191919192045e+00,-1.787555813789367676e-01,2.278472781181335449e-01,2.543531656265258789e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
9.292929292929292373e+00,-1.983764916658401489e-01,2.331762164831161499e-01,2.560889720916748047e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
9.393939393939394478e+00,-2.162083536386489868e-01,2.385769188404083252e-01,2.575594484806060791e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
9.494949494949494806e+00,-2.318965047597885132e-01,2.437660098075866699e-01,2.587442696094512939e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
9.595959595959595134e+00,-2.450995445251464844e-01,2.484496980905532837e-01,2.596466243267059326e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
9.696969696969697239e+00,-2.554866969585418701e-01,2.523373067378997803e-01,2.602870166301727295e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
9.797979797979797567e+00,-2.627337574958801270e-01,2.551552653312683105e-01,2.606939673423767090e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
9.898989898989899672e+00,-2.665191590785980225e-01,2.566617131233215332e-01,2.608926594257354736e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.000000000000000000e+01,-2.665191590785980225e-01,2.566617131233215332e-01,2.608926594257354736e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
