t,yaw,pitch,roll,yaw_target,pitch_target,roll_target
0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.010101010101010083e-01,1.096798293292522430e-02,7.344101089984178543e-03,-4.651844501495361328e-03,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.020202020202020166e-01,3.167299553751945496e-02,2.188246324658393860e-02,-1.323934644460678101e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.030303030303030387e-01,6.061118096113204956e-02,4.380692914128303528e-02,-2.475585229694843292e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
4.040404040404040331e-01,9.598933905363082886e-02,7.348301261663436890e-02,-3.789429739117622375e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
5.050505050505050830e-01,1.357380151748657227e-01,1.112457364797592163e-01,-5.104007571935653687e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
6.060606060606060774e-01,1.775925606489181519e-01,1.571541726589202881e-01,-6.230320036411285400e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
7.070707070707070718e-01,2.192562967538833618e-01,2.107279598712921143e-01,-6.961796432733535767e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
8.080808080808080662e-01,2.586252093315124512e-01,2.707178294658660889e-01,-7.091966271400451660e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
9.090909090909090606e-01,2.940210103988647461e-01,3.349803388118743896e-01,-6.438600271940231323e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.010101010101010166e+00,3.243606984615325928e-01,4.005201756954193115e-01,-4.871541261672973633e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.111111111111111160e+00,3.491978645324707031e-01,4.637370705604553223e-01,-2.340760268270969391e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.212121212121212155e+00,3.686120212078094482e-01,5.208647251129150391e-01,1.100126095116138458e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.313131313131313149e+00,3.829883038997650146e-01,5.685313344001770020e-01,5.282590165734291077e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.414141414141414144e+00,3.928001821041107178e-01,6.043135523796081543e-01,9.934782981872558594e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.515151515151515138e+00,3.985199332237243652e-01,6.271319389343261719e-01,1.472285985946655273e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.616161616161616132e+00,4.006868302822113037e-01,6.373727321624755859e-01,1.931480914354324341e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.717171717171717127e+00,4.000214338302612305e-01,6.367167234420776367e-01,2.344333827495574951e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.818181818181818121e+00,3.974393904209136963e-01,6.277633309364318848e-01,2.694259583950042725e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.919191919191919116e+00,3.939224481582641602e-01,6.135859489440917969e-01,2.974956035614013672e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.020202020202020332e+00,3.903329968452453613e-01,5.973325967788696289e-01,3.187960386276245117e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.121212121212121104e+00,3.872850537300109863e-01,5.819301605224609375e-01,3.339221775531768799e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.222222222222222321e+00,3.851245045661926270e-01,5.698923468589782715e-01,3.435834646224975586e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.323232323232323093e+00,3.840050697326660156e-01,5.631995797157287598e-01,3.483308553695678711e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.424242424242424310e+00,3.840050697326660156e-01,5.631995797157287598e-01,3.483308553695678711e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.525252525252525082e+00,3.840050697326660156e-01,5.631995797157287598e-01,3.483308553695678711e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.626262626262626299e+00,3.871193528175354004e-01,5.777961015701293945e-01,3.352003991603851318e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.727272727272727071e+00,3.928905427455902100e-01,6.024457812309265137e-01,3.077027201652526855e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.828282828282828287e+00,3.999048471450805664e-01,6.296089291572570801e-01,2.630576491355895996e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.929292929292929060e+00,4.049386680126190186e-01,6.490705013275146484e-01,1.983278095722198486e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.030303030303030276e+00,4.031271934509277344e-01,6.491147279739379883e-01,1.129215285181999207e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.131313131313131048e+00,3.898741602897644043e-01,6.191459894180297852e-01,1.180942822247743607e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.232323232323232265e+00,3.630349040031433105e-01,5.534018874168395996e-01,-9.334918856620788574e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.333333333333333481e+00,3.227742016315460205e-01,4.539135992527008057e-01,-1.879165321588516235e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.434343434343434254e+00,2.698797583580017090e-01,3.305436968803405762e-01,-2.603223323822021484e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.535353535353535470e+00,2.056101858615875244e-01,1.979881972074508667e-01,-3.053902685642242432e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.636363636363636243e+00,1.332881152629852295e-01,7.158350944519042969e-02,-3.241145610809326172e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.737373737373737459e+00,5.934876576066017151e-02,-3.643701225519180298e-02,-3.219439387321472168e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.838383838383838231e+00,-8.161360397934913635e-03,-1.193895414471626282e-01,-3.065365850925445557e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.939393939393939448e+00,-6.350724399089813232e-02,-1.767253875732421875e-01,-2.852585315704345703e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
4.040404040404040664e+00,-1.061987876892089844e-01,-2.127729505300521851e-01,-2.635135948657989502e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
4.141414141414140992e+00,-1.396504044532775879e-01,-2.343688309192657471e-01,-2.444895356893539429e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
