t,dJ1,dJ2,dJ3,dJ4,dJ5,dJ6
0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010083e-01,-3.999505564570426941e-02,-4.113995283842086792e-02,3.329725190997123718e-02,3.169887140393257141e-02,2.422994561493396759e-02,1.987761585041880608e-03
2.020202020202020166e-01,-1.463713198900222778e-01,-1.505613327026367188e-01,1.218591332435607910e-01,1.160094738006591797e-01,8.867519348859786987e-02,7.274680770933628082e-03
3.030303030303030387e-01,-3.000763356685638428e-01,-3.086662888526916504e-01,2.498238086700439453e-01,2.378313988447189331e-01,1.817932873964309692e-01,1.491384673863649368e-02
4.040404040404040331e-01,-4.838721454143524170e-01,-4.977234005928039551e-01,4.028401076793670654e-01,3.835023939609527588e-01,2.931410968303680420e-01,2.404853142797946930e-02
5.050505050505050830e-01,-6.823353171348571777e-01,-7.018678188323974609e-01,5.680674910545349121e-01,5.407983660697937012e-01,4.133748114109039307e-01,3.391218930482864380e-02
6.060606060606060774e-01,-8.818569183349609375e-01,-9.071008563041687012e-01,7.341760993003845215e-01,6.989330649375915527e-01,5.342497229576110840e-01,4.382844641804695129e-02
7.070707070707070718e-01,-1.070642828941345215e+00,-1.101290941238403320e+00,8.913467526435852051e-01,8.485590219497680664e-01,6.486205458641052246e-01,5.321113392710685730e-02
8.080808080808080662e-01,-1.238712430000305176e+00,-1.274171710014343262e+00,1.031270503997802734e+00,9.817660450935363770e-01,7.504411935806274414e-01,6.156423315405845642e-02
9.090909090909090606e-01,-1.377901434898376465e+00,-1.417345166206359863e+00,1.147150158882141113e+00,1.092082977294921875e+00,8.347651362419128418e-01,6.848194450139999390e-02
1.010101010101010166e+00,-1.481858491897583008e+00,-1.524278044700622559e+00,1.233697891235351562e+00,1.174476146697998047e+00,8.977446556091308594e-01,7.364863157272338867e-02
1.111111111111111160e+00,-1.546047329902648926e+00,-1.590304255485534668e+00,1.287137269973754883e+00,1.225350260734558105e+00,9.366317987442016602e-01,7.683882862329483032e-02
1.212121212121212155e+00,-1.567745566368103027e+00,-1.612623810768127441e+00,1.305201888084411621e+00,1.242547750473022461e+00,9.497772455215454102e-01,7.791724056005477905e-02
1.313131313131313149e+00,-1.546046853065490723e+00,-1.590303897857666016e+00,1.287136912345886230e+00,1.225349903106689453e+00,9.366316199302673340e-01,7.683881372213363647e-02
1.414141414141414144e+00,-1.481858849525451660e+00,-1.524278521537780762e+00,1.233698248863220215e+00,1.174476504325866699e+00,8.977449536323547363e-01,7.364865392446517944e-02
1.515151515151515138e+00,-1.377901434898376465e+00,-1.417345166206359863e+00,1.147150158882141113e+00,1.092082977294921875e+00,8.347651362419128418e-01,6.848194450139999390e-02
1.616161616161616132e+00,-1.238712668418884277e+00,-1.274171948432922363e+00,1.031270742416381836e+00,9.817661643028259277e-01,7.504412531852722168e-01,6.156424432992935181e-02
1.717171717171717127e+00,-1.070642948150634766e+00,-1.101291060447692871e+00,8.913469314575195312e-01,8.485592007637023926e-01,6.486207246780395508e-01,5.321114882826805115e-02
1.818181818181818121e+00,-8.818569183349609375e-01,-9.071008563041687012e-01,7.341760993003845215e-01,6.989330649375915527e-01,5.342497229576110840e-01,4.382844641804695129e-02
1.919191919191919116e+00,-6.823355555534362793e-01,-7.018679976463317871e-01,5.680676698684692383e-01,5.407984852790832520e-01,4.133749008178710938e-01,3.391219675540924072e-02
2.020202020202020332e+00,-4.838730394840240479e-01,-4.977243840694427490e-01,4.028408527374267578e-01,3.835031390190124512e-01,2.931416928768157959e-01,2.404857799410820007e-02
2.121212121212121104e+00,-3.000763356685638428e-01,-3.086662888526916504e-01,2.498238086700439453e-01,2.378313988447189331e-01,1.817932873964309692e-01,1.491384673863649368e-02
2.222222222222222321e+00,-1.463717222213745117e-01,-1.505617499351501465e-01,1.218594685196876526e-01,1.160097941756248474e-01,8.867543190717697144e-02,7.274700794368982315e-03
