t,dJ1,dJ2,dJ3,dJ4,dJ5,dJ6
0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010083e-01,-2.001283615827560425e-01,-1.676641404628753662e-01,-4.913356900215148926e-02,-8.645605295896530151e-02,2.285749912261962891e-01,1.578027606010437012e-01
2.020202020202020166e-01,-3.828542828559875488e-01,-3.207488059997558594e-01,-9.399466216564178467e-02,-1.653942018747329712e-01,4.372739195823669434e-01,3.018835484981536865e-01
3.030303030303030387e-01,-5.481776595115661621e-01,-4.592539668083190918e-01,-1.345832645893096924e-01,-2.368144094944000244e-01,6.260967254638671875e-01,4.322423338890075684e-01
4.040404040404040331e-01,-6.960986256599426270e-01,-5.831795930862426758e-01,-1.708993613719940186e-01,-3.007166981697082520e-01,7.950434684753417969e-01,5.488792061805725098e-01
5.050505050505050830e-01,-8.266170620918273926e-01,-6.925257444381713867e-01,-2.029429972171783447e-01,-3.571010828018188477e-01,9.441140294075012207e-01,6.517940163612365723e-01
6.060606060606060774e-01,-9.397331476211547852e-01,-7.872924804687500000e-01,-2.307141572237014771e-01,-4.059675633907318115e-01,1.073308706283569336e+00,7.409869432449340820e-01
7.070707070707070718e-01,-1.035446763038635254e+00,-8.674796819686889648e-01,-2.542128264904022217e-01,-4.473161101341247559e-01,1.182627201080322266e+00,8.164578676223754883e-01
8.080808080808080662e-01,-1.113757848739624023e+00,-9.330873489379882812e-01,-2.734389901161193848e-01,-4.811467230319976807e-01,1.272069454193115234e+00,8.782066106796264648e-01
9.090909090909090606e-01,-1.174666523933410645e+00,-9.841156005859375000e-01,-2.883926928043365479e-01,-5.074594616889953613e-01,1.341635942459106445e+00,9.262336492538452148e-01
1.010101010101010166e+00,-1.218172550201416016e+00,-1.020564317703247070e+00,-2.990738749504089355e-01,-5.262542366981506348e-01,1.391325950622558594e+00,9.605385065078735352e-01
1.111111111111111160e+00,-1.244276285171508789e+00,-1.042433500289916992e+00,-3.054825961589813232e-01,-5.375310778617858887e-01,1.421140074729919434e+00,9.811215400695800781e-01
1.212121212121212155e+00,-1.252977609634399414e+00,-1.049723386764526367e+00,-3.076188564300537109e-01,-5.412901043891906738e-01,1.431078195571899414e+00,9.879825711250305176e-01
1.313131313131313149e+00,-1.244276285171508789e+00,-1.042433619499206543e+00,-3.054826259613037109e-01,-5.375311374664306641e-01,1.421140193939208984e+00,9.811215400695800781e-01
1.414141414141414144e+00,-1.218172669410705566e+00,-1.020564317703247070e+00,-2.990739047527313232e-01,-5.262542963027954102e-01,1.391326189041137695e+00,9.605385661125183105e-01
1.515151515151515138e+00,-1.174666523933410645e+00,-9.841156005859375000e-01,-2.883926928043365479e-01,-5.074594616889953613e-01,1.341635942459106445e+00,9.262336492538452148e-01
1.616161616161616132e+00,-1.113757848739624023e+00,-9.330874681472778320e-01,-2.734389901161193848e-01,-4.811467528343200684e-01,1.272069573402404785e+00,8.782067298889160156e-01
1.717171717171717127e+00,-1.035446763038635254e+00,-8.674796819686889648e-01,-2.542128264904022217e-01,-4.473161101341247559e-01,1.182627201080322266e+00,8.164578676223754883e-01
1.818181818181818121e+00,-9.397331476211547852e-01,-7.872924804687500000e-01,-2.307141572237014771e-01,-4.059675633907318115e-01,1.073308706283569336e+00,7.409869432449340820e-01
1.919191919191919116e+00,-8.266170620918273926e-01,-6.925257444381713867e-01,-2.029429972171783447e-01,-3.571010828018188477e-01,9.441140294075012207e-01,6.517940163612365723e-01
2.020202020202020332e+00,-6.960986852645874023e-01,-5.831797122955322266e-01,-1.708993911743164062e-01,-3.007167577743530273e-01,7.950435876846313477e-01,5.488792657852172852e-01
2.121212121212121104e+00,-5.481776595115661621e-01,-4.592539668083190918e-01,-1.345832645893096924e-01,-2.368144094944000244e-01,6.260967254638671875e-01,4.322423338890075684e-01
2.222222222222222321e+00,-3.828541636466979980e-01,-3.207487165927886963e-01,-9.399463236331939697e-02,-1.653941571712493896e-01,4.372738003730773926e-01,3.018834888935089111e-01
2.323232323232323093e+00,-2.001284658908843994e-01,-1.676642298698425293e-01,-4.913359135389328003e-02,-8.645609766244888306e-02,2.285751104354858398e-01,1.578028500080108643e-01
2.424242424242424310e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
