t,J1,J2,J3,J4,J5,J6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010083e-01,-9.072370827198028564e-03,9.167934767901897430e-03,-4.442945588380098343e-03,3.073604311794042587e-03,7.659012451767921448e-03,2.585148438811302185e-03
2.020202020202020166e-01,-3.613436967134475708e-02,3.651499003171920776e-02,-1.769581995904445648e-02,1.224186737090349197e-02,3.050510212779045105e-02,1.029639411717653275e-02
3.030303030303030387e-01,-8.072280138731002808e-02,8.157309889793395996e-02,-3.953178599476814270e-02,2.734786458313465118e-02,6.814723461866378784e-02,2.300175279378890991e-02
4.040404040404040331e-01,-1.420749425888061523e-01,1.435714811086654663e-01,-6.957732141017913818e-02,4.813319072127342224e-02,1.199415028095245361e-01,4.048388451337814331e-02
5.050505050505050830e-01,-2.191408723592758179e-01,2.214491963386535645e-01,-1.073182597756385803e-01,7.424215972423553467e-02,1.850015670061111450e-01,6.244362518191337585e-02
6.060606060606060774e-01,-3.106020390987396240e-01,3.138737678527832031e-01,-1.521088629961013794e-01,1.052280440926551819e-01,2.622142732143402100e-01,8.850524574518203735e-02
7.070707070707070718e-01,-4.148936271667480469e-01,4.192638993263244629e-01,-2.031828165054321289e-01,1.405607163906097412e-01,3.502585589885711670e-01,1.182228624820709229e-01
8.080808080808080662e-01,-5.302308201789855957e-01,5.358160138130187988e-01,-2.596660554409027100e-01,1.796354949474334717e-01,4.476277232170104980e-01,1.510878950357437134e-01
9.090909090909090606e-01,-6.546404957771301270e-01,6.615361571311950684e-01,-3.205923140048980713e-01,2.217839211225509644e-01,5.526559948921203613e-01,1.865381151437759399e-01
1.010101010101010166e+00,-7.859940528869628906e-01,7.942733168601989746e-01,-3.849191069602966309e-01,2.662848234176635742e-01,6.635463237762451172e-01,2.239669561386108398e-01
1.111111111111111160e+00,-9.220436811447143555e-01,9.317560791969299316e-01,-4.515457153320312500e-01,3.123767375946044922e-01,7.784011960029602051e-01,2.627339661121368408e-01
