t,J1,J2,J3,J4,J5,J6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010083e-01,-1.255053561180830002e-03,-9.929772932082414627e-04,6.724193808622658253e-04,8.319283952005207539e-04,-6.159398471936583519e-04,1.708570016489829868e-05
2.020202020202020166e-01,-9.405240416526794434e-03,-7.441268302500247955e-03,5.039040464907884598e-03,6.234384607523679733e-03,-4.615788813680410385e-03,1.280384458368644118e-04
3.030303030303030387e-01,-2.967414446175098419e-02,-2.347768470644950867e-02,1.589849963784217834e-02,1.966988854110240936e-02,-1.456311345100402832e-02,4.039696068502962589e-04
4.040404040404040331e-01,-6.561381369829177856e-02,-5.191254615783691406e-02,3.515387699007987976e-02,4.349296167492866516e-02,-3.220114484429359436e-02,8.932350901886820793e-04
5.050505050505050830e-01,-1.192718967795372009e-01,-9.436591714620590210e-02,6.390223652124404907e-02,7.906091213226318359e-02,-5.853480100631713867e-02,1.623710617423057556e-03
6.060606060606060774e-01,-1.913587450981140137e-01,-1.513998210430145264e-01,1.025241687893867493e-01,1.268445998430252075e-01,-9.391269832849502563e-02,2.605066401883959770e-03
7.070707070707070718e-01,-2.814147770404815674e-01,-2.226506322622299194e-01,1.507734358310699463e-01,1.865393966436386108e-01,-1.381092965602874756e-01,3.831046167761087418e-03
8.080808080808080662e-01,-3.879773318767547607e-01,-3.069611489772796631e-01,2.078664004802703857e-01,2.571757733821868896e-01,-1.904067546129226685e-01,5.281738005578517914e-03
9.090909090909090606e-01,-5.087479948997497559e-01,-4.025128483772277832e-01,2.725716233253479004e-01,3.372301459312438965e-01,-2.496770918369293213e-01,6.925851572304964066e-03
1.010101010101010166e+00,-6.407599449157714844e-01,-5.069584846496582031e-01,3.432995975017547607e-01,4.247359931468963623e-01,-3.144643306732177734e-01,8.723000064492225647e-03
1.111111111111111160e+00,-7.805444002151489258e-01,-6.175535917282104492e-01,4.181918501853942871e-01,5.173938870429992676e-01,-3.830660283565521240e-01,1.062595844268798828e-02
1.212121212121212155e+00,-9.242988228797912598e-01,-7.312896847724914551e-01,4.952110648155212402e-01,6.126833558082580566e-01,-4.536160528659820557e-01,1.258296240121126175e-02
1.313131313131313149e+00,-1.068053483963012695e+00,-8.450259566307067871e-01,5.722303986549377441e-01,7.079729437828063965e-01,-5.241661667823791504e-01,1.453996915370225906e-02
1.414141414141414144e+00,-1.207837939262390137e+00,-9.556210041046142578e-01,6.471226215362548828e-01,8.006308674812316895e-01,-5.927678942680358887e-01,1.644292846322059631e-02
1.515151515151515138e+00,-1.339849710464477539e+00,-1.060066580772399902e+00,7.178505063056945801e-01,8.881365656852722168e-01,-6.575549840927124023e-01,1.824007369577884674e-02
1.616161616161616132e+00,-1.460619926452636719e+00,-1.155617952346801758e+00,7.825555205345153809e-01,9.681906700134277344e-01,-7.168251276016235352e-01,1.988418214023113251e-02
1.717171717171717127e+00,-1.567182540893554688e+00,-1.239928483963012695e+00,8.396484851837158203e-01,1.038827061653137207e+00,-7.691226005554199219e-01,2.133487351238727570e-02
1.818181818181818121e+00,-1.657238960266113281e+00,-1.311179518699645996e+00,8.878979682922363281e-01,1.098522067070007324e+00,-8.133193850517272949e-01,2.256085909903049469e-02
1.919191919191919116e+00,-1.729326367378234863e+00,-1.368213891983032227e+00,9.265202283859252930e-01,1.146306157112121582e+00,-8.486976027488708496e-01,2.354222163558006287e-02
2.020202020202020332e+00,-1.782983779907226562e+00,-1.410666823387145996e+00,9.552682638168334961e-01,1.181873679161071777e+00,-8.750309348106384277e-01,2.427268959581851959e-02
2.121212121212121104e+00,-1.818923473358154297e+00,-1.439101696014404297e+00,9.745236039161682129e-01,1.205696821212768555e+00,-8.926690220832824707e-01,2.476195432245731354e-02
2.222222222222222321e+00,-1.839193105697631836e+00,-1.455138683319091797e+00,9.853834509849548340e-01,1.219132781028747559e+00,-9.026166796684265137e-01,2.503789588809013367e-02
2.323232323232323093e+00,-1.847342371940612793e+00,-1.461586236953735352e+00,9.897496104240417480e-01,1.224534630775451660e+00,-9.066160917282104492e-01,2.514883689582347870e-02
2.424242424242424310e+00,-1.848597645759582520e+00,-1.462579369544982910e+00,9.904221296310424805e-01,1.225366711616516113e+00,-9.072321057319641113e-01,2.516592480242252350e-02
2.525252525252525082e+00,-1.848597645759582520e+00,-1.462579369544982910e+00,9.904221296310424805e-01,1.225366711616516113e+00,-9.072321057319641113e-01,2.516592480242252350e-02
2.626262626262626299e+00,-1.847700715065002441e+00,-1.460841059684753418e+00,9.912449121475219727e-01,1.224036097526550293e+00,-9.069947600364685059e-01,2.522068098187446594e-02
2.727272727272727071e+00,-1.841876149177551270e+00,-1.449552297592163086e+00,9.965881705284118652e-01,1.215395092964172363e+00,-9.054532647132873535e-01,2.557625807821750641e-02
2.828282828282828287e+00,-1.827391028404235840e+00,-1.421477913856506348e+00,1.009876370429992676e+00,1.193905591964721680e+00,-9.016197323799133301e-01,2.646055445075035095e-02
2.929292929292929060e+00,-1.801706671714782715e+00,-1.371698260307312012e+00,1.033438205718994141e+00,1.155801534652709961e+00,-8.948223590850830078e-01,2.802853658795356750e-02
3.030303030303030276e+00,-1.763359904289245605e+00,-1.297376871109008789e+00,1.068616151809692383e+00,1.098912119865417480e+00,-8.846738338470458984e-01,3.036954067647457123e-02
3.131313131313131048e+00,-1.711843013763427734e+00,-1.197530031204223633e+00,1.115875840187072754e+00,1.022484183311462402e+00,-8.710398674011230469e-01,3.351455926895141602e-02
3.232323232323232265e+00,-1.647484421730041504e+00,-1.072794079780578613e+00,1.174916028976440430e+00,9.270049333572387695e-01,-8.540073037147521973e-01,3.744354099035263062e-02
3.333333333333333481e+00,-1.571329355239868164e+00,-9.251952171325683594e-01,1.244777798652648926e+00,8.140250444412231445e-01,-8.338528275489807129e-01,4.209266975522041321e-02
3.434343434343434254e+00,-1.485020637512207031e+00,-7.579167485237121582e-01,1.323954343795776367e+00,6.859815120697021484e-01,-8.110110759735107422e-01,4.736167192459106445e-02
3.535353535353535470e+00,-1.390678167343139648e+00,-5.750680565834045410e-01,1.410500645637512207e+00,5.460196733474731445e-01,-7.860432863235473633e-01,5.312111973762512207e-02
3.636363636363636243e+00,-1.290781021118164062e+00,-3.814537525177001953e-01,1.502142548561096191e+00,3.978172540664672852e-01,-7.596054077148437500e-01,5.921965837478637695e-02
3.737373737373737459e+00,-1.188046932220458984e+00,-1.823407411575317383e-01,1.596387147903442383e+00,2.454058527946472168e-01,-7.324167490005493164e-01,6.549140065908432007e-02
3.838383838383838231e+00,-1.085312604904174805e+00,1.677262783050537109e-02,1.690631866455078125e+00,9.299421310424804688e-02,-7.052280306816101074e-01,7.176315784454345703e-02
