t,yaw,pitch,roll,yaw_target,pitch_target,roll_target
0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.010101010101010083e-01,-2.185496967285871506e-03,-2.430588472634553909e-03,1.255601993761956692e-03,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.020202020202020166e-01,-6.424175109714269638e-03,-6.754198111593723297e-03,3.616482950747013092e-03,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.030303030303030387e-01,-1.263181585818529129e-02,-1.218801923096179962e-02,6.892221979796886444e-03,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
4.040404040404040331e-01,-2.076273784041404724e-02,-1.780435070395469666e-02,1.085332501679658890e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
5.050505050505050830e-01,-3.079503774642944336e-02,-2.267549000680446625e-02,1.524436101317405701e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
6.060606060606060774e-01,-4.270859062671661377e-02,-2.606006152927875519e-02,1.981687545776367188e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
7.070707070707070718e-01,-5.645834654569625854e-02,-2.759088389575481415e-02,2.438189834356307983e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
8.080808080808080662e-01,-7.194803655147552490e-02,-2.740510553121566772e-02,2.887232974171638489e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
9.090909090909090606e-01,-8.900891989469528198e-02,-2.616680227220058441e-02,3.339737281203269958e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.010101010101010166e+00,-1.073867455124855042e-01,-2.496090345084667206e-02,3.826775774359703064e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.111111111111111160e+00,-1.267391145229339600e-01,-2.506886422634124756e-02,4.396989196538925171e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.212121212121212155e+00,-1.466449350118637085e-01,-2.766418270766735077e-02,5.107192695140838623e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.313131313131313149e+00,-1.666270196437835693e-01,-3.349179774522781372e-02,6.005992367863655090e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.414141414141414144e+00,-1.861854195594787598e-01,-4.262540861964225769e-02,7.113739103078842163e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.515151515151515138e+00,-2.048358023166656494e-01,-5.440574511885643005e-02,8.406561613082885742e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.616161616161616132e+00,-2.221463620662689209e-01,-6.761772930622100830e-02,9.813973307609558105e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.717171717171717127e+00,-2.377677112817764282e-01,-8.085212111473083496e-02,1.123449131846427917e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.818181818181818121e+00,-2.514504790306091309e-01,-9.289169311523437500e-02,1.256301254034042358e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.919191919191919116e+00,-2.630423605442047119e-01,-1.029552444815635681e-01,1.371644437313079834e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
