iter,best_loss,mean_loss,iter_time_s,eval_time_s
1.000000000000000000e+00,-4.956484794616699219e+00,5.564001202583312988e-02,7.803177600726485252e-02,7.279117871075868607e-02
2.000000000000000000e+00,-5.469296932220458984e+00,-4.050446748733520508e-01,7.305109035223722458e-02,7.280085934326052666e-02
3.000000000000000000e+00,-6.698776721954345703e+00,-8.782178759574890137e-01,7.216033898293972015e-02,7.198738912120461464e-02
4.000000000000000000e+00,-6.698776721954345703e+00,-9.624090194702148438e-01,7.239141920581459999e-02,7.222390826791524887e-02
5.000000000000000000e+00,-6.698776721954345703e+00,-1.120353579521179199e+00,7.201793836429715157e-02,7.185094803571701050e-02
6.000000000000000000e+00,-7.510163784027099609e+00,-1.355738162994384766e+00,7.215610891580581665e-02,7.197635900229215622e-02
7.000000000000000000e+00,-7.510163784027099609e+00,-1.504364490509033203e+00,7.283690897747874260e-02,7.265640934929251671e-02
8.000000000000000000e+00,-7.510163784027099609e+00,-1.726931571960449219e+00,7.227162877097725868e-02,7.209850894287228584e-02
9.000000000000000000e+00,-8.228343963623046875e+00,-1.873699188232421875e+00,7.216496812179684639e-02,7.198291784152388573e-02
1.000000000000000000e+01,-8.568780899047851562e+00,-2.106151103973388672e+00,7.236191909760236740e-02,7.217164896428585052e-02
1.100000000000000000e+01,-8.568780899047851562e+00,-2.318554162979125977e+00,7.236502924934029579e-02,7.218705909326672554e-02
1.200000000000000000e+01,-9.563583374023437500e+00,-2.540018558502197266e+00,7.218699902296066284e-02,7.201081886887550354e-02
1.300000000000000000e+01,-9.563583374023437500e+00,-2.682588100433349609e+00,7.245558919385075569e-02,7.229123916476964951e-02
1.400000000000000000e+01,-1.004934597015380859e+01,-2.833441257476806641e+00,7.217119820415973663e-02,7.199380826205015182e-02
1.500000000000000000e+01,-1.004934597015380859e+01,-2.994096755981445312e+00,7.220620801672339439e-02,7.203289773315191269e-02
1.600000000000000000e+01,-1.004934597015380859e+01,-3.150493621826171875e+00,7.208127807825803757e-02,7.191817788407206535e-02
1.700000000000000000e+01,-1.004934597015380859e+01,-3.267098188400268555e+00,7.203473895788192749e-02,7.187255797907710075e-02
1.800000000000000000e+01,-1.004934597015380859e+01,-3.461223363876342773e+00,7.220854796469211578e-02,7.204646803438663483e-02
1.900000000000000000e+01,-1.161180305480957031e+01,-3.617111206054687500e+00,7.202200870960950851e-02,7.184132793918251991e-02
2.000000000000000000e+01,-1.161180305480957031e+01,-3.781615495681762695e+00,7.218726910650730133e-02,7.200059806928038597e-02
2.100000000000000000e+01,-1.161180305480957031e+01,-3.986861705780029297e+00,7.329251011833548546e-02,7.311055017635226250e-02
2.200000000000000000e+01,-1.161180305480957031e+01,-4.145449638366699219e+00,7.201091805472970009e-02,7.184799807146191597e-02
2.300000000000000000e+01,-1.161180305480957031e+01,-4.352371692657470703e+00,7.239002874121069908e-02,7.220825925469398499e-02
2.400000000000000000e+01,-1.219081592559814453e+01,-4.535028457641601562e+00,7.214592769742012024e-02,7.196923764422535896e-02
2.500000000000000000e+01,-1.297746467590332031e+01,-4.638688087463378906e+00,7.239403901621699333e-02,7.222825894132256508e-02
2.600000000000000000e+01,-1.297746467590332031e+01,-4.769658088684082031e+00,7.217192929238080978e-02,7.200836855918169022e-02
2.700000000000000000e+01,-1.297746467590332031e+01,-4.942171096801757812e+00,7.226776797324419022e-02,7.210181793197989464e-02
2.800000000000000000e+01,-1.297746467590332031e+01,-5.077262878417968750e+00,7.199915777891874313e-02,7.183126779273152351e-02
2.900000000000000000e+01,-1.389222812652587891e+01,-5.222399711608886719e+00,7.230587769299745560e-02,7.213675789535045624e-02
3.000000000000000000e+01,-1.389222812652587891e+01,-5.332148075103759766e+00,7.218467770144343376e-02,7.202437799423933029e-02
3.100000000000000000e+01,-1.389222812652587891e+01,-5.491878509521484375e+00,7.269445899873971939e-02,7.252681907266378403e-02
