t,dJ1,dJ2,dJ3,dJ4,dJ5,dJ6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
1.010101010101010083e-01,1.128588691353797913e-01,2.575845420360565186e-01,-3.846883177757263184e-01,3.294859081506729126e-02,2.310086041688919067e-02,-3.165644407272338867e-02
2.020202020202020166e-01,2.159039229154586792e-01,4.927704334259033203e-01,-7.359255552291870117e-01,6.303208321332931519e-02,4.419295117259025574e-02,-6.056015565991401672e-02
3.030303030303030387e-01,3.091351389884948730e-01,7.055577039718627930e-01,-1.053711533546447754e+00,9.025047719478607178e-02,6.327627599239349365e-02,-8.671112358570098877e-02
4.040404040404040331e-01,3.925525546073913574e-01,8.959462046623229980e-01,-1.338046312332153320e+00,1.146037802100181580e-01,8.035082370042800903e-02,-1.101093664765357971e-01
5.050505050505050830e-01,4.661561548709869385e-01,1.063936114311218262e+00,-1.588929891586303711e+00,1.360919773578643799e-01,9.541659057140350342e-02,-1.307548582553863525e-01
6.060606060606060774e-01,5.299459695816040039e-01,1.209527492523193359e+00,-1.806362509727478027e+00,1.547151058912277222e-01,1.084736138582229614e-01,-1.486476361751556396e-01
7.070707070707070718e-01,5.839219689369201660e-01,1.332720041275024414e+00,-1.990344047546386719e+00,1.704731285572052002e-01,1.195218563079833984e-01,-1.637876927852630615e-01
8.080808080808080662e-01,6.280840635299682617e-01,1.433513879776000977e+00,-2.140874147415161133e+00,1.833660453557968140e-01,1.285613030195236206e-01,-1.761749684810638428e-01
9.090909090909090606e-01,6.624324917793273926e-01,1.511909246444702148e+00,-2.257953166961669922e+00,1.933938860893249512e-01,1.355920135974884033e-01,-1.858095675706863403e-01
1.010101010101010166e+00,6.869670152664184570e-01,1.567905902862548828e+00,-2.341580867767333984e+00,2.005566060543060303e-01,1.406139284372329712e-01,-1.926913857460021973e-01
1.111111111111111160e+00,7.016876935958862305e-01,1.601503968238830566e+00,-2.391757726669311523e+00,2.048542499542236328e-01,1.436270773410797119e-01,-1.968204826116561890e-01
1.212121212121212155e+00,7.065946459770202637e-01,1.612703323364257812e+00,-2.408483505249023438e+00,2.062868177890777588e-01,1.446314752101898193e-01,-1.981968581676483154e-01
1.313131313131313149e+00,7.016877532005310059e-01,1.601503968238830566e+00,-2.391757965087890625e+00,2.048542797565460205e-01,1.436270922422409058e-01,-1.968204975128173828e-01
1.414141414141414144e+00,6.869670152664184570e-01,1.567906022071838379e+00,-2.341581344604492188e+00,2.005566358566284180e-01,1.406139433383941650e-01,-1.926914006471633911e-01
