t,dJ1,dJ2,dJ3,dJ4,dJ5,dJ6
0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
1.010101010101010083e-01,2.707289457321166992e-01,-2.876796722412109375e-01,8.495773375034332275e-02,-2.762501537799835205e-01,-1.688404195010662079e-02,-5.604702979326248169e-02
2.020202020202020166e-01,5.179162621498107910e-01,-5.503437519073486328e-01,1.625278443098068237e-01,-5.284785628318786621e-01,-3.229990974068641663e-02,-1.072204113006591797e-01
3.030303030303030387e-01,7.415618896484375000e-01,-7.879921793937683105e-01,2.327103167772293091e-01,-7.566851973533630371e-01,-4.624759778380393982e-02,-1.535201221704483032e-01
4.040404040404040331e-01,9.416658282279968262e-01,-1.000625014305114746e+00,2.955051660537719727e-01,-9.608700871467590332e-01,-5.872710421681404114e-02,-1.949461847543716431e-01
5.050505050505050830e-01,1.118228197097778320e+00,-1.188242077827453613e+00,3.509123623371124268e-01,-1.141033172607421875e+00,-6.973843276500701904e-02,-2.314985841512680054e-01
6.060606060606060774e-01,1.271248936653137207e+00,-1.350843787193298340e+00,3.989319801330566406e-01,-1.297174692153930664e+00,-7.928159087896347046e-02,-2.631773650646209717e-01
7.070707070707070718e-01,1.400728106498718262e+00,-1.488429784774780273e+00,4.395639598369598389e-01,-1.429294347763061523e+00,-8.735657483339309692e-02,-2.899824678897857666e-01
8.080808080808080662e-01,1.506665349006652832e+00,-1.600999832153320312e+00,4.728082120418548584e-01,-1.537392020225524902e+00,-9.396336227655410767e-02,-3.119139075279235840e-01
9.090909090909090606e-01,1.589061141014099121e+00,-1.688554644584655762e+00,4.986649453639984131e-01,-1.621468424797058105e+00,-9.910199046134948730e-02,-3.289717137813568115e-01
1.010101010101010166e+00,1.647915244102478027e+00,-1.751093745231628418e+00,5.171340107917785645e-01,-1.681522607803344727e+00,-1.027724295854568481e-01,-3.411558270454406738e-01
1.111111111111111160e+00,1.683227777481079102e+00,-1.788617134094238281e+00,5.282154679298400879e-01,-1.717555284500122070e+00,-1.049747020006179810e-01,-3.484663069248199463e-01
1.212121212121212155e+00,1.694998621940612793e+00,-1.801124930381774902e+00,5.319092869758605957e-01,-1.729566216468811035e+00,-1.057087928056716919e-01,-3.509031236171722412e-01
1.313131313131313149e+00,1.683227777481079102e+00,-1.788617134094238281e+00,5.282155275344848633e-01,-1.717555403709411621e+00,-1.049747020006179810e-01,-3.484663367271423340e-01
1.414141414141414144e+00,1.647915244102478027e+00,-1.751093745231628418e+00,5.171340703964233398e-01,-1.681522727012634277e+00,-1.027724370360374451e-01,-3.411558568477630615e-01
1.515151515151515138e+00,1.589061141014099121e+00,-1.688554644584655762e+00,4.986649453639984131e-01,-1.621468424797058105e+00,-9.910199046134948730e-02,-3.289717137813568115e-01
1.616161616161616132e+00,1.506665468215942383e+00,-1.601000070571899414e+00,4.728082716464996338e-01,-1.537392258644104004e+00,-9.396337717771530151e-02,-3.119139373302459717e-01
1.717171717171717127e+00,1.400728106498718262e+00,-1.488429784774780273e+00,4.395639598369598389e-01,-1.429294347763061523e+00,-8.735657483339309692e-02,-2.899824678897857666e-01
1.818181818181818121e+00,1.271248936653137207e+00,-1.350843787193298340e+00,3.989319801330566406e-01,-1.297174692153930664e+00,-7.928159087896347046e-02,-2.631773650646209717e-01
1.919191919191919116e+00,1.118228197097778320e+00,-1.188242077827453613e+00,3.509123623371124268e-01,-1.141033172607421875e+00,-6.973843276500701904e-02,-2.314985841512680054e-01
2.020202020202020332e+00,9.416660666465759277e-01,-1.000625133514404297e+00,2.955051958560943604e-01,-9.608702659606933594e-01,-5.872711539268493652e-02,-1.949462145566940308e-01
2.121212121212121104e+00,7.415618896484375000e-01,-7.879921793937683105e-01,2.327103167772293091e-01,-7.566851973533630371e-01,-4.624759778380393982e-02,-1.535201221704483032e-01
2.222222222222222321e+00,5.179161429405212402e-01,-5.503436326980590820e-01,1.625277996063232422e-01,-5.284784436225891113e-01,-3.229990229010581970e-02,-1.072203740477561951e-01
2.323232323232323093e+00,2.707290649414062500e-01,-2.876798212528228760e-01,8.495777845382690430e-02,-2.762503027915954590e-01,-1.688405126333236694e-02,-5.604705959558486938e-02
2.424242424242424310e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
2.525252525252525082e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
2.626262626262626299e+00,-3.420577347278594971e-01,8.812397122383117676e-01,8.786097168922424316e-02,4.078899323940277100e-01,-5.614720284938812256e-04,2.125460952520370483e-01
2.727272727272727071e+00,-6.543713212013244629e-01,1.685850024223327637e+00,1.680818647146224976e-01,7.803112268447875977e-01,-1.074120402336120605e-03,4.066099226474761963e-01
2.828282828282828287e+00,-9.369407892227172852e-01,2.413830518722534180e+00,2.406626790761947632e-01,1.117263674736022949e+00,-1.537945121526718140e-03,5.821914076805114746e-01
2.929292929292929060e+00,-1.189766049385070801e+00,3.065181732177734375e+00,3.056033849716186523e-01,1.418747544288635254e+00,-1.952946186065673828e-03,7.392907142639160156e-01
3.030303030303030276e+00,-1.412847042083740234e+00,3.639902830123901367e+00,3.629040122032165527e-01,1.684762597084045410e+00,-2.319123363122344017e-03,8.779076933860778809e-01
3.131313131313131048e+00,-1.606184244155883789e+00,4.137995243072509766e+00,4.125645756721496582e-01,1.915309190750122070e+00,-2.636477351188659668e-03,9.980425238609313965e-01
3.232323232323232265e+00,-1.769776940345764160e+00,4.559458255767822266e+00,4.545850455760955811e-01,2.110387086868286133e+00,-2.905007451772689819e-03,1.099695086479187012e+00
3.333333333333333481e+00,-1.903625488281250000e+00,4.904290676116943359e+00,4.889653623104095459e-01,2.269996166229248047e+00,-3.124713664874434471e-03,1.182865023612976074e+00
3.434343434343434254e+00,-2.007730245590209961e+00,5.172494411468505859e+00,5.157057642936706543e-01,2.394136667251586914e+00,-3.295596688985824585e-03,1.247553110122680664e+00
3.535353535353535470e+00,-2.082090377807617188e+00,5.364068031311035156e+00,5.348059535026550293e-01,2.482808113098144531e+00,-3.417655825614929199e-03,1.293758749961853027e+00
3.636363636363636243e+00,-2.126706838607788086e+00,5.479012012481689453e+00,5.462660193443298340e-01,2.536011219024658203e+00,-3.490891307592391968e-03,1.321482062339782715e+00
