t,J1,J2,J3,J4,J5,J6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010083e-01,5.963256116956472397e-03,1.361029688268899918e-02,-2.032622881233692169e-02,1.740943174809217453e-03,1.220607315190136433e-03,-1.672668615356087685e-03
2.020202020202020166e-01,2.317150682210922241e-02,5.288572236895561218e-02,-7.898191362619400024e-02,6.764807272702455521e-03,4.742930643260478973e-03,-6.499511655420064926e-03
3.030303030303030387e-01,5.060248076915740967e-02,1.154930740594863892e-01,-1.724825501441955566e-01,1.477314438670873642e-02,1.035772264003753662e-02,-1.419378630816936493e-02
4.040404040404040331e-01,8.723391592502593994e-02,1.990991979837417603e-01,-2.973436713218688965e-01,2.546751126646995544e-02,1.785573922097682953e-02,-2.446875162422657013e-02
5.050505050505050830e-01,1.320435255765914917e-01,3.013708591461181641e-01,-4.500807523727416992e-01,3.854945674538612366e-02,2.702773176133632660e-02,-3.703765943646430969e-02
6.060606060606060774e-01,1.840090155601501465e-01,4.199748039245605469e-01,-6.272092461585998535e-01,5.372052639722824097e-02,3.766444697976112366e-02,-5.161376670002937317e-02
7.070707070707070718e-01,2.421081662178039551e-01,5.525779724121093750e-01,-8.252447843551635742e-01,7.068228721618652344e-02,4.955665022134780884e-02,-6.791033595800399780e-02
8.080808080808080662e-01,3.053186833858489990e-01,6.968471407890319824e-01,-1.040702819824218750e+00,8.913628756999969482e-02,6.249509006738662720e-02,-8.564063161611557007e-02
9.090909090909090606e-01,3.726182579994201660e-01,8.504489660263061523e-01,-1.270098686218261719e+00,1.087840646505355835e-01,7.627050578594207764e-02,-1.045178771018981934e-01
1.010101010101010166e+00,4.429847002029418945e-01,1.011050581932067871e+00,-1.509948253631591797e+00,1.293271929025650024e-01,9.067367762327194214e-02,-1.242553740739822388e-01
1.111111111111111160e+00,5.153956413269042969e-01,1.176318287849426270e+00,-1.756766557693481445e+00,1.504672020673751831e-01,1.054953262209892273e-01,-1.445663273334503174e-01
1.212121212121212155e+00,5.888288617134094238e-01,1.343919396400451660e+00,-2.007069587707519531e+00,1.719056814908981323e-01,1.205262318253517151e-01,-1.651640534400939941e-01
1.313131313131313149e+00,6.622620224952697754e-01,1.511520385742187500e+00,-2.257372379302978516e+00,1.933441311120986938e-01,1.355571299791336060e-01,-1.857617497444152832e-01
1.414141414141414144e+00,7.346730232238769531e-01,1.676788330078125000e+00,-2.504190921783447266e+00,2.144841700792312622e-01,1.503787934780120850e-01,-2.060727477073669434e-01
1.515151515151515138e+00,8.050394654273986816e-01,1.837389826774597168e+00,-2.744040489196777344e+00,2.350272983312606812e-01,1.647819578647613525e-01,-2.258102297782897949e-01
1.616161616161616132e+00,8.723389506340026855e-01,1.990991473197937012e+00,-2.973436117172241211e+00,2.546750605106353760e-01,1.785573661327362061e-01,-2.446874529123306274e-01
1.717171717171717127e+00,9.355496168136596680e-01,2.135260820388793945e+00,-3.188894510269165039e+00,2.731290757656097412e-01,1.914958208799362183e-01,-2.624177932739257812e-01
1.818181818181818121e+00,9.936487078666687012e-01,2.267863988876342773e+00,-3.386929988861083984e+00,2.900908291339874268e-01,2.033880203962326050e-01,-2.787143290042877197e-01
1.919191919191919116e+00,1.045614123344421387e+00,2.386467695236206055e+00,-3.564058303833007812e+00,3.052618801593780518e-01,2.140247225761413574e-01,-2.932904362678527832e-01
2.020202020202020332e+00,1.090423822402954102e+00,2.488739490509033203e+00,-3.716795444488525391e+00,3.183438479900360107e-01,2.231967151165008545e-01,-3.058593571186065674e-01
2.121212121212121104e+00,1.127055287361145020e+00,2.572345733642578125e+00,-3.841656684875488281e+00,3.290382325649261475e-01,2.306947410106658936e-01,-3.161343336105346680e-01
2.222222222222222321e+00,1.154486179351806641e+00,2.634953022003173828e+00,-3.935157060623168945e+00,3.370465338230133057e-01,2.363095283508300781e-01,-3.238285779953002930e-01
2.323232323232323093e+00,1.171694517135620117e+00,2.674228429794311523e+00,-3.993813037872314453e+00,3.420704305171966553e-01,2.398318648338317871e-01,-3.286554515361785889e-01
2.424242424242424310e+00,1.177657723426818848e+00,2.687838792800903320e+00,-4.014139175415039062e+00,3.438113629817962646e-01,2.410524636507034302e-01,-3.303281068801879883e-01
2.525252525252525082e+00,1.177657723426818848e+00,2.687838792800903320e+00,-4.014139175415039062e+00,3.438113629817962646e-01,2.410524636507034302e-01,-3.303281068801879883e-01
2.626262626262626299e+00,1.166863203048706055e+00,2.677234411239624023e+00,-3.986385822296142578e+00,3.386867940425872803e-01,2.447703480720520020e-01,-3.380410969257354736e-01
2.727272727272727071e+00,1.135713458061218262e+00,2.646633148193359375e+00,-3.906297683715820312e+00,3.238987028598785400e-01,2.554991245269775391e-01,-3.602985143661499023e-01
2.828282828282828287e+00,1.086058855056762695e+00,2.597852706909179688e+00,-3.778632640838623047e+00,3.003256320953369141e-01,2.726013958454132080e-01,-3.957782089710235596e-01
