t,J1,J2,J3,J4,J5,J6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010083e-01,1.430482231080532074e-02,-1.520046871155500412e-02,4.489011596888303757e-03,-1.459655351936817169e-02,-8.921219268813729286e-04,-2.961422549560666084e-03
2.020202020202020166e-01,5.558444932103157043e-02,-5.906467139720916748e-02,1.744301430881023407e-02,-5.671802908182144165e-02,-3.466530703008174896e-03,-1.150724105536937714e-02
3.030303030303030387e-01,1.213866174221038818e-01,-1.289868056774139404e-01,3.809246420860290527e-02,-1.238621622323989868e-01,-7.570290938019752502e-03,-2.512978203594684601e-02
4.040404040404040331e-01,2.092591077089309692e-01,-2.223611325025558472e-01,6.566782295703887939e-02,-2.135267108678817749e-01,-1.305046956986188889e-02,-4.332137852907180786e-02
5.050505050505050830e-01,3.167496323585510254e-01,-3.365817964076995850e-01,9.939953684806823730e-02,-3.232093751430511475e-01,-1.975412853062152863e-02,-6.557435542345046997e-02
6.060606060606060774e-01,4.414058923721313477e-01,-4.690429568290710449e-01,1.385180503129959106e-01,-4.504078626632690430e-01,-2.752833068370819092e-02,-9.138102829456329346e-02
7.070707070707070718e-01,5.807757377624511719e-01,-6.171389222145080566e-01,1.822538375854492188e-01,-5.926200151443481445e-01,-3.622014820575714111e-02,-1.202337443828582764e-01
8.080808080808080662e-01,7.324068546295166016e-01,-7.782639265060424805e-01,2.298373728990554810e-01,-7.473434805870056152e-01,-4.567664116621017456e-02,-1.516248285770416260e-01
9.090909090909090606e-01,8.938469290733337402e-01,-9.498119950294494629e-01,2.804990410804748535e-01,-9.120759367942810059e-01,-5.574487149715423584e-02,-1.850465834140777588e-01
1.010101010101010166e+00,1.062643885612487793e+00,-1.129177570343017578e+00,3.334693908691406250e-01,-1.084315299987792969e+00,-6.627190858125686646e-02,-2.199913710355758667e-01
1.111111111111111160e+00,1.236345171928405762e+00,-1.313754558563232422e+00,3.879787623882293701e-01,-1.261559009552001953e+00,-7.710481435060501099e-02,-2.559514641761779785e-01
1.212121212121212155e+00,1.412498831748962402e+00,-1.500937461853027344e+00,4.432577490806579590e-01,-1.441305160522460938e+00,-8.809065818786621094e-02,-2.924192845821380615e-01
1.313131313131313149e+00,1.588652372360229492e+00,-1.688120245933532715e+00,4.985366761684417725e-01,-1.621051192283630371e+00,-9.907649457454681396e-02,-3.288870453834533691e-01
1.414141414141414144e+00,1.762353897094726562e+00,-1.872697472572326660e+00,5.530461072921752930e-01,-1.798295140266418457e+00,-1.099094077944755554e-01,-3.648472130298614502e-01
1.515151515151515138e+00,1.931150794029235840e+00,-2.052062988281250000e+00,6.060164570808410645e-01,-1.970534443855285645e+00,-1.204364448785781860e-01,-3.997919857501983643e-01
1.616161616161616132e+00,2.092590570449829102e+00,-2.223610877990722656e+00,6.566780805587768555e-01,-2.135266780853271484e+00,-1.305046677589416504e-01,-4.332137107849121094e-01
1.717171717171717127e+00,2.244221925735473633e+00,-2.384736061096191406e+00,7.042616605758666992e-01,-2.289990425109863281e+00,-1.399611681699752808e-01,-4.646048545837402344e-01
1.818181818181818121e+00,2.383591890335083008e+00,-2.532831907272338867e+00,7.479974627494812012e-01,-2.432202339172363281e+00,-1.486529856920242310e-01,-4.934575557708740234e-01
1.919191919191919116e+00,2.508248329162597656e+00,-2.665293455123901367e+00,7.871160507202148438e-01,-2.559401035308837891e+00,-1.564272046089172363e-01,-5.192642807960510254e-01
2.020202020202020332e+00,2.615738630294799805e+00,-2.779513835906982422e+00,8.208476901054382324e-01,-2.669083595275878906e+00,-1.631308495998382568e-01,-5.415171980857849121e-01
2.121212121212121104e+00,2.703611135482788086e+00,-2.872888088226318359e+00,8.484230637550354004e-01,-2.758748054504394531e+00,-1.686110198497772217e-01,-5.597087740898132324e-01
2.222222222222222321e+00,2.769412994384765625e+00,-2.942810058593750000e+00,8.690724372863769531e-01,-2.825892210006713867e+00,-1.727147847414016724e-01,-5.733312964439392090e-01
2.323232323232323093e+00,2.810692787170410156e+00,-2.986674547195434570e+00,8.820264935493469238e-01,-2.868013858795166016e+00,-1.752891987562179565e-01,-5.818771719932556152e-01
2.424242424242424310e+00,2.824997663497924805e+00,-3.001874923706054688e+00,8.865154981613159180e-01,-2.882610321044921875e+00,-1.761813163757324219e-01,-5.848385691642761230e-01
2.525252525252525082e+00,2.824997663497924805e+00,-3.001874923706054688e+00,8.865154981613159180e-01,-2.882610321044921875e+00,-1.761813163757324219e-01,-5.848385691642761230e-01
2.626262626262626299e+00,2.806923866271972656e+00,-2.955311775207519531e+00,8.911579251289367676e-01,-2.861058235168457031e+00,-1.762109845876693726e-01,-5.736080408096313477e-01
2.727272727272727071e+00,2.754768371582031250e+00,-2.820944070816040039e+00,9.045546054840087891e-01,-2.798864841461181641e+00,-1.762965917587280273e-01,-5.411998629570007324e-01
2.828282828282828287e+00,2.671629428863525391e+00,-2.606753826141357422e+00,9.259096980094909668e-01,-2.699724912643432617e+00,-1.764330565929412842e-01,-4.895393848419189453e-01
2.929292929292929060e+00,2.560605287551879883e+00,-2.320723295211791992e+00,9.544273614883422852e-01,-2.567332983016967773e+00,-1.766152977943420410e-01,-4.205517172813415527e-01
3.030303030303030276e+00,2.424794197082519531e+00,-1.970834970474243164e+00,9.893118143081665039e-01,-2.405384063720703125e+00,-1.768382340669631958e-01,-3.361622095108032227e-01
3.131313131313131048e+00,2.267294883728027344e+00,-1.565070986747741699e+00,1.029767036437988281e+00,-2.217572450637817383e+00,-1.770967543125152588e-01,-2.382960319519042969e-01
3.232323232323232265e+00,2.091205358505249023e+00,-1.111413359642028809e+00,1.074997425079345703e+00,-2.007592678070068359e+00,-1.773858070373535156e-01,-1.288784444332122803e-01
3.333333333333333481e+00,1.899623990058898926e+00,-6.178445816040039062e-01,1.124207019805908203e+00,-1.779139876365661621e+00,-1.777002811431884766e-01,-9.834647178649902344e-03
3.434343434343434254e+00,1.695649504661560059e+00,-9.234690666198730469e-02,1.176599979400634766e+00,-1.535908460617065430e+00,-1.780350953340530396e-01,1.169100403785705566e-01
3.535353535353535470e+00,1.482379674911499023e+00,4.570977687835693359e-01,1.231380462646484375e+00,-1.281592965126037598e+00,-1.783851683139801025e-01,2.494305372238159180e-01
3.636363636363636243e+00,1.262913465499877930e+00,1.022506237030029297e+00,1.287752628326416016e+00,-1.019888401031494141e+00,-1.787454038858413696e-01,3.858013153076171875e-01
3.737373737373737459e+00,1.040348649024963379e+00,1.595897674560546875e+00,1.344920635223388672e+00,-7.544889450073242188e-01,-1.791107356548309326e-01,5.240975022315979004e-01
3.838383838383838231e+00,8.177840709686279297e-01,2.169288635253906250e+00,1.402088522911071777e+00,-4.890897274017333984e-01,-1.794760674238204956e-01,6.623935103416442871e-01
3.939393939393939448e+00,5.983176231384277344e-01,2.734697818756103516e+00,1.458460807800292969e+00,-2.273848056793212891e-01,-1.798363029956817627e-01,7.987645268440246582e-01
4.040404040404040664e+00,3.850479125976562500e-01,3.284142494201660156e+00,1.513241171836853027e+00,2.693057060241699219e-02,-1.801863759756088257e-01,9.312849640846252441e-01
4.141414141414140992e+00,1.810734272003173828e-01,3.809639453887939453e+00,1.565634012222290039e+00,2.701616287231445312e-01,-1.805211901664733887e-01,1.058029413223266602e+00
4.242424242424242209e+00,-1.050806045532226562e-02,4.303208827972412109e+00,1.614843726158142090e+00,4.986150264739990234e-01,-1.808356642723083496e-01,1.177073478698730469e+00
4.343434343434343425e+00,-1.865975856781005859e-01,4.756866455078125000e+00,1.660073995590209961e+00,7.085945606231689453e-01,-1.811247169971466064e-01,1.286491155624389648e+00
4.444444444444444642e+00,-3.440971374511718750e-01,5.162631034851074219e+00,1.700529336929321289e+00,8.964064121246337891e-01,-1.813832372426986694e-01,1.384357452392578125e+00
4.545454545454544970e+00,-4.799077510833740234e-01,5.512518882751464844e+00,1.735413789749145508e+00,1.058355093002319336e+00,-1.816061735153198242e-01,1.468746662139892578e+00
4.646464646464646187e+00,-5.909321308135986328e-01,5.798549652099609375e+00,1.763931512832641602e+00,1.190746784210205078e+00,-1.817884147167205811e-01,1.537734270095825195e+00
4.747474747474747403e+00,-6.740710735321044922e-01,6.012739181518554688e+00,1.785286545753479004e+00,1.289886951446533203e+00,-1.819248795509338379e-01,1.589394807815551758e+00
4.848484848484848619e+00,-7.262265682220458984e-01,6.147107124328613281e+00,1.798683166503906250e+00,1.352080345153808594e+00,-1.820104867219924927e-01,1.621803045272827148e+00
4.949494949494949836e+00,-7.443003654479980469e-01,6.193670272827148438e+00,1.803325653076171875e+00,1.373632431030273438e+00,-1.820401549339294434e-01,1.633033514022827148e+00
