t,yaw,pitch,roll,yaw_target,pitch_target,roll_target
0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
1.010101010101010083e-01,-1.233081985265016556e-02,2.989042084664106369e-03,3.516174387186765671e-03,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
2.020202020202020166e-01,-3.581789135932922363e-02,9.158043190836906433e-03,1.003273110836744308e-02,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
3.030303030303030387e-01,-6.918557733297348022e-02,1.900122687220573425e-02,1.881876401603221893e-02,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
4.040404040404040331e-01,-1.110522300004959106e-01,3.315447270870208740e-02,2.889709360897541046e-02,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
5.050505050505050830e-01,-1.599391400814056396e-01,5.222265049815177917e-02,3.902119770646095276e-02,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
6.060606060606060774e-01,-2.143083065748214722e-01,7.660027593374252319e-02,4.768945649266242981e-02,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
7.070707070707070718e-01,-2.726308405399322510e-01,1.063009873032569885e-01,5.321536958217620850e-02,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
8.080808080808080662e-01,-3.334729075431823730e-01,1.408216208219528198e-01,5.385953933000564575e-02,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
9.090909090909090606e-01,-3.955708444118499756e-01,1.790718436241149902e-01,4.801512509584426880e-02,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
1.010101010101010166e+00,-4.578614234924316406e-01,2.193965315818786621e-01,3.442727401852607727e-02,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
1.111111111111111160e+00,-5.194438099861145020e-01,2.597072720527648926e-01,1.241867616772651672e-02,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
1.212121212121212155e+00,-5.794795155525207520e-01,2.977184653282165527e-01,-1.791634038090705872e-02,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
1.313131313131313149e+00,-6.370722055435180664e-01,3.312599062919616699e-01,-5.559998378157615662e-02,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
1.414141414141414144e+00,-6.911982297897338867e-01,3.586073219776153564e-01,-9.880011528730392456e-02,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
