t,yaw,pitch,roll,yaw_target,pitch_target,roll_target
0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.010101010101010083e-01,1.101905573159456253e-02,7.318117190152406693e-03,-4.663281142711639404e-03,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.020202020202020166e-01,3.182208538055419922e-02,2.181024849414825439e-02,-1.327285543084144592e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.030303030303030387e-01,6.090094894170761108e-02,4.367656633257865906e-02,-2.482075430452823639e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
4.040404040404040331e-01,9.645745158195495605e-02,7.329254597425460815e-02,-3.799706697463989258e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
5.050505050505050830e-01,1.364159584045410156e-01,1.110034435987472534e-01,-5.118188634514808655e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
6.060606060606060774e-01,1.785046160221099854e-01,1.568770855665206909e-01,-6.247709318995475769e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
7.070707070707070718e-01,2.204187363386154175e-01,2.104381769895553589e-01,-6.980658322572708130e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
8.080808080808080662e-01,2.600466609001159668e-01,2.704371809959411621e-01,-7.109471410512924194e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
9.090909090909090606e-01,2.957034111022949219e-01,3.347235918045043945e-01,-6.451026350259780884e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.010101010101010166e+00,3.263000249862670898e-01,4.002892971038818359e-01,-4.874840006232261658e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.111111111111111160e+00,3.513837754726409912e-01,4.635177552700042725e-01,-2.331437170505523682e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.212121212121212155e+00,3.710251748561859131e-01,5.206271409988403320e-01,1.123887952417135239e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.313131313131313149e+00,3.855966329574584961e-01,5.682350993156433105e-01,5.319855734705924988e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.414141414141414144e+00,3.955575823783874512e-01,6.039164662361145020e-01,9.981306642293930054e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.515151515151515138e+00,4.013702571392059326e-01,6.266001462936401367e-01,1.477149277925491333e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.616161616161616132e+00,4.035735130310058594e-01,6.366876363754272461e-01,1.935689151287078857e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.717171717171717127e+00,4.028989672660827637e-01,6.358776688575744629e-01,2.347060143947601318e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.818181818181818121e+00,4.002803862094879150e-01,6.267852783203125000e-01,2.694880664348602295e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.919191919191919116e+00,3.967180252075195312e-01,6.124939918518066406e-01,2.973144948482513428e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.020202020202020332e+00,3.930876851081848145e-01,5.961561799049377441e-01,3.183709979057312012e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.121212121212121104e+00,3.900097608566284180e-01,5.806974172592163086e-01,3.332820534706115723e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.222222222222222321e+00,3.878311514854431152e-01,5.686267018318176270e-01,3.427819907665252686e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.323232323232323093e+00,3.867035210132598877e-01,5.619190931320190430e-01,3.474416732788085938e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.424242424242424310e+00,3.867035210132598877e-01,5.619190931320190430e-01,3.474416732788085938e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.525252525252525082e+00,3.867035210132598877e-01,5.619190931320190430e-01,3.474416732788085938e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
