t,dJ1,dJ2,dJ3,dJ4,dJ5,dJ6
0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
1.010101010101010083e-01,-3.300176467746496201e-04,1.450099647045135498e-01,-7.996714115142822266e-02,-1.033904924988746643e-01,1.663616150617599487e-01,-2.336620390415191650e-01
2.020202020202020166e-01,-6.313381018117070198e-04,2.774103879928588867e-01,-1.529806256294250488e-01,-1.977905184030532837e-01,3.182570338249206543e-01,-4.470056593418121338e-01
3.030303030303030387e-01,-9.039614233188331127e-04,3.972012102603912354e-01,-2.190404385328292847e-01,-2.832000553607940674e-01,4.556861817836761475e-01,-6.400308012962341309e-01
4.040404040404040331e-01,-1.147887436673045158e-03,5.043824911117553711e-01,-2.781465649604797363e-01,-3.596190810203552246e-01,5.786491036415100098e-01,-8.127375841140747070e-01
5.050505050505050830e-01,-1.363116316497325897e-03,5.989541411399841309e-01,-3.302990496158599854e-01,-4.270476400852203369e-01,6.871457695960998535e-01,-9.651257395744323730e-01
6.060606060606060774e-01,-1.549648120999336243e-03,6.809163689613342285e-01,-3.754978775978088379e-01,-4.854857921600341797e-01,7.811763286590576172e-01,-1.097195744514465332e+00
7.070707070707070718e-01,-1.707482733763754368e-03,7.502689957618713379e-01,-4.137430787086486816e-01,-5.349334478378295898e-01,8.607405424118041992e-01,-1.208947181701660156e+00
8.080808080808080662e-01,-1.836619921959936619e-03,8.070119023323059082e-01,-4.450345039367675781e-01,-5.753905177116394043e-01,9.258385896682739258e-01,-1.300379991531372070e+00
9.090909090909090606e-01,-1.937060267664492130e-03,8.511454463005065918e-01,-4.693723618984222412e-01,-6.068572402000427246e-01,9.764703512191772461e-01,-1.371494531631469727e+00
1.010101010101010166e+00,-2.008802955970168114e-03,8.826693296432495117e-01,-4.867565035820007324e-01,-6.293333768844604492e-01,1.012635946273803711e+00,-1.422290563583374023e+00
1.111111111111111160e+00,-2.051848685368895531e-03,9.015836715698242188e-01,-4.971869885921478271e-01,-6.428191065788269043e-01,1.034335255622863770e+00,-1.452768325805664062e+00
1.212121212121212155e+00,-2.066197572275996208e-03,9.078885316848754883e-01,-5.006638765335083008e-01,-6.473143696784973145e-01,1.041568398475646973e+00,-1.462927579879760742e+00
1.313131313131313149e+00,-2.051848918199539185e-03,9.015837907791137695e-01,-4.971870481967926025e-01,-6.428191661834716797e-01,1.034335374832153320e+00,-1.452768445014953613e+00
1.414141414141414144e+00,-2.008803188800811768e-03,8.826693296432495117e-01,-4.867565035820007324e-01,-6.293334364891052246e-01,1.012635946273803711e+00,-1.422290682792663574e+00
1.515151515151515138e+00,-1.937060267664492130e-03,8.511454463005065918e-01,-4.693723618984222412e-01,-6.068572402000427246e-01,9.764703512191772461e-01,-1.371494531631469727e+00
1.616161616161616132e+00,-1.836620038375258446e-03,8.070119619369506836e-01,-4.450345635414123535e-01,-5.753905773162841797e-01,9.258386492729187012e-01,-1.300380110740661621e+00
1.717171717171717127e+00,-1.707482733763754368e-03,7.502689957618713379e-01,-4.137430787086486816e-01,-5.349334478378295898e-01,8.607405424118041992e-01,-1.208947181701660156e+00
1.818181818181818121e+00,-1.549648120999336243e-03,6.809163689613342285e-01,-3.754978775978088379e-01,-4.854857921600341797e-01,7.811763286590576172e-01,-1.097195744514465332e+00
1.919191919191919116e+00,-1.363116549327969551e-03,5.989543199539184570e-01,-3.302991092205047607e-01,-4.270477294921875000e-01,6.871459484100341797e-01,-9.651259183883666992e-01
2.020202020202020332e+00,-1.147887669503688812e-03,5.043825507164001465e-01,-2.781466245651245117e-01,-3.596191406250000000e-01,5.786491632461547852e-01,-8.127376437187194824e-01
2.121212121212121104e+00,-9.039614233188331127e-04,3.972012102603912354e-01,-2.190404385328292847e-01,-2.832000553607940674e-01,4.556861817836761475e-01,-6.400308012962341309e-01
2.222222222222222321e+00,-6.313379853963851929e-04,2.774102985858917236e-01,-1.529805958271026611e-01,-1.977904587984085083e-01,3.182569444179534912e-01,-4.470055699348449707e-01
2.323232323232323093e+00,-3.300178213976323605e-04,1.450100243091583252e-01,-7.996718585491180420e-02,-1.033905372023582458e-01,1.663617044687271118e-01,-2.336621582508087158e-01
2.424242424242424310e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
2.525252525252525082e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
2.626262626262626299e+00,2.292170077562332153e-01,-1.627238541841506958e-01,-5.991679616272449493e-03,1.981798112392425537e-01,-5.443301796913146973e-02,1.057858839631080627e-01
2.727272727272727071e+00,4.385021328926086426e-01,-3.112978339195251465e-01,-1.146234385669231415e-02,3.791266083717346191e-01,-1.041327342391014099e-01,2.023729979991912842e-01
2.828282828282828287e+00,6.278553009033203125e-01,-4.457218647003173828e-01,-1.641199365258216858e-02,5.428403615951538086e-01,-1.490991413593292236e-01,2.897613644599914551e-01
2.929292929292929060e+00,7.972765564918518066e-01,-5.659959912300109863e-01,-2.084062434732913971e-02,6.893211007118225098e-01,-1.893322467803955078e-01,3.679509162902832031e-01
3.030303030303030276e+00,9.467658996582031250e-01,-6.721202135086059570e-01,-2.474823966622352600e-02,8.185688257217407227e-01,-2.248320281505584717e-01,4.369416832923889160e-01
3.131313131313131048e+00,1.076323390007019043e+00,-7.640946507453918457e-01,-2.813484333455562592e-02,9.305834770202636719e-01,-2.555985450744628906e-01,4.967337548732757568e-01
3.232323232323232265e+00,1.185948967933654785e+00,-8.419191241264343262e-01,-3.100042976438999176e-02,1.025365114212036133e+00,-2.816317379474639893e-01,5.473269820213317871e-01
3.333333333333333481e+00,1.275642514228820801e+00,-9.055935740470886230e-01,-3.334499895572662354e-02,1.102913737297058105e+00,-3.029315769672393799e-01,5.887213945388793945e-01
3.434343434343434254e+00,1.345404267311096191e+00,-9.551182985305786133e-01,-3.516855463385581970e-02,1.163229346275329590e+00,-3.194981515407562256e-01,6.209172010421752930e-01
3.535353535353535470e+00,1.395233869552612305e+00,-9.904929995536804199e-01,-3.647109121084213257e-02,1.206311941146850586e+00,-3.313314318656921387e-01,6.439141035079956055e-01
3.636363636363636243e+00,1.425131797790527344e+00,-1.011717796325683594e+00,-3.725261241197586060e-02,1.232161402702331543e+00,-3.384313881397247314e-01,6.577122211456298828e-01
3.737373737373737459e+00,1.435097932815551758e+00,-1.018792867660522461e+00,-3.751312568783760071e-02,1.240777969360351562e+00,-3.407980501651763916e-01,6.623116731643676758e-01
3.838383838383838231e+00,1.425131916999816895e+00,-1.011717915534973145e+00,-3.725261613726615906e-02,1.232161521911621094e+00,-3.384314179420471191e-01,6.577122807502746582e-01
3.939393939393939448e+00,1.395233988761901855e+00,-9.904929995536804199e-01,-3.647109493613243103e-02,1.206311941146850586e+00,-3.313314318656921387e-01,6.439141035079956055e-01
4.040404040404040664e+00,1.345404267311096191e+00,-9.551182985305786133e-01,-3.516855463385581970e-02,1.163229346275329590e+00,-3.194981515407562256e-01,6.209172010421752930e-01
4.141414141414140992e+00,1.275642633438110352e+00,-9.055936932563781738e-01,-3.334500268101692200e-02,1.102913856506347656e+00,-3.029316067695617676e-01,5.887214541435241699e-01
4.242424242424242209e+00,1.185948967933654785e+00,-8.419191241264343262e-01,-3.100042976438999176e-02,1.025365114212036133e+00,-2.816317379474639893e-01,5.473269820213317871e-01
4.343434343434343425e+00,1.076323390007019043e+00,-7.640946507453918457e-01,-2.813484333455562592e-02,9.305834770202636719e-01,-2.555985450744628906e-01,4.967337548732757568e-01
4.444444444444444642e+00,9.467660784721374512e-01,-6.721203923225402832e-01,-2.474824711680412292e-02,8.185690045356750488e-01,-2.248320877552032471e-01,4.369417726993560791e-01
4.545454545454544970e+00,7.972766757011413574e-01,-5.659960508346557617e-01,-2.084062620997428894e-02,6.893211603164672852e-01,-1.893322765827178955e-01,3.679509758949279785e-01
4.646464646464646187e+00,6.278553009033203125e-01,-4.457218647003173828e-01,-1.641199365258216858e-02,5.428403615951538086e-01,-1.490991413593292236e-01,2.897613644599914551e-01
4.747474747474747403e+00,4.385020136833190918e-01,-3.112977147102355957e-01,-1.146234106272459030e-02,3.791265189647674561e-01,-1.041327118873596191e-01,2.023729532957077026e-01
4.848484848484848619e+00,2.292171269655227661e-01,-1.627239286899566650e-01,-5.991682410240173340e-03,1.981799155473709106e-01,-5.443304777145385742e-02,1.057859435677528381e-01
4.949494949494949836e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
5.050505050505050164e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
5.151515151515151381e+00,-2.020225524902343750e-01,1.543355286121368408e-01,2.544829249382019043e-01,-1.018419861793518066e-01,-1.891884952783584595e-01,9.399713575839996338e-02
5.252525252525252597e+00,-3.864779770374298096e-01,2.952505946159362793e-01,4.868369698524475098e-01,-1.948281526565551758e-01,-3.619258403778076172e-01,1.798206120729446411e-01
5.353535353535353813e+00,-5.533661246299743652e-01,4.227451384067535400e-01,6.970619559288024902e-01,-2.789584994316101074e-01,-5.182119607925415039e-01,2.574704289436340332e-01
5.454545454545454142e+00,-7.026871442794799805e-01,5.368192195892333984e-01,8.851580619812011719e-01,-3.542329668998718262e-01,-6.580469608306884766e-01,3.269465565681457520e-01
5.555555555555555358e+00,-8.344410061836242676e-01,6.374727487564086914e-01,1.051125168800354004e+00,-4.206516146659851074e-01,-7.814307212829589844e-01,3.882490098476409912e-01
5.656565656565656575e+00,-9.486276507377624512e-01,7.247059345245361328e-01,1.194963335990905762e+00,-4.782145619392395020e-01,-8.883633613586425781e-01,4.413778185844421387e-01
5.757575757575757791e+00,-1.045247197151184082e+00,7.985185980796813965e-01,1.316672682762145996e+00,-5.269216299057006836e-01,-9.788449406623840332e-01,4.863330423831939697e-01
5.858585858585858119e+00,-1.124299407005310059e+00,8.589106798171997070e-01,1.416252851486206055e+00,-5.667727589607238770e-01,-1.052875041961669922e+00,5.231144428253173828e-01
5.959595959595959336e+00,-1.185784578323364258e+00,9.058824777603149414e-01,1.493704199790954590e+00,-5.977681875228881836e-01,-1.110454320907592773e+00,5.517223477363586426e-01
6.060606060606060552e+00,-1.229702472686767578e+00,9.394335746765136719e-01,1.549026489257812500e+00,-6.199077367782592773e-01,-1.151582121849060059e+00,5.721564292907714844e-01
6.161616161616161769e+00,-1.256053209304809570e+00,9.595643281936645508e-01,1.582219958305358887e+00,-6.331914663314819336e-01,-1.176258802413940430e+00,5.844169855117797852e-01
6.262626262626262097e+00,-1.264836907386779785e+00,9.662746191024780273e-01,1.593284487724304199e+00,-6.376193761825561523e-01,-1.184484481811523438e+00,5.885037779808044434e-01
6.363636363636363313e+00,-1.256053328514099121e+00,9.595643877983093262e-01,1.582220077514648438e+00,-6.331914663314819336e-01,-1.176258921623229980e+00,5.844169855117797852e-01
6.464646464646464530e+00,-1.229702591896057129e+00,9.394336938858032227e-01,1.549026727676391602e+00,-6.199077367782592773e-01,-1.151582241058349609e+00,5.721564888954162598e-01
6.565656565656565746e+00,-1.185784578323364258e+00,9.058824777603149414e-01,1.493704199790954590e+00,-5.977681875228881836e-01,-1.110454320907592773e+00,5.517223477363586426e-01
6.666666666666666963e+00,-1.124299526214599609e+00,8.589107394218444824e-01,1.416252851486206055e+00,-5.667728185653686523e-01,-1.052875161170959473e+00,5.231145024299621582e-01
6.767676767676767291e+00,-1.045247197151184082e+00,7.985185980796813965e-01,1.316672682762145996e+00,-5.269216299057006836e-01,-9.788449406623840332e-01,4.863330423831939697e-01
6.868686868686868507e+00,-9.486276507377624512e-01,7.247059345245361328e-01,1.194963335990905762e+00,-4.782145619392395020e-01,-8.883633613586425781e-01,4.413778185844421387e-01
6.969696969696969724e+00,-8.344411849975585938e-01,6.374729275703430176e-01,1.051125288009643555e+00,-4.206517338752746582e-01,-7.814309000968933105e-01,3.882490992546081543e-01
7.070707070707070940e+00,-7.026872634887695312e-01,5.368192791938781738e-01,8.851581811904907227e-01,-3.542330265045166016e-01,-6.580470800399780273e-01,3.269465863704681396e-01
7.171717171717171269e+00,-5.533661246299743652e-01,4.227451384067535400e-01,6.970619559288024902e-01,-2.789584994316101074e-01,-5.182119607925415039e-01,2.574704289436340332e-01
7.272727272727272485e+00,-3.864778578281402588e-01,2.952505052089691162e-01,4.868368208408355713e-01,-1.948280930519104004e-01,-3.619257509708404541e-01,1.798205673694610596e-01
7.373737373737373701e+00,-2.020226716995239258e-01,1.543355882167816162e-01,2.544830441474914551e-01,-1.018420308828353882e-01,-1.891885846853256226e-01,9.399718046188354492e-02
7.474747474747474918e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
7.575757575757575246e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.676767676767676463e+00,-2.686442807316780090e-02,-1.366216242313385010e-01,-1.685241162776947021e-01,7.052662316709756851e-03,7.725990563631057739e-02,3.387901932001113892e-02
