t,dJ1,dJ2,dJ3,dJ4,dJ5,dJ6
0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010083e-01,-2.010998427867889404e-01,-1.667278409004211426e-01,-5.008946731686592102e-02,-8.741886913776397705e-02,2.276430875062942505e-01,1.587457060813903809e-01
2.020202020202020166e-01,-3.847127556800842285e-01,-3.189576268196105957e-01,-9.582333266735076904e-02,-1.672361046075820923e-01,4.354911744594573975e-01,3.036874532699584961e-01
3.030303030303030387e-01,-5.508387088775634766e-01,-4.566892981529235840e-01,-1.372015774250030518e-01,-2.394516766071319580e-01,6.235440969467163086e-01,4.348252415657043457e-01
4.040404040404040331e-01,-6.994777321815490723e-01,-5.799229741096496582e-01,-1.742242276668548584e-01,-3.040656149387359619e-01,7.918020486831665039e-01,5.521589517593383789e-01
5.050505050505050830e-01,-8.306297063827514648e-01,-6.886584758758544922e-01,-2.068912684917449951e-01,-3.610779047012329102e-01,9.402648806571960449e-01,6.556887626647949219e-01
6.060606060606060774e-01,-9.442949295043945312e-01,-7.828959822654724121e-01,-2.352027148008346558e-01,-4.104886054992675781e-01,1.068932771682739258e+00,7.454146146774291992e-01
7.070707070707070718e-01,-1.040473222732543945e+00,-8.626354336738586426e-01,-2.591585516929626465e-01,-4.522976279258728027e-01,1.177805662155151367e+00,8.213365674018859863e-01
8.080808080808080662e-01,-1.119164347648620605e+00,-9.278766512870788574e-01,-2.787587642669677734e-01,-4.865049719810485840e-01,1.266883254051208496e+00,8.834543228149414062e-01
9.090909090909090606e-01,-1.180368661880493164e+00,-9.786199331283569336e-01,-2.940033972263336182e-01,-5.131107568740844727e-01,1.336166024208068848e+00,9.317682981491088867e-01
1.010101010101010166e+00,-1.224086046218872070e+00,-1.014865159988403320e+00,-3.048923909664154053e-01,-5.321148037910461426e-01,1.385653614997863770e+00,9.662781953811645508e-01
1.111111111111111160e+00,-1.250316381454467773e+00,-1.036612272262573242e+00,-3.114258050918579102e-01,-5.435172319412231445e-01,1.415346145629882812e+00,9.869841337203979492e-01
1.212121212121212155e+00,-1.259059906005859375e+00,-1.043861269950866699e+00,-3.136036396026611328e-01,-5.473181009292602539e-01,1.425243735313415527e+00,9.938861727714538574e-01
1.313131313131313149e+00,-1.250316500663757324e+00,-1.036612272262573242e+00,-3.114258348941802979e-01,-5.435172915458679199e-01,1.415346264839172363e+00,9.869842529296875000e-01
1.414141414141414144e+00,-1.224086046218872070e+00,-1.014865159988403320e+00,-3.048924207687377930e-01,-5.321148633956909180e-01,1.385653734207153320e+00,9.662782549858093262e-01
1.515151515151515138e+00,-1.180368661880493164e+00,-9.786199331283569336e-01,-2.940033972263336182e-01,-5.131107568740844727e-01,1.336166024208068848e+00,9.317682981491088867e-01
1.616161616161616132e+00,-1.119164466857910156e+00,-9.278767704963684082e-01,-2.787587940692901611e-01,-4.865050315856933594e-01,1.266883373260498047e+00,8.834544420242309570e-01
1.717171717171717127e+00,-1.040473222732543945e+00,-8.626354336738586426e-01,-2.591585516929626465e-01,-4.522976279258728027e-01,1.177805662155151367e+00,8.213365674018859863e-01
1.818181818181818121e+00,-9.442949295043945312e-01,-7.828959822654724121e-01,-2.352027148008346558e-01,-4.104886054992675781e-01,1.068932771682739258e+00,7.454146146774291992e-01
1.919191919191919116e+00,-8.306297063827514648e-01,-6.886584758758544922e-01,-2.068912684917449951e-01,-3.610779047012329102e-01,9.402648806571960449e-01,6.556887626647949219e-01
2.020202020202020332e+00,-6.994777917861938477e-01,-5.799230337142944336e-01,-1.742242574691772461e-01,-3.040656447410583496e-01,7.918021678924560547e-01,5.521590709686279297e-01
2.121212121212121104e+00,-5.508387088775634766e-01,-4.566892981529235840e-01,-1.372015774250030518e-01,-2.394516766071319580e-01,6.235440969467163086e-01,4.348252415657043457e-01
2.222222222222222321e+00,-3.847126662731170654e-01,-3.189575374126434326e-01,-9.582330286502838135e-02,-1.672360599040985107e-01,4.354910254478454590e-01,3.036873936653137207e-01
2.323232323232323093e+00,-2.010999470949172974e-01,-1.667279303073883057e-01,-5.008948966860771179e-02,-8.741890639066696167e-02,2.276432067155838013e-01,1.587457954883575439e-01
2.424242424242424310e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.525252525252525082e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
2.626262626262626299e+00,3.388902544975280762e-01,3.124441802501678467e-01,2.822195887565612793e-01,2.956766486167907715e-01,-6.915430724620819092e-02,7.273031026124954224e-02
2.727272727272727071e+00,6.483118534088134766e-01,5.977193117141723633e-01,5.398983359336853027e-01,5.656422972679138184e-01,-1.322952061891555786e-01,1.391362398862838745e-01
2.828282828282828287e+00,9.282646179199218750e-01,8.558254241943359375e-01,7.730362415313720703e-01,8.098969459533691406e-01,-1.894226819276809692e-01,1.992177963256835938e-01
2.929292929292929060e+00,1.178748726844787598e+00,1.086762428283691406e+00,9.816333055496215820e-01,1.028440594673156738e+00,-2.405367195606231689e-01,2.529749870300292969e-01
3.030303030303030276e+00,1.399764060974121094e+00,1.290530323982238770e+00,1.165689468383789062e+00,1.221273064613342285e+00,-2.856373488903045654e-01,3.004077672958374023e-01
3.131313131313131048e+00,1.591310858726501465e+00,1.467129349708557129e+00,1.325205087661743164e+00,1.388394713401794434e+00,-3.247245848178863525e-01,3.415162265300750732e-01
3.232323232323232265e+00,1.753388762474060059e+00,1.616559267044067383e+00,1.460179567337036133e+00,1.529805421829223633e+00,-3.577983975410461426e-01,3.763003051280975342e-01
3.333333333333333481e+00,1.885998010635375977e+00,1.738819718360900879e+00,1.570613265037536621e+00,1.645504713058471680e+00,-3.848587572574615479e-01,4.047599434852600098e-01
3.434343434343434254e+00,1.989138603210449219e+00,1.833911538124084473e+00,1.656506299972534180e+00,1.735493421554565430e+00,-4.059057235717773438e-01,4.268952906131744385e-01
3.535353535353535470e+00,2.062810182571411133e+00,1.901834130287170410e+00,1.717858314514160156e+00,1.799770951271057129e+00,-4.209392666816711426e-01,4.427061975002288818e-01
3.636363636363636243e+00,2.107013225555419922e+00,1.942587614059448242e+00,1.754669547080993652e+00,1.838337302207946777e+00,-4.299593865871429443e-01,4.521927833557128906e-01
