t,J1,J2,J3,J4,J5,J6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010083e-01,1.235182117670774460e-02,2.497125416994094849e-03,-1.120097190141677856e-02,1.141958311200141907e-02,-6.879064254462718964e-03,-8.726967498660087585e-03
2.020202020202020166e-01,4.799564555287361145e-02,9.703115560114383698e-03,-4.352377355098724365e-02,4.437323287129402161e-02,-2.673007547855377197e-02,-3.391049802303314209e-02
3.030303030303030387e-01,1.048140153288841248e-01,2.118989080190658569e-02,-9.504823386669158936e-02,9.690330922603607178e-02,-5.837376415729522705e-02,-7.405453920364379883e-02
4.040404040404040331e-01,1.806894987821578979e-01,3.652937710285186768e-02,-1.638542115688323975e-01,1.670521795749664307e-01,-1.006308794021606445e-01,-1.276630610227584839e-01
5.050505050505050830e-01,2.735046148300170898e-01,5.529348924756050110e-02,-2.480215132236480713e-01,2.528621852397918701e-01,-1.523221284151077271e-01,-1.932399868965148926e-01
6.060606060606060774e-01,3.811418712139129639e-01,7.705414295196533203e-02,-3.456299304962158203e-01,3.523756563663482666e-01,-2.122682332992553711e-01,-2.692892551422119141e-01
7.070707070707070718e-01,5.014839172363281250e-01,1.013832837343215942e-01,-4.547593891620635986e-01,4.636350274085998535e-01,-2.792899608612060547e-01,-3.543148338794708252e-01
8.080808080808080662e-01,6.324132084846496582e-01,1.278528124094009399e-01,-5.734897255897521973e-01,5.846826434135437012e-01,-3.522080779075622559e-01,-4.468207061290740967e-01
9.090909090909090606e-01,7.718122601509094238e-01,1.560346484184265137e-01,-6.999006271362304688e-01,7.135607004165649414e-01,-4.298431873321533203e-01,-5.453107357025146484e-01
1.010101010101010166e+00,9.175637960433959961e-01,1.855007410049438477e-01,-8.320721387863159180e-01,8.483118414878845215e-01,-5.110161304473876953e-01,-6.482889652252197266e-01
1.111111111111111160e+00,1.067550063133239746e+00,2.158229500055313110e-01,-9.680837988853454590e-01,9.869780540466308594e-01,-5.945475697517395020e-01,-7.542591691017150879e-01
1.212121212121212155e+00,1.219653964042663574e+00,2.465732693672180176e-01,-1.106015801429748535e+00,1.127602100372314453e+00,-6.792583465576171875e-01,-8.617255687713623047e-01
1.313131313131313149e+00,1.371757745742797852e+00,2.773235738277435303e-01,-1.243947625160217285e+00,1.268226027488708496e+00,-7.639690637588500977e-01,-9.691918492317199707e-01
1.414141414141414144e+00,1.521744251251220703e+00,3.076458275318145752e-01,-1.379959583282470703e+00,1.406892418861389160e+00,-8.475005626678466797e-01,-1.075162291526794434e+00
1.515151515151515138e+00,1.667495608329772949e+00,3.371118903160095215e-01,-1.512130975723266602e+00,1.541643500328063965e+00,-9.286735057830810547e-01,-1.178140401840209961e+00
1.616161616161616132e+00,1.806894540786743164e+00,3.652936816215515137e-01,-1.638541698455810547e+00,1.670521497726440430e+00,-1.006308555603027344e+00,-1.276630282402038574e+00
1.717171717171717127e+00,1.937824130058288574e+00,3.917632699012756348e-01,-1.757272243499755859e+00,1.791569232940673828e+00,-1.079226732254028320e+00,-1.369136333465576172e+00
1.818181818181818121e+00,2.058166027069091797e+00,4.160923957824707031e-01,-1.866401672363281250e+00,1.902828574180603027e+00,-1.146248459815979004e+00,-1.454161882400512695e+00
1.919191919191919116e+00,2.165803432464599609e+00,4.378530681133270264e-01,-1.964010238647460938e+00,2.002342224121093750e+00,-1.206194639205932617e+00,-1.530211210250854492e+00
2.020202020202020332e+00,2.258618354797363281e+00,4.566171467304229736e-01,-2.048177480697631836e+00,2.088151931762695312e+00,-1.257885813713073730e+00,-1.595788121223449707e+00
2.121212121212121104e+00,2.334493875503540039e+00,4.719566404819488525e-01,-2.116983413696289062e+00,2.158300876617431641e+00,-1.300142884254455566e+00,-1.649396538734436035e+00
2.222222222222222321e+00,2.391312122344970703e+00,4.834434092044830322e-01,-2.168507814407348633e+00,2.210830926895141602e+00,-1.331786513328552246e+00,-1.689540505409240723e+00
2.323232323232323093e+00,2.426956176757812500e+00,4.906494021415710449e-01,-2.200830698013305664e+00,2.243784666061401367e+00,-1.351637601852416992e+00,-1.714724183082580566e+00
2.424242424242424310e+00,2.439307928085327148e+00,4.931465387344360352e-01,-2.212031602859497070e+00,2.255204200744628906e+00,-1.358516693115234375e+00,-1.723451137542724609e+00
2.525252525252525082e+00,2.439307928085327148e+00,4.931465387344360352e-01,-2.212031602859497070e+00,2.255204200744628906e+00,-1.358516693115234375e+00,-1.723451137542724609e+00
2.626262626262626299e+00,2.439309120178222656e+00,4.861926734447479248e-01,-2.189661502838134766e+00,2.250918865203857422e+00,-1.346100330352783203e+00,-1.726844072341918945e+00
2.727272727272727071e+00,2.439312934875488281e+00,4.661257863044738770e-01,-2.125108242034912109e+00,2.238552331924438477e+00,-1.310270309448242188e+00,-1.736635208129882812e+00
2.828282828282828287e+00,2.439318656921386719e+00,4.341379702091217041e-01,-2.022206306457519531e+00,2.218839645385742188e+00,-1.253155231475830078e+00,-1.752242922782897949e+00
2.929292929292929060e+00,2.439326524734497070e+00,3.914213180541992188e-01,-1.884790658950805664e+00,2.192514896392822266e+00,-1.176883459091186523e+00,-1.773085355758666992e+00
3.030303030303030276e+00,2.439336299896240234e+00,3.391678929328918457e-01,-1.716696023941040039e+00,2.160313367843627930e+00,-1.083583593368530273e+00,-1.798581123352050781e+00
3.131313131313131048e+00,2.439347267150878906e+00,2.785698771476745605e-01,-1.521757602691650391e+00,2.122969150543212891e+00,-9.753840565681457520e-01,-1.828148365020751953e+00
3.232323232323232265e+00,2.439359664916992188e+00,2.108193039894104004e-01,-1.303810119628906250e+00,2.081217288970947266e+00,-8.544135093688964844e-01,-1.861205458641052246e+00
3.333333333333333481e+00,2.439373254776000977e+00,1.371082067489624023e-01,-1.066688060760498047e+00,2.035792112350463867e+00,-7.228002548217773438e-01,-1.897170901298522949e+00
3.434343434343434254e+00,2.439387559890747070e+00,5.862882733345031738e-02,-8.142268657684326172e-01,1.987428307533264160e+00,-5.826731324195861816e-01,-1.935462951660156250e+00
3.535353535353535470e+00,2.439402818679809570e+00,-2.342689037322998047e-02,-5.502609014511108398e-01,1.936860680580139160e+00,-4.361603260040283203e-01,-1.975499987602233887e+00
3.636363636363636243e+00,2.439418315887451172e+00,-1.078667044639587402e-01,-2.786254882812500000e-01,1.884823799133300781e+00,-2.853906154632568359e-01,-2.016700267791748047e+00
3.737373737373737459e+00,2.439434051513671875e+00,-1.934987306594848633e-01,-3.154993057250976562e-03,1.832052230834960938e+00,-1.324923038482666016e-01,-2.058482170104980469e+00
3.838383838383838231e+00,2.439449548721313477e+00,-2.791306376457214355e-01,2.723152637481689453e-01,1.779280662536621094e+00,2.040588855743408203e-02,-2.100264072418212891e+00
3.939393939393939448e+00,2.439465045928955078e+00,-3.635705709457397461e-01,5.439510345458984375e-01,1.727243781089782715e+00,1.711758375167846680e-01,-2.141464471817016602e+00
4.040404040404040664e+00,2.439480304718017578e+00,-4.456263184547424316e-01,8.079168796539306641e-01,1.676676034927368164e+00,3.176885843276977539e-01,-2.181501388549804688e+00
4.141414141414140992e+00,2.439494609832763672e+00,-5.241055488586425781e-01,1.060377836227416992e+00,1.628312468528747559e+00,4.578155279159545898e-01,-2.219793319702148438e+00
4.242424242424242209e+00,2.439508199691772461e+00,-5.978168249130249023e-01,1.297500133514404297e+00,1.582887172698974609e+00,5.894289016723632812e-01,-2.255758762359619141e+00
4.343434343434343425e+00,2.439520597457885742e+00,-6.655673980712890625e-01,1.515447616577148438e+00,1.541135311126708984e+00,7.103993892669677734e-01,-2.288815975189208984e+00
4.444444444444444642e+00,2.439531564712524414e+00,-7.261654138565063477e-01,1.710386276245117188e+00,1.503791093826293945e+00,8.185989856719970703e-01,-2.318383216857910156e+00
4.545454545454544970e+00,2.439541339874267578e+00,-7.784187793731689453e-01,1.878480672836303711e+00,1.471589446067810059e+00,9.118988513946533203e-01,-2.343878984451293945e+00
4.646464646464646187e+00,2.439549207687377930e+00,-8.211354017257690430e-01,2.015896081924438477e+00,1.445264816284179688e+00,9.881706237792968750e-01,-2.364721536636352539e+00
4.747474747474747403e+00,2.439554929733276367e+00,-8.531231880187988281e-01,2.118798017501831055e+00,1.425552129745483398e+00,1.045285701751708984e+00,-2.380329132080078125e+00
4.848484848484848619e+00,2.439558744430541992e+00,-8.731901645660400391e-01,2.183351755142211914e+00,1.413185596466064453e+00,1.081115722656250000e+00,-2.390120267868041992e+00
4.949494949494949836e+00,2.439559936523437500e+00,-8.801440000534057617e-01,2.205721616744995117e+00,1.408900260925292969e+00,1.093532085418701172e+00,-2.393513202667236328e+00
5.050505050505050164e+00,2.439559936523437500e+00,-8.801440596580505371e-01,2.205721616744995117e+00,1.408900260925292969e+00,1.093531966209411621e+00,-2.393513202667236328e+00
5.151515151515151381e+00,2.414865970611572266e+00,-8.733368515968322754e-01,2.194991588592529297e+00,1.389471769332885742e+00,1.075640678405761719e+00,-2.374863386154174805e+00
5.252525252525252597e+00,2.343606472015380859e+00,-8.536931276321411133e-01,2.164027452468872070e+00,1.333406686782836914e+00,1.024011731147766113e+00,-2.321045160293579102e+00
5.353535353535353813e+00,2.230014562606811523e+00,-8.223798871040344238e-01,2.114668607711791992e+00,1.244035601615905762e+00,9.417120218276977539e-01,-2.235255718231201172e+00
5.454545454545454142e+00,2.078323364257812500e+00,-7.805640697479248047e-01,2.048754930496215820e+00,1.124689102172851562e+00,8.318086862564086914e-01,-2.120692014694213867e+00
5.555555555555555358e+00,1.892766356468200684e+00,-7.294125556945800781e-01,1.968125581741333008e+00,9.786978960037231445e-01,6.973688602447509766e-01,-1.980551481246948242e+00
5.656565656565656575e+00,1.677576661109924316e+00,-6.700924634933471680e-01,1.874619960784912109e+00,8.093925118446350098e-01,5.414595007896423340e-01,-1.818031072616577148e+00
5.757575757575757791e+00,1.436987519264221191e+00,-6.037706136703491211e-01,1.770077705383300781e+00,6.201034784317016602e-01,3.671477437019348145e-01,-1.636327981948852539e+00
5.858585858585858119e+00,1.175232052803039551e+00,-5.316140055656433105e-01,1.656338214874267578e+00,4.141613841056823730e-01,1.775005459785461426e-01,-1.438639163970947266e+00
5.959595959595959336e+00,8.965438604354858398e-01,-4.547896087169647217e-01,1.535240888595581055e+00,1.948970556259155273e-01,-2.441477775573730469e-02,-1.228161931037902832e+00
6.060606060606060552e+00,6.051557064056396484e-01,-3.744643330574035645e-01,1.408625125885009766e+00,-3.435921669006347656e-02,-2.355314493179321289e-01,-1.008093237876892090e+00
6.161616161616161769e+00,3.053014278411865234e-01,-2.918052077293395996e-01,1.278330564498901367e+00,-2.702765464782714844e-01,-4.527820348739624023e-01,-7.816305160522460938e-01
6.262626262626262097e+00,1.213550567626953125e-03,-2.079790234565734863e-01,1.146196484565734863e+00,-5.095245838165283203e-01,-6.730998754501342773e-01,-5.519704818725585938e-01
6.363636363636363313e+00,-3.028740882873535156e-01,-1.241529583930969238e-01,1.014062523841857910e+00,-7.487723827362060547e-01,-8.934174776077270508e-01,-3.223106861114501953e-01
6.464646464646464530e+00,-6.027288436889648438e-01,-4.149371385574340820e-02,8.837678432464599609e-01,-9.846899509429931641e-01,-1.110668540000915527e+00,-9.584760665893554688e-02
6.565656565656565746e+00,-8.941168785095214844e-01,3.883159160614013672e-02,7.571520805358886719e-01,-1.213946104049682617e+00,-1.321785092353820801e+00,1.242210865020751953e-01
6.666666666666666963e+00,-1.172804594039916992e+00,1.156558990478515625e-01,6.360548734664916992e-01,-1.433210372924804688e+00,-1.523700118064880371e+00,3.346979618072509766e-01
6.767676767676767291e+00,-1.434560537338256836e+00,1.878126263618469238e-01,5.223151445388793945e-01,-1.639152765274047852e+00,-1.713347554206848145e+00,5.323870182037353516e-01
6.868686868686868507e+00,-1.675149440765380859e+00,2.541344761848449707e-01,4.177730083465576172e-01,-1.828441619873046875e+00,-1.887659192085266113e+00,7.140901088714599609e-01
6.969696969696969724e+00,-1.890339374542236328e+00,3.134546875953674316e-01,3.242672681808471680e-01,-1.997747421264648438e+00,-2.043568611145019531e+00,8.766107559204101562e-01
7.070707070707070940e+00,-2.075896263122558594e+00,3.646059632301330566e-01,2.436380386352539062e-01,-2.143738269805908203e+00,-2.178008556365966797e+00,1.016751050949096680e+00
7.171717171717171269e+00,-2.227587223052978516e+00,4.064218401908874512e-01,1.777243614196777344e-01,-2.263084888458251953e+00,-2.287911891937255859e+00,1.131314754486083984e+00
7.272727272727272485e+00,-2.341179370880126953e+00,4.377350211143493652e-01,1.283657550811767578e-01,-2.352455615997314453e+00,-2.370211124420166016e+00,1.217103958129882812e+00
7.373737373737373701e+00,-2.412438869476318359e+00,4.573788046836853027e-01,9.740138053894042969e-02,-2.408520936965942383e+00,-2.421840667724609375e+00,1.270922422409057617e+00
7.474747474747474918e+00,-2.437132835388183594e+00,4.641860127449035645e-01,8.667135238647460938e-02,-2.427949428558349609e+00,-2.439731597900390625e+00,1.289572238922119141e+00
7.575757575757575246e+00,-2.437133073806762695e+00,4.641860723495483398e-01,8.667130023241043091e-02,-2.427949428558349609e+00,-2.439731836318969727e+00,1.289572238922119141e+00
7.676767676767676463e+00,-2.424792289733886719e+00,4.618355929851531982e-01,8.623242378234863281e-02,-2.415655136108398438e+00,-2.427377939224243164e+00,1.283042311668395996e+00
7.777777777777777679e+00,-2.389180183410644531e+00,4.550527930259704590e-01,8.496595919132232666e-02,-2.380177259445190430e+00,-2.391727924346923828e+00,1.264198660850524902e+00
7.878787878787878896e+00,-2.332412481307983398e+00,4.442405700683593750e-01,8.294714242219924927e-02,-2.323623418807983398e+00,-2.334899663925170898e+00,1.234160900115966797e+00
7.979797979797979224e+00,-2.256604671478271484e+00,4.298019111156463623e-01,8.025120198726654053e-02,-2.248101234436035156e+00,-2.259011030197143555e+00,1.194048404693603516e+00
