t,J1,J2,J3,J4,J5,J6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010083e-01,-1.062574889510869980e-02,-8.809594437479972839e-03,-2.646635985001921654e-03,-4.619053099304437637e-03,1.202824525535106659e-02,8.387832902371883392e-03
2.020202020202020166e-01,-4.128862172365188599e-02,-3.423156589269638062e-02,-1.028406992554664612e-02,-1.794832013547420502e-02,4.673831909894943237e-02,3.259272128343582153e-02
3.030303030303030387e-01,-9.016705304384231567e-02,-7.475569099187850952e-02,-2.245859242975711823e-02,-3.919595852494239807e-02,1.020682379603385925e-01,7.117674499750137329e-02
4.040404040404040331e-01,-1.554395109415054321e-01,-1.288717836141586304e-01,-3.871650248765945435e-02,-6.757014244794845581e-02,1.759560406208038330e-01,1.227020099759101868e-01
5.050505050505050830e-01,-2.352844178676605225e-01,-1.950695961713790894e-01,-5.860408022999763489e-02,-1.022790297865867615e-01,2.663397192955017090e-01,1.857305765151977539e-01
6.060606060606060774e-01,-3.278802037239074707e-01,-2.718388736248016357e-01,-8.166760951280593872e-02,-1.425307691097259521e-01,3.711572289466857910e-01,2.588245272636413574e-01
7.070707070707070718e-01,-4.314053356647491455e-01,-3.576695024967193604e-01,-1.074534058570861816e-01,-1.875335276126861572e-01,4.883466958999633789e-01,3.405459821224212646e-01
8.080808080808080662e-01,-5.440382957458496094e-01,-4.510512351989746094e-01,-1.355077475309371948e-01,-2.364955097436904907e-01,6.158460974693298340e-01,4.294570386409759521e-01
9.090909090909090606e-01,-6.639574170112609863e-01,-5.504737496376037598e-01,-1.653769165277481079e-01,-2.886247932910919189e-01,7.515934109687805176e-01,5.241196751594543457e-01
1.010101010101010166e+00,-7.893412709236145020e-01,-6.544269919395446777e-01,-1.966072320938110352e-01,-3.431296348571777344e-01,8.935267329216003418e-01,6.230961084365844727e-01
1.111111111111111160e+00,-9.183681011199951172e-01,-7.614005804061889648e-01,-2.287449240684509277e-01,-3.992180824279785156e-01,1.039583921432495117e+00,7.249482870101928711e-01
1.212121212121212155e+00,-1.049216628074645996e+00,-8.698844313621520996e-01,-2.613363564014434814e-01,-4.560984373092651367e-01,1.187703132629394531e+00,8.282384872436523438e-01
1.313131313131313149e+00,-1.180065035820007324e+00,-9.783682227134704590e-01,-2.939277589321136475e-01,-5.129787325859069824e-01,1.335822224617004395e+00,9.315285682678222656e-01
1.414141414141414144e+00,-1.309092044830322266e+00,-1.085341930389404297e+00,-3.260655105113983154e-01,-5.690672397613525391e-01,1.481879591941833496e+00,1.033380866050720215e+00
1.515151515151515138e+00,-1.434475898742675781e+00,-1.189295172691345215e+00,-3.572958111763000488e-01,-6.235721111297607422e-01,1.623812913894653320e+00,1.132357358932495117e+00
1.616161616161616132e+00,-1.554394841194152832e+00,-1.288717508316040039e+00,-3.871649205684661865e-01,-6.757013201713562012e-01,1.759559988975524902e+00,1.227019786834716797e+00
1.717171717171717127e+00,-1.667027950286865234e+00,-1.382099390029907227e+00,-4.152193367481231689e-01,-7.246633768081665039e-01,1.887059688568115234e+00,1.315931081771850586e+00
1.818181818181818121e+00,-1.770553112030029297e+00,-1.467929959297180176e+00,-4.410051107406616211e-01,-7.696661353111267090e-01,2.004249095916748047e+00,1.397652387619018555e+00
1.919191919191919116e+00,-1.863148927688598633e+00,-1.544699430465698242e+00,-4.640686810016632080e-01,-8.099179267883300781e-01,2.109066724777221680e+00,1.470746517181396484e+00
2.020202020202020332e+00,-1.942993760108947754e+00,-1.610897064208984375e+00,-4.839562177658081055e-01,-8.446267247200012207e-01,2.199450254440307617e+00,1.533774971961975098e+00
2.121212121212121104e+00,-2.008266210556030273e+00,-1.665013194084167480e+00,-5.002140998840332031e-01,-8.730009198188781738e-01,2.273338079452514648e+00,1.585300207138061523e+00
2.222222222222222321e+00,-2.057144641876220703e+00,-1.705537199974060059e+00,-5.123886466026306152e-01,-8.942485451698303223e-01,2.328667879104614258e+00,1.623884201049804688e+00
2.323232323232323093e+00,-2.087807416915893555e+00,-1.730959296226501465e+00,-5.200260877609252930e-01,-9.075778126716613770e-01,2.363378047943115234e+00,1.648089170455932617e+00
2.424242424242424310e+00,-2.098433256149291992e+00,-1.739768862724304199e+00,-5.226727128028869629e-01,-9.121968746185302734e-01,2.375406265258789062e+00,1.656476974487304688e+00
2.525252525252525082e+00,-2.098433256149291992e+00,-1.739768862724304199e+00,-5.226727128028869629e-01,-9.121968746185302734e-01,2.375406265258789062e+00,1.656476974487304688e+00
2.626262626262626299e+00,-2.080526828765869141e+00,-1.723259925842285156e+00,-5.077607631683349609e-01,-8.965738415718078613e-01,2.371752262115478516e+00,1.660319924354553223e+00
2.727272727272727071e+00,-2.028854370117187500e+00,-1.675619721412658691e+00,-4.647290706634521484e-01,-8.514903187751770020e-01,2.361207962036132812e+00,1.671409487724304199e+00
2.828282828282828287e+00,-1.946485161781311035e+00,-1.599678397178649902e+00,-3.961340188980102539e-01,-7.796244621276855469e-01,2.344399690628051758e+00,1.689087033271789551e+00
2.929292929292929060e+00,-1.836489081382751465e+00,-1.498266100883483887e+00,-3.045319318771362305e-01,-6.836544871330261230e-01,2.321953773498535156e+00,1.712693691253662109e+00
3.030303030303030276e+00,-1.701935648918151855e+00,-1.374212861061096191e+00,-1.924791634082794189e-01,-5.662587285041809082e-01,2.294496536254882812e+00,1.741570591926574707e+00
3.131313131313131048e+00,-1.545894742012023926e+00,-1.230348944664001465e+00,-6.253206729888916016e-02,-4.301153719425201416e-01,2.262654781341552734e+00,1.775058984756469727e+00
3.232323232323232265e+00,-1.371435880661010742e+00,-1.069504261016845703e+00,8.275306224822998047e-02,-2.779026031494140625e-01,2.227054357528686523e+00,1.812500238418579102e+00
3.333333333333333481e+00,-1.181628584861755371e+00,-8.945091366767883301e-01,2.408199310302734375e-01,-1.122986078262329102e-01,2.188322067260742188e+00,1.853235363960266113e+00
3.434343434343434254e+00,-9.795428514480590820e-01,-7.081935405731201172e-01,4.091120362281799316e-01,6.401818990707397461e-02,2.147084236145019531e+00,1.896605610847473145e+00
3.535353535353535470e+00,-7.682479619979858398e-01,-5.133875608444213867e-01,5.850732922554016113e-01,2.483698129653930664e-01,2.103967189788818359e+00,1.941952228546142578e+00
3.636363636363636243e+00,-5.508139133453369141e-01,-3.129215240478515625e-01,7.661470770835876465e-01,4.380776882171630859e-01,2.059597492218017578e+00,1.988616466522216797e+00
3.737373737373737459e+00,-3.303101062774658203e-01,-1.096252202987670898e-01,9.497773051261901855e-01,6.304639577865600586e-01,2.014601230621337891e+00,2.035939455032348633e+00
3.838383838383838231e+00,-1.098065376281738281e-01,9.367096424102783203e-02,1.133407354354858398e+00,8.228501081466674805e-01,1.969604969024658203e+00,2.083262443542480469e+00
3.939393939393939448e+00,1.076278686523437500e-01,2.941371202468872070e-01,1.314481258392333984e+00,1.012558221817016602e+00,1.925235033035278320e+00,2.129926681518554688e+00
4.040404040404040664e+00,3.189225196838378906e-01,4.889432191848754883e-01,1.490442514419555664e+00,1.196909666061401367e+00,1.882117986679077148e+00,2.175273418426513672e+00
4.141414141414140992e+00,5.210082530975341797e-01,6.752585172653198242e-01,1.658734560012817383e+00,1.373226404190063477e+00,1.840880274772644043e+00,2.218643665313720703e+00
4.242424242424242209e+00,7.108156681060791016e-01,8.502539396286010742e-01,1.816801786422729492e+00,1.538830518722534180e+00,1.802147865295410156e+00,2.259378671646118164e+00
